event_time,trade_time,trade_id,price,quantity,maker
1531160320044,1531160320040,2868705,0.00003314,1.00000000,1
1531160329542,1531160329535,2868706,0.00003314,2171.00000000,1
1531160329542,1531160329535,2868707,0.00003312,31.00000000,1
1531160329542,1531160329535,2868708,0.00003308,269.00000000,1
1531160329542,1531160329535,2868709,0.00003307,2077.00000000,1
1531160329542,1531160329535,2868710,0.00003305,688.00000000,1
1531160329542,1531160329535,2868711,0.00003303,45.00000000,1
1531160329542,1531160329535,2868712,0.00003302,181.00000000,1
1531160329542,1531160329535,2868713,0.00003301,626.00000000,1
1531160329542,1531160329535,2868714,0.00003300,3062.00000000,1
1531160332231,1531160332228,2868715,0.00003313,38.00000000,0
1531160332231,1531160332228,2868716,0.00003314,180.00000000,0
1531160340270,1531160340267,2868717,0.00003314,1676.00000000,0
1531160340314,1531160340311,2868718,0.00003314,352.00000000,0
1531160343403,1531160343400,2868719,0.00003307,422.00000000,1
1531160343403,1531160343400,2868720,0.00003301,189.00000000,1
1531160343403,1531160343400,2868721,0.00003300,1065.00000000,1
1531160408240,1531160408236,2868722,0.00003308,30.00000000,0
1531160422031,1531160422027,2868723,0.00003300,2001.00000000,1
1531160451404,1531160451401,2868724,0.00003306,159.00000000,0
1531160451404,1531160451401,2868725,0.00003307,45.00000000,0
1531160451404,1531160451401,2868726,0.00003309,52.00000000,0
1531160451404,1531160451401,2868727,0.00003313,46.00000000,0
1531160484315,1531160484311,2868728,0.00003306,424.00000000,1
1531160484315,1531160484311,2868729,0.00003301,242.00000000,1
1531160484315,1531160484311,2868730,0.00003300,3225.00000000,1
1531160484315,1531160484311,2868731,0.00003297,144.00000000,1
1531160484315,1531160484311,2868732,0.00003294,78.00000000,1
1531160484315,1531160484311,2868733,0.00003292,69.00000000,1
1531160484315,1531160484311,2868734,0.00003291,1258.00000000,1
1531160538239,1531160538236,2868735,0.00003312,271.00000000,0
1531160543881,1531160543878,2868736,0.00003292,188.00000000,1
1531160543881,1531160543878,2868737,0.00003291,2107.00000000,1
1531160639405,1531160639401,2868738,0.00003291,658.00000000,1
1531160639405,1531160639401,2868739,0.00003289,9.00000000,1
1531160758377,1531160758375,2868740,0.00003292,172.00000000,1
