event_time,trade_time,trade_id,price,quantity,maker
1531160319329,1531160319324,3142702,0.00450700,0.23000000,0
1531160389312,1531160389308,3142703,0.00450700,3.73000000,0
1531160395449,1531160395445,3142704,0.00450700,2.24000000,0
1531160432010,1531160432005,3142705,0.00450700,27.38000000,0
1531160444528,1531160444526,3142706,0.00450900,2.23000000,0
1531160444547,1531160444544,3142707,0.00450900,2.21000000,0
1531160444552,1531160444549,3142708,0.00450900,8.51000000,0
1531160444581,1531160444577,3142709,0.00450900,1.49000000,0
1531160444603,1531160444600,3142710,0.00450900,4.63000000,0
1531160444603,1531160444601,3142711,0.00450900,5.00000000,0
1531160444610,1531160444610,3142712,0.00450100,0.36000000,1
1531160447693,1531160447688,3142713,0.00450000,0.31000000,1
1531160447693,1531160447688,3142714,0.00449700,0.05000000,1
1531160450568,1531160450565,3142715,0.00450900,2.21000000,0
1531160522065,1531160522062,3142716,0.00450800,5.82000000,0
1531160522081,1531160522081,3142717,0.00450800,5.82000000,0
1531160522101,1531160522098,3142718,0.00450800,1.66000000,0
1531160522168,1531160522165,3142719,0.00449900,1.97000000,1
1531160664744,1531160664740,3142720,0.00450800,0.23000000,0
1531160700277,1531160700272,3142721,0.00449900,0.28000000,1
1531160700277,1531160700272,3142722,0.00449800,2.22000000,1
1531160700277,1531160700272,3142723,0.00449700,0.49000000,1
1531160774097,1531160774093,3142724,0.00450800,11.17000000,0
1531160774097,1531160774093,3142725,0.00450900,35.13000000,0
1531160821621,1531160821616,3142726,0.00450900,2.21000000,0
1531160916785,1531160916782,3142727,0.00450000,1.84000000,1
1531160986141,1531160986137,3142728,0.00450900,18.07000000,0
1531161006793,1531161006786,3142729,0.00450900,15.76000000,0
1531161006793,1531161006786,3142730,0.00451000,5.04000000,0
1531161006793,1531161006786,3142731,0.00451200,1.84000000,0
1531161006793,1531161006786,3142732,0.00451300,1.00000000,0
1531161006793,1531161006786,3142733,0.00452000,0.33000000,0
1531161006793,1531161006786,3142734,0.00452200,0.23000000,0
1531161006793,1531161006786,3142735,0.00452400,0.33000000,0
1531161006793,1531161006786,3142736,0.00452500,1.58000000,0
1531161006793,1531161006786,3142737,0.00452600,24.70000000,0
1531161006793,1531161006786,3142738,0.00453000,0.30000000,0
1531161006793,1531161006786,3142739,0.00453300,0.46000000,0
1531161006793,1531161006786,3142740,0.00453400,0.69000000,0
1531161006793,1531161006786,3142741,0.00453600,7.54000000,0
1531161006809,1531161006808,3142742,0.00453600,25.46000000,0
1531161006811,1531161006809,3142743,0.00453700,0.83000000,0
1531161006822,1531161006819,3142744,0.00453700,0.17000000,0
1531161006822,1531161006819,3142745,0.00453900,3.56000000,0
1531161006827,1531161006824,3142746,0.00450300,18.14000000,1
1531161006832,1531161006827,3142747,0.00453900,0.11000000,0
1531161006832,1531161006827,3142748,0.00454000,0.46000000,0
1531161006832,1531161006827,3142749,0.00454400,0.90000000,0
1531161006832,1531161006827,3142750,0.00454600,1.32000000,0
1531161006832,1531161006827,3142751,0.00455100,0.33000000,0
1531161006832,1531161006827,3142752,0.00455200,1.03000000,0
1531161006832,1531161006827,3142753,0.00455300,0.23000000,0
1531161006832,1531161006827,3142754,0.00455400,26.14000000,0
1531161006832,1531161006827,3142755,0.00455500,1.38000000,0
1531161006832,1531161006827,3142756,0.00455700,1.26000000,0
1531161006832,1531161006827,3142757,0.00456000,6.73000000,0
1531161006832,1531161006827,3142758,0.00456300,11.97000000,0
1531161006832,1531161006827,3142759,0.00456500,0.33000000,0
1531161006832,1531161006827,3142760,0.00456700,0.07000000,0
1531161006885,1531161006882,3142761,0.00450900,4.07000000,1
1531161007374,1531161007370,3142762,0.00452500,1.31000000,1
1531161007380,1531161007380,3142763,0.00452500,0.47000000,1
1531161007603,1531161007597,3142764,0.00452500,8.96000000,1
1531161008396,1531161008392,3142765,0.00452300,4.40000000,1
1531161013972,1531161013968,3142766,0.00452500,10.46000000,0
1531161018150,1531161018147,3142767,0.00452500,21.94000000,0
1531161031182,1531161031178,3142768,0.00452600,0.32000000,1
1531161052069,1531161052066,3142769,0.00452600,0.31000000,1
1531161065617,1531161065593,3142770,0.00452600,1.40000000,1
1531161073193,1531161073190,3142771,0.00452800,0.10000000,1
1531161077073,1531161077069,3142772,0.00452800,0.10000000,1
1531161156559,1531161156555,3142773,0.00452800,2.50000000,1
1531161211332,1531161211329,3142774,0.00452800,1.00000000,1
1531161325290,1531161325286,3142775,0.00453600,0.10000000,0
1531161330606,1531161330603,3142776,0.00453600,0.10000000,0
1531161335858,1531161335855,3142777,0.00453600,0.10000000,0
1531161339836,1531161339831,3142778,0.00453600,0.10000000,0
1531161343619,1531161343615,3142779,0.00453600,0.10000000,0
1531161343704,1531161343698,3142780,0.00453600,0.13000000,0
1531161343704,1531161343698,3142781,0.00454000,1.85000000,0
1531161347900,1531161347898,3142782,0.00454000,0.10000000,0
1531161352164,1531161352160,3142783,0.00454000,0.10000000,0
1531161355876,1531161355873,3142784,0.00454000,0.10000000,0
1531161359745,1531161359742,3142785,0.00454000,0.10000000,0
1531161361745,1531161361740,3142786,0.00454000,0.04000000,0
1531161377376,1531161377371,3142787,0.00454300,8.12000000,0
1531161377376,1531161377371,3142788,0.00454600,3.54000000,0
1531161380198,1531161380195,3142789,0.00454300,1.01000000,1
1531161380466,1531161380462,3142790,0.00454300,0.58000000,1
1531161380610,1531161380606,3142791,0.00454300,1.01000000,1
1531161389260,1531161389256,3142792,0.00454600,3.48000000,0
1531161394971,1531161394969,3142793,0.00455100,0.23000000,0
1531161397244,1531161397240,3142794,0.00455200,0.87000000,1
1531161406255,1531161406250,3142795,0.00455200,4.38000000,1
1531161408566,1531161408561,3142796,0.00455200,3.86000000,1
1531161418323,1531161418318,3142797,0.00455200,0.22000000,1
1531161439714,1531161439710,3142798,0.00455300,0.22000000,0
1531161439714,1531161439710,3142799,0.00456100,0.01000000,0
1531161440070,1531161440068,3142800,0.00456100,0.23000000,0
1531161460870,1531161460865,3142801,0.00456100,0.23000000,0
1531161465195,1531161465193,3142802,0.00455400,5.34000000,1
1531161466289,1531161466285,3142803,0.00455600,2.66000000,1
1531161488184,1531161488180,3142804,0.00456100,1.75000000,0
1531161488184,1531161488180,3142805,0.00456200,0.44000000,0
1531161491921,1531161491917,3142806,0.00456200,0.55000000,0
1531161520932,1531161520929,3142807,0.00456200,0.23000000,0
1531161582276,1531161582272,3142808,0.00456200,0.23000000,0
1531161594199,1531161594194,3142809,0.00454400,1.76000000,1
1531161604877,1531161604872,3142810,0.00455900,0.10000000,0
1531161605268,1531161605264,3142811,0.00455900,1.34000000,0
1531161606431,1531161606425,3142812,0.00455900,1.54000000,1
1531161609374,1531161609368,3142813,0.00456000,2.27000000,0
1531161617289,1531161617283,3142814,0.00456100,1.82000000,0
1531161620591,1531161620585,3142815,0.00456200,0.10000000,0
1531161621639,1531161621633,3142816,0.00456200,6.00000000,0
1531161623370,1531161623365,3142817,0.00456200,6.00000000,0
1531161679676,1531161679671,3142818,0.00456200,0.23000000,0
1531161699295,1531161699290,3142819,0.00454500,0.37000000,1
1531161955816,1531161955810,3142820,0.00456100,0.61000000,0
1531161955816,1531161955810,3142821,0.00456200,1.58000000,0
1531162003606,1531162003602,3142822,0.00454900,1.39000000,1
1531162005701,1531162005696,3142823,0.00454900,0.23000000,0
1531162006240,1531162006235,3142824,0.00454900,1.39000000,0
1531162013692,1531162013687,3142825,0.00453800,0.33000000,1
1531162013692,1531162013687,3142826,0.00453700,1.50000000,1
1531162072690,1531162072687,3142827,0.00454100,0.51000000,1
1531162082806,1531162082801,3142828,0.00454100,1.00000000,1
1531162120098,1531162120093,3142829,0.00454100,0.78000000,1
1531162135523,1531162135519,3142830,0.00454100,0.22000000,0
1531162242784,1531162242778,3142831,0.00454900,2.19000000,0
1531162349879,1531162349876,3142832,0.00454900,5.01000000,0
1531162471051,1531162471045,3142833,0.00454100,11.11000000,1
1531162471076,1531162471071,3142834,0.00454100,5.79000000,1
1531162471689,1531162471684,3142835,0.00454100,6.00000000,1
1531162473452,1531162473447,3142836,0.00454100,6.00000000,1
1531162473985,1531162473980,3142837,0.00454100,5.30000000,1
1531162541875,1531162541870,3142838,0.00454900,0.61000000,0
1531162541875,1531162541870,3142839,0.00455300,1.63000000,0
1531162541875,1531162541870,3142840,0.00456400,0.23000000,0
1531162541875,1531162541870,3142841,0.00456500,0.56000000,0
1531162541875,1531162541870,3142842,0.00456600,0.97000000,0
1531162553502,1531162553497,3142843,0.00456500,0.23000000,0
1531162554619,1531162554613,3142844,0.00456500,2.06000000,0
1531162572815,1531162572810,3142845,0.00456400,0.23000000,0
1531162592991,1531162592988,3142846,0.00454900,0.22000000,1
1531162733220,1531162733214,3142847,0.00455500,0.23000000,0
1531162733491,1531162733486,3142848,0.00455500,0.23000000,0
1531162894768,1531162894762,3142849,0.00455500,3.54000000,0
1531162894797,1531162894794,3142850,0.00455600,4.76000000,1
1531162895256,1531162895253,3142851,0.00455600,3.02000000,1
1531162959212,1531162959208,3142852,0.00454700,0.58000000,1
1531163012839,1531163012833,3142853,0.00454100,3.06000000,1
1531163017957,1531163017952,3142854,0.00454100,2.48000000,1
1531163030114,1531163030110,3142855,0.00454100,0.54000000,1
1531163032572,1531163032568,3142856,0.00454100,1.03000000,1
1531163032572,1531163032568,3142857,0.00453800,0.33000000,1
1531163032572,1531163032568,3142858,0.00453700,0.64000000,1
1531163079398,1531163079393,3142859,0.00454600,2.20000000,0
1531163085928,1531163085921,3142860,0.00453500,0.23000000,1
1531163085928,1531163085921,3142861,0.00453400,0.23000000,1
1531163085928,1531163085921,3142862,0.00453300,0.23000000,1
1531163085928,1531163085921,3142863,0.00452900,1.26000000,1
1531163151090,1531163151085,3142864,0.00452800,3.48000000,1
1531163152128,1531163152125,3142865,0.00452800,1.26000000,0
1531163154032,1531163154027,3142866,0.00452700,0.23000000,1
1531163161188,1531163161183,3142867,0.00452700,0.22000000,0
1531163163734,1531163163729,3142868,0.00452500,0.47000000,1
1531163199435,1531163199429,3142869,0.00452500,0.09000000,1
1531163199435,1531163199429,3142870,0.00452200,1.52000000,1
1531163214143,1531163214137,3142871,0.00452500,2.37000000,0
1531163219300,1531163219295,3142872,0.00452500,2.37000000,1
1531163219300,1531163219295,3142873,0.00452200,9.54000000,1
1531163220370,1531163220364,3142874,0.00452200,3.07000000,0
1531163257305,1531163257298,3142875,0.00452000,0.46000000,1
1531163257305,1531163257298,3142876,0.00451800,2.88000000,1
1531163257305,1531163257298,3142877,0.00451700,0.02000000,1
1531163257499,1531163257493,3142878,0.00451700,0.88000000,1
1531163257499,1531163257493,3142879,0.00451500,0.23000000,1
1531163257499,1531163257493,3142880,0.00451100,0.33000000,1
1531163257499,1531163257493,3142881,0.00450900,0.76000000,1
1531163260613,1531163260610,3142882,0.00451100,2.96000000,0
1531163280037,1531163280032,3142883,0.00451100,3.09000000,0
1531163337404,1531163337398,3142884,0.00450900,2.22000000,1
1531163339015,1531163339012,3142885,0.00451000,0.22000000,0
1531163342731,1531163342727,3142886,0.00451000,0.22000000,0
1531163442884,1531163442878,3142887,0.00451000,0.68000000,0
1531163442884,1531163442878,3142888,0.00451100,8.82000000,0
1531163445494,1531163445491,3142889,0.00451100,0.30000000,0
1531163447094,1531163447088,3142890,0.00451100,2.21000000,0
1531163506497,1531163506491,3142891,0.00451100,7.62000000,0
1531163512892,1531163512886,3142892,0.00451200,15.12000000,1
1531163578577,1531163578571,3142893,0.00451700,1.31000000,0
1531163578577,1531163578571,3142894,0.00452200,2.02000000,0
1531163596820,1531163596813,3142895,0.00451100,1.76000000,1
1531163636637,1531163636630,3142896,0.00451100,1.69000000,1
1531163687034,1531163687031,3142897,0.00451300,16.38000000,0
1531163691067,1531163691063,3142898,0.00451300,1.12000000,1
1531163694741,1531163694733,3142899,0.00451300,0.10000000,1
1531163695786,1531163695783,3142900,0.00451300,6.00000000,1
1531163698487,1531163698481,3142901,0.00451300,6.00000000,1
1531163698993,1531163698987,3142902,0.00451300,0.10000000,1
1531163702549,1531163702545,3142903,0.00451300,0.10000000,1
1531163704915,1531163704910,3142904,0.00451300,0.60000000,1
1531163706174,1531163706168,3142905,0.00451300,6.00000000,1
1531163706353,1531163706348,3142906,0.00451300,0.10000000,1
1531163710179,1531163710173,3142907,0.00451300,0.10000000,1
1531163714841,1531163714837,3142908,0.00451300,0.10000000,1
1531163715796,1531163715791,3142909,0.00451300,6.00000000,1
1531163720065,1531163720063,3142910,0.00451300,0.10000000,1
1531163720491,1531163720486,3142911,0.00451300,6.00000000,1
1531163723883,1531163723878,3142912,0.00451300,0.10000000,1
1531163724174,1531163724171,3142913,0.00452500,2.20000000,0
1531163724262,1531163724257,3142914,0.00451300,6.00000000,1
1531163727401,1531163727394,3142915,0.00451300,0.10000000,1
1531163731154,1531163731151,3142916,0.00451300,0.10000000,1
1531163733285,1531163733281,3142917,0.00451300,6.00000000,1
1531163735845,1531163735839,3142918,0.00451300,0.10000000,1
1531163738407,1531163738402,3142919,0.00451300,10.24000000,1
1531163739174,1531163739168,3142920,0.00451300,0.10000000,1
1531163741612,1531163741606,3142921,0.00451300,6.00000000,1
1531163742696,1531163742692,3142922,0.00451300,6.62000000,1
1531163743643,1531163743638,3142923,0.00451300,0.10000000,1
1531163743908,1531163743902,3142924,0.00451300,2.21000000,1
1531163744988,1531163744985,3142925,0.00451300,2.17000000,1
1531163746163,1531163746158,3142926,0.00451300,0.64000000,1
1531163747430,1531163747426,3142927,0.00451300,0.10000000,1
1531163748614,1531163748609,3142928,0.00451300,1.10000000,1
1531163766555,1531163766553,3142929,0.00451100,0.42000000,1
1531163811440,1531163811436,3142930,0.00451300,0.10000000,0
1531163811440,1531163811436,3142931,0.00451800,0.30000000,0
1531163811440,1531163811436,3142932,0.00451900,3.60000000,0
1531163819121,1531163819115,3142933,0.00451200,0.61000000,1
1531163820875,1531163820870,3142934,0.00451200,0.40000000,1
1531163821778,1531163821772,3142935,0.00451200,0.40000000,1
1531163822530,1531163822526,3142936,0.00451200,0.26000000,1
1531163863007,1531163862999,3142937,0.00451200,0.10000000,1
1531163863007,1531163862999,3142938,0.00451100,1.06000000,1
1531163863203,1531163863199,3142939,0.00451100,1.16000000,1
1531163864087,1531163864081,3142940,0.00451100,0.76000000,1
1531163864951,1531163864946,3142941,0.00451100,0.26000000,1
1531163875261,1531163875254,3142942,0.00450900,0.51000000,1
1531163926842,1531163926838,3142943,0.00450900,0.02000000,1
1531163926842,1531163926838,3142944,0.00450700,0.31000000,1
1531163940089,1531163940083,3142945,0.00450700,12.26000000,1
1531163941440,1531163941435,3142946,0.00450700,6.89000000,1
1531163953428,1531163953421,3142947,0.00450800,17.69000000,1
1531163962944,1531163962938,3142948,0.00451100,0.09000000,0
1531163962944,1531163962938,3142949,0.00451900,1.84000000,0
1531163963436,1531163963432,3142950,0.00451900,19.73000000,1
1531163963878,1531163963873,3142951,0.00451900,1.07000000,1
1531163985540,1531163985534,3142952,0.00451900,54.84000000,1
1531164036816,1531164036810,3142953,0.00451900,4.43000000,1
1531164036816,1531164036810,3142954,0.00451000,1.85000000,1
1531164036816,1531164036810,3142955,0.00450700,0.47000000,1
1531164107585,1531164107580,3142956,0.00450800,0.38000000,1
1531164131599,1531164131593,3142957,0.00450800,4.00000000,1
1531164369674,1531164369669,3142958,0.00451000,3.47000000,1
1531164370593,1531164370587,3142959,0.00451000,6.53000000,1
1531164376792,1531164376787,3142960,0.00450700,3.70000000,1
1531164460641,1531164460636,3142961,0.00451400,1.55000000,0
1531164460641,1531164460636,3142962,0.00452200,0.66000000,0
1531164461678,1531164461673,3142963,0.00452200,1.18000000,0
1531164521330,1531164521324,3142964,0.00452400,0.01000000,0
1531164534704,1531164534698,3142965,0.00452200,1.54000000,1
1531164540366,1531164540362,3142966,0.00452400,0.20000000,0
1531164552489,1531164552486,3142967,0.00452400,0.12000000,0
1531164552489,1531164552486,3142968,0.00452900,1.57000000,0
1531164552489,1531164552486,3142969,0.00453200,0.52000000,0
1531164631891,1531164631888,3142970,0.00451500,28.66000000,1
1531164631891,1531164631888,3142971,0.00451400,1.84000000,1
1531164631891,1531164631888,3142972,0.00451100,0.33000000,1
1531164631891,1531164631888,3142973,0.00450900,74.18000000,1
1531164631891,1531164631888,3142974,0.00450800,2.21000000,1
1531164631891,1531164631888,3142975,0.00450700,196.28000000,1
1531164736801,1531164736796,3142976,0.00450700,0.18000000,1
1531164740524,1531164740520,3142977,0.00452200,1.85000000,0
1531164744273,1531164744267,3142978,0.00452200,1.50000000,0
1531164824487,1531164824485,3142979,0.00450800,1.40000000,1
1531164824487,1531164824485,3142980,0.00450700,51.83000000,1
1531164855894,1531164855887,3142981,0.00451500,0.22000000,0
1531165033398,1531165033391,3142982,0.00450000,1.18000000,0
1531165034530,1531165034526,3142983,0.00449900,0.50000000,1
1531165068858,1531165068853,3142984,0.00450400,0.22000000,0
1531165105273,1531165105266,3142985,0.00451000,0.50000000,0
1531165105273,1531165105266,3142986,0.00451100,1.71000000,0
1531165195970,1531165195964,3142987,0.00450600,0.50000000,0
1531165195970,1531165195964,3142988,0.00450700,1.71000000,0
1531165255950,1531165255945,3142989,0.00449900,0.31000000,1
1531165255950,1531165255945,3142990,0.00449800,0.12000000,1
1531165280789,1531165280783,3142991,0.00449800,0.21000000,1
1531165280789,1531165280783,3142992,0.00449300,1.85000000,1
1531165280811,1531165280808,3142993,0.00449000,0.23000000,1
1531165280811,1531165280808,3142994,0.00448800,1.09000000,1
1531165280814,1531165280811,3142995,0.00448800,0.22000000,1
1531165280819,1531165280812,3142996,0.00448800,0.21000000,1
1531165281188,1531165281185,3142997,0.00448800,7.44000000,1
1531165383629,1531165383623,3142998,0.00449400,0.41000000,1
1531165547732,1531165547726,3142999,0.00450400,0.23000000,0
1531165724780,1531165724775,3143000,0.00450700,0.50000000,0
1531165724780,1531165724775,3143001,0.00450800,0.51000000,0
1531165745359,1531165745352,3143002,0.00449400,0.11000000,1
1531165745359,1531165745352,3143003,0.00448800,0.19000000,1
