event_time,trade_time,trade_id,price,quantity,maker
1531160280688,1531160280685,3381716,0.03445200,1.17700000,0
1531160305336,1531160305334,3381717,0.03442200,2.87200000,0
1531160305353,1531160305350,3381718,0.03444900,2.05200000,0
1531160307866,1531160307862,3381719,0.03444900,0.04400000,0
1531160318156,1531160318153,3381720,0.03441800,0.03700000,0
1531160330927,1531160330924,3381721,0.03444900,0.24300000,0
1531160334179,1531160334175,3381722,0.03444900,0.00200000,1
1531160334179,1531160334175,3381723,0.03444700,0.28900000,1
1531160334742,1531160334739,3381724,0.03444700,2.41900000,1
1531160343905,1531160343902,3381725,0.03444900,0.07000000,0
1531160343921,1531160343919,3381726,0.03444900,2.33800000,0
1531160351435,1531160351432,3381727,0.03442700,3.56300000,0
1531160351452,1531160351449,3381728,0.03444900,2.00000000,0
1531160383432,1531160383427,3381729,0.03444900,0.03100000,0
1531160385682,1531160385680,3381730,0.03444900,2.06900000,0
1531160394352,1531160394349,3381731,0.03442500,2.03400000,0
1531160394359,1531160394355,3381732,0.03444900,1.23700000,0
1531160394376,1531160394374,3381733,0.03444900,1.32000000,0
1531160415811,1531160415808,3381734,0.03443900,0.03000000,0
1531160419043,1531160419040,3381735,0.03439300,0.28800000,1
1531160420986,1531160420983,3381736,0.03439400,0.18600000,1
1531160421287,1531160421284,3381737,0.03439400,0.10200000,1
1531160421287,1531160421284,3381738,0.03439300,0.41800000,1
1531160427269,1531160427266,3381739,0.03443700,1.84400000,0
1531160449613,1531160449608,3381740,0.03443400,0.64700000,0
1531160450928,1531160450926,3381741,0.03443400,0.29000000,0
1531160451270,1531160451268,3381742,0.03439500,0.58200000,1
1531160461299,1531160461296,3381743,0.03439800,0.58200000,1
1531160468060,1531160468059,3381744,0.03444900,0.03000000,0
1531160472988,1531160472985,3381745,0.03439900,0.58200000,1
1531160483354,1531160483352,3381746,0.03439900,0.58200000,1
1531160484780,1531160484776,3381747,0.03442300,2.04200000,0
1531160484797,1531160484794,3381748,0.03444800,2.87000000,0
1531160484816,1531160484812,3381749,0.03444800,0.98000000,0
1531160486365,1531160486361,3381750,0.03444700,0.25700000,0
1531160487404,1531160487401,3381751,0.03445000,2.16200000,0
1531160494175,1531160494170,3381752,0.03444900,0.59200000,0
1531160501104,1531160501101,3381753,0.03444800,0.38400000,0
1531160501120,1531160501118,3381754,0.03444800,2.47100000,0
1531160505412,1531160505408,3381755,0.03445000,1.18500000,0
1531160506031,1531160506028,3381756,0.03445000,1.13100000,0
1531160506847,1531160506846,3381757,0.03445000,1.10800000,0
1531160508369,1531160508369,3381758,0.03445000,1.08800000,0
1531160513859,1531160513855,3381759,0.03445000,0.39400000,0
1531160534471,1531160534467,3381760,0.03445000,0.22600000,0
1531160539840,1531160539837,3381761,0.03445000,2.35800000,0
1531160545890,1531160545886,3381762,0.03443600,6.53900000,0
1531160545908,1531160545904,3381763,0.03447000,1.38300000,0
1531160545936,1531160545933,3381764,0.03447000,2.31800000,0
1531160552599,1531160552597,3381765,0.03447100,0.41000000,0
1531160565600,1531160565596,3381766,0.03448400,2.81800000,0
1531160565600,1531160565596,3381767,0.03448500,2.99500000,0
1531160571383,1531160571380,3381768,0.03447200,0.02000000,1
1531160572016,1531160572012,3381769,0.03452700,0.63100000,0
1531160605920,1531160605915,3381770,0.03450600,3.22600000,0
1531160605932,1531160605928,3381771,0.03454000,2.21300000,0
1531160605955,1531160605952,3381772,0.03454000,1.22100000,0
1531160627554,1531160627549,3381773,0.03454000,0.27300000,0
1531160627567,1531160627564,3381774,0.03454000,2.93500000,0
1531160645146,1531160645142,3381775,0.03451100,2.23500000,0
1531160645155,1531160645152,3381776,0.03454000,1.52200000,0
1531160645178,1531160645175,3381777,0.03454000,0.91700000,0
1531160681005,1531160681002,3381778,0.03452300,0.03600000,0
1531160705473,1531160705469,3381779,0.03454100,0.05900000,0
1531160711908,1531160711904,3381780,0.03451000,0.90300000,0
1531160711918,1531160711915,3381781,0.03454000,0.97100000,0
1531160711941,1531160711937,3381782,0.03454000,0.35100000,0
1531160744392,1531160744389,3381783,0.03453900,2.06400000,0
1531160744408,1531160744405,3381784,0.03453900,0.56200000,0
1531160752871,1531160752867,3381785,0.03454000,0.14900000,0
1531160753863,1531160753860,3381786,0.03448500,0.16100000,1
1531160764940,1531160764938,3381787,0.03448500,0.08700000,1
1531160772003,1531160771999,3381788,0.03448500,0.21000000,0
1531160773084,1531160773081,3381789,0.03448500,0.14000000,0
1531160801371,1531160801368,3381790,0.03453800,0.14900000,0
1531160804635,1531160804631,3381791,0.03453800,0.02800000,0
1531160804751,1531160804747,3381792,0.03451300,1.88700000,0
1531160804767,1531160804763,3381793,0.03453800,0.19300000,0
1531160804788,1531160804785,3381794,0.03453800,0.58500000,0
1531160820968,1531160820966,3381795,0.03453900,0.06700000,0
1531160824184,1531160824179,3381796,0.03453900,0.04200000,0
1531160824184,1531160824179,3381797,0.03454000,0.52700000,0
1531160824184,1531160824179,3381798,0.03454100,0.06300000,0
1531160824184,1531160824179,3381799,0.03454700,0.23600000,0
1531160845104,1531160845099,3381800,0.03454600,0.05000000,0
1531160845119,1531160845116,3381801,0.03454600,0.48100000,0
1531160850838,1531160850835,3381802,0.03454700,0.14900000,0
1531160851085,1531160851083,3381803,0.03454600,0.07600000,1
1531160851648,1531160851644,3381804,0.03454600,0.15600000,1
1531160860684,1531160860679,3381805,0.03454500,1.87900000,0
1531160865840,1531160865836,3381806,0.03454600,0.17400000,0
1531160883685,1531160883681,3381807,0.03454700,0.02900000,0
1531160892820,1531160892817,3381808,0.03454600,1.40100000,0
1531160892840,1531160892835,3381809,0.03454600,0.93700000,0
