event_time,trade_time,trade_id,price,quantity,maker
1531160355415,1531160355412,2401659,0.00000981,846.00000000,0
1531160376199,1531160376197,2401660,0.00000982,135.00000000,0
1531160453696,1531160453692,2401661,0.00000985,1888.00000000,0
1531160453696,1531160453692,2401662,0.00000986,4575.00000000,0
1531160453696,1531160453692,2401663,0.00000987,1120.00000000,0
1531160453696,1531160453692,2401664,0.00000988,617.00000000,0
1531160471227,1531160471223,2401665,0.00000983,102.00000000,1
1531160480908,1531160480903,2401666,0.00000986,103.00000000,0
1531160480938,1531160480938,2401667,0.00000986,205.00000000,0
1531160481317,1531160481314,2401668,0.00000986,103.00000000,0
1531160482260,1531160482259,2401669,0.00000984,169.00000000,1
1531160522289,1531160522285,2401670,0.00000984,177.00000000,0
1531160544016,1531160544014,2401671,0.00000983,845.00000000,1
1531160562636,1531160562632,2401672,0.00000983,103.00000000,0
1531160684422,1531160684417,2401673,0.00000983,103.00000000,0
1531160714568,1531160714565,2401674,0.00000982,1120.00000000,1
1531160724294,1531160724291,2401675,0.00000981,846.00000000,1
1531160725010,1531160725006,2401676,0.00000981,206.00000000,0
1531160811395,1531160811392,2401677,0.00000980,6093.00000000,1
1531160846654,1531160846650,2401678,0.00000980,1083.00000000,1
1531160882172,1531160882167,2401679,0.00000980,1677.00000000,1
1531160899533,1531160899529,2401680,0.00000981,172.00000000,0
1531160954266,1531160954261,2401681,0.00000982,846.00000000,0
1531160954266,1531160954261,2401682,0.00000985,706.00000000,0
1531160954266,1531160954261,2401683,0.00000986,2000.00000000,0
1531160954266,1531160954261,2401684,0.00000987,8434.00000000,0
1531160954292,1531160954292,2401685,0.00000987,10547.00000000,1
1531160954307,1531160954303,2401686,0.00000980,10547.00000000,1
1531160957251,1531160957247,2401687,0.00000987,455.00000000,0
1531161007064,1531161007061,2401688,0.00000986,103.00000000,0
1531161007714,1531161007711,2401689,0.00000986,205.00000000,0
1531161018041,1531161018038,2401690,0.00000983,234.00000000,1
1531161028613,1531161028609,2401691,0.00000986,103.00000000,0
1531161148021,1531161148016,2401692,0.00000983,611.00000000,1
1531161181901,1531161181896,2401693,0.00000982,2185.00000000,1
1531161220312,1531161220308,2401694,0.00000981,846.00000000,1
1531161220312,1531161220308,2401695,0.00000980,5896.00000000,1
1531161289721,1531161289719,2401696,0.00000981,846.00000000,0
1531161291287,1531161291284,2401697,0.00000982,529.00000000,1
1531161297886,1531161297883,2401698,0.00000982,317.00000000,1
1531161298304,1531161298303,2401699,0.00000984,500.00000000,0
1531161298304,1531161298303,2401700,0.00000986,29.00000000,0
1531161310161,1531161310157,2401701,0.00000983,161.00000000,1
1531161328526,1531161328522,2401702,0.00000981,25.00000000,1
1531161328526,1531161328522,2401703,0.00000980,1166.00000000,1
1531161356807,1531161356802,2401704,0.00000979,1129.00000000,1
1531161364287,1531161364283,2401705,0.00000978,1493.00000000,1
1531161382173,1531161382169,2401706,0.00000979,174.00000000,1
1531161419066,1531161419062,2401707,0.00000979,310.00000000,1
1531161441174,1531161441171,2401708,0.00000980,144.00000000,0
1531161560307,1531161560305,2401709,0.00000980,669.00000000,0
1531161725102,1531161725098,2401710,0.00000981,846.00000000,0
1531161725134,1531161725130,2401711,0.00000982,637.00000000,1
1531161725144,1531161725139,2401712,0.00000982,778.00000000,1
1531161752867,1531161752863,2401713,0.00000983,1125.00000000,0
1531161752867,1531161752863,2401714,0.00000984,844.00000000,0
1531161752867,1531161752863,2401715,0.00000985,339.00000000,0
1531161770440,1531161770435,2401716,0.00000986,764.00000000,0
1531161770440,1531161770435,2401717,0.00000987,13551.00000000,0
1531161770456,1531161770452,2401718,0.00000987,10252.00000000,1
1531161771052,1531161771048,2401719,0.00000987,18107.00000000,1
1531161772405,1531161772403,2401720,0.00000986,137.00000000,1
1531161772907,1531161772902,2401721,0.00000986,705.00000000,1
1531161855483,1531161855479,2401722,0.00000984,128.00000000,0
1531161876046,1531161876041,2401723,0.00000986,500.00000000,1
1531161876911,1531161876907,2401724,0.00000986,500.00000000,1
1531161897912,1531161897908,2401725,0.00000987,572.00000000,0
1531161900537,1531161900536,2401726,0.00000986,154.00000000,0
1531161925811,1531161925806,2401727,0.00000987,103.00000000,0
1531161925845,1531161925840,2401728,0.00000987,103.00000000,0
1531161925955,1531161925952,2401729,0.00000987,63.00000000,0
1531161925955,1531161925952,2401730,0.00000988,40.00000000,0
1531161927386,1531161927383,2401731,0.00000988,779.00000000,0
1531161927386,1531161927383,2401732,0.00000988,1184.00000000,0
1531161927405,1531161927400,2401733,0.00000988,888.00000000,0
1531161927405,1531161927401,2401734,0.00000988,2.00000000,0
1531161934853,1531161934849,2401735,0.00000989,100.00000000,0
1531161942021,1531161942016,2401736,0.00000989,603.00000000,0
1531161945694,1531161945692,2401737,0.00000989,205.00000000,0
1531161965074,1531161965070,2401738,0.00000989,205.00000000,0
1531161968533,1531161968526,2401739,0.00000988,133.00000000,0
1531161968659,1531161968655,2401740,0.00000989,1818.00000000,0
1531161969563,1531161969559,2401741,0.00000989,73.00000000,0
1531161971766,1531161971760,2401742,0.00000989,5502.00000000,0
1531161971785,1531161971780,2401743,0.00000989,5502.00000000,0
1531161971818,1531161971814,2401744,0.00000989,5496.00000000,0
1531162007320,1531162007315,2401745,0.00000990,348.00000000,0
1531162010848,1531162010845,2401746,0.00000990,669.00000000,0
1531162018540,1531162018539,2401747,0.00000988,136.00000000,0
1531162046262,1531162046258,2401748,0.00000990,102.00000000,0
1531162052256,1531162052251,2401749,0.00000990,5735.00000000,0
1531162120554,1531162120551,2401750,0.00000988,127.00000000,0
1531162168554,1531162168551,2401751,0.00000989,130.00000000,1
1531162239697,1531162239692,2401752,0.00000989,200.00000000,1
1531162249241,1531162249237,2401753,0.00000989,257.00000000,1
1531162265076,1531162265071,2401754,0.00000986,842.00000000,1
1531162265076,1531162265071,2401755,0.00000985,147.00000000,1
1531162265076,1531162265071,2401756,0.00000984,911.00000000,1
1531162284670,1531162284666,2401757,0.00000986,146.00000000,0
1531162294895,1531162294889,2401758,0.00000988,1233.00000000,0
1531162294896,1531162294893,2401759,0.00000988,12.00000000,0
1531162298539,1531162298533,2401760,0.00000987,12.00000000,1
1531162371763,1531162371758,2401761,0.00000988,161.00000000,1
1531162389677,1531162389673,2401762,0.00000989,103.00000000,0
1531162392792,1531162392790,2401763,0.00000988,157.00000000,0
1531162402718,1531162402713,2401764,0.00000987,829.00000000,1
1531162457012,1531162457007,2401765,0.00000987,669.00000000,1
1531162465973,1531162465968,2401766,0.00000987,472.00000000,1
1531162471929,1531162471926,2401767,0.00000988,839.00000000,0
1531162472640,1531162472636,2401768,0.00000988,1.00000000,0
1531162496592,1531162496587,2401769,0.00000988,499.00000000,1
1531162496592,1531162496587,2401770,0.00000987,170.00000000,1
1531162516926,1531162516923,2401771,0.00000988,130.00000000,0
1531162521412,1531162521406,2401772,0.00000987,400.00000000,1
1531162579127,1531162579122,2401773,0.00000987,112.00000000,1
1531162594022,1531162594017,2401774,0.00000988,137.00000000,0
1531162701199,1531162701194,2401775,0.00000988,329.00000000,0
1531162733254,1531162733249,2401776,0.00000989,103.00000000,0
1531162749111,1531162749107,2401777,0.00000988,106.00000000,1
1531162750750,1531162750746,2401778,0.00000988,65.00000000,1
1531162750750,1531162750746,2401779,0.00000987,133.00000000,1
1531162770666,1531162770663,2401780,0.00000988,163.00000000,0
1531162773665,1531162773659,2401781,0.00000989,44.00000000,0
1531162773665,1531162773659,2401782,0.00000990,59.00000000,0
1531162793627,1531162793620,2401783,0.00000990,102.00000000,0
1531162846246,1531162846241,2401784,0.00000990,1420.00000000,0
1531162884736,1531162884731,2401785,0.00000988,151.00000000,1
1531162906485,1531162906479,2401786,0.00000987,846.00000000,1
1531162967733,1531162967727,2401787,0.00000988,128.00000000,0
1531162981176,1531162981172,2401788,0.00000990,2500.00000000,0
1531162983900,1531162983892,2401789,0.00000990,16963.00000000,0
1531162983900,1531162983892,2401790,0.00000991,1425.00000000,0
1531162983900,1531162983892,2401791,0.00000992,205.00000000,0
1531162983900,1531162983892,2401792,0.00000993,1466.00000000,0
1531162983900,1531162983892,2401793,0.00000994,41.00000000,0
1531162983900,1531162983892,2401794,0.00000994,3126.00000000,0
1531162983900,1531162983892,2401795,0.00000995,807.00000000,0
1531162988102,1531162988097,2401796,0.00000993,474.00000000,0
1531162990606,1531162990601,2401797,0.00000991,102.00000000,1
1531163009787,1531163009784,2401798,0.00000992,143.00000000,1
1531163072180,1531163072175,2401799,0.00000994,835.00000000,0
1531163072180,1531163072175,2401800,0.00000995,123.00000000,0
1531163076370,1531163076367,2401801,0.00000995,1006.00000000,0
1531163081790,1531163081786,2401802,0.00000992,156.00000000,1
1531163088994,1531163088988,2401803,0.00000995,7343.00000000,0
1531163096481,1531163096476,2401804,0.00000994,27364.00000000,1
1531163096521,1531163096516,2401805,0.00000994,779.00000000,1
1531163096609,1531163096604,2401806,0.00000994,12698.00000000,1
1531163118840,1531163118838,2401807,0.00000993,168.00000000,1
1531163122192,1531163122187,2401808,0.00000994,2081.00000000,1
1531163139299,1531163139293,2401809,0.00000993,836.00000000,1
1531163155940,1531163155932,2401810,0.00000994,11330.00000000,0
1531163155940,1531163155932,2401811,0.00000995,7126.00000000,0
1531163155940,1531163155932,2401812,0.00000996,3603.00000000,0
1531163155956,1531163155950,2401813,0.00000996,26816.00000000,1
1531163155963,1531163155960,2401814,0.00000996,6198.00000000,1
1531163156915,1531163156908,2401815,0.00000996,500.00000000,1
1531163160637,1531163160631,2401816,0.00000997,102.00000000,0
1531163160826,1531163160822,2401817,0.00000997,102.00000000,0
1531163161137,1531163161131,2401818,0.00000997,47.00000000,0
1531163161137,1531163161131,2401819,0.00000998,55.00000000,0
1531163165154,1531163165147,2401820,0.00000998,102.00000000,0
1531163167129,1531163167125,2401821,0.00000998,203.00000000,0
1531163167147,1531163167142,2401822,0.00000998,102.00000000,0
1531163170199,1531163170196,2401823,0.00000996,2912.00000000,1
1531163171374,1531163171369,2401824,0.00000998,883.00000000,0
1531163178633,1531163178625,2401825,0.00000998,2085.00000000,0
1531163178633,1531163178625,2401826,0.00000999,1533.00000000,0
1531163178633,1531163178625,2401827,0.00001000,26014.00000000,0
1531163180382,1531163180377,2401828,0.00001001,530.00000000,0
1531163184278,1531163184272,2401829,0.00001000,368.00000000,1
1531163184278,1531163184272,2401830,0.00000998,675.00000000,1
1531163190311,1531163190306,2401831,0.00000998,157.00000000,1
1531163204605,1531163204600,2401832,0.00000997,786.00000000,0
1531163208419,1531163208414,2401833,0.00000997,457.00000000,0
1531163209294,1531163209291,2401834,0.00000996,255.00000000,1
1531163210318,1531163210314,2401835,0.00000996,155.00000000,1
1531163211933,1531163211928,2401836,0.00000997,2394.00000000,0
1531163211933,1531163211928,2401837,0.00000998,1309.00000000,0
1531163217008,1531163216996,2401838,0.00001001,1489.00000000,0
1531163217008,1531163216996,2401839,0.00001002,923.00000000,0
1531163217008,1531163216996,2401840,0.00001003,102.00000000,0
1531163217009,1531163216996,2401841,0.00001004,4827.00000000,0
1531163217009,1531163216996,2401842,0.00001005,1650.00000000,0
1531163217009,1531163216996,2401843,0.00001006,4080.00000000,0
1531163217009,1531163216996,2401844,0.00001007,9738.00000000,0
1531163217009,1531163216996,2401845,0.00001008,3787.00000000,0
1531163217009,1531163216996,2401846,0.00001009,27316.00000000,0
1531163217009,1531163216996,2401847,0.00001010,1425.00000000,0
1531163217028,1531163217026,2401848,0.00001002,809.00000000,1
1531163219761,1531163219755,2401849,0.00001006,521.00000000,1
1531163221336,1531163221303,2401850,0.00001006,120.00000000,1
1531163222038,1531163222033,2401851,0.00001006,500.00000000,1
1531163224560,1531163224555,2401852,0.00001010,522.00000000,0
1531163224823,1531163224816,2401853,0.00001002,814.00000000,1
1531163225299,1531163225294,2401854,0.00001002,744.00000000,1
1531163225299,1531163225294,2401855,0.00001001,386.00000000,1
1531163225299,1531163225294,2401856,0.00001000,1100.00000000,1
1531163225299,1531163225294,2401857,0.00000998,2830.00000000,1
1531163228390,1531163228384,2401858,0.00001000,71.00000000,0
1531163229915,1531163229910,2401859,0.00000999,25.00000000,0
1531163234421,1531163234415,2401860,0.00000999,1371.00000000,0
1531163235463,1531163235456,2401861,0.00000999,32.00000000,0
1531163238136,1531163238130,2401862,0.00001000,179.00000000,0
1531163247952,1531163247947,2401863,0.00001000,1533.00000000,0
1531163248916,1531163248912,2401864,0.00001002,198.00000000,0
1531163254333,1531163254326,2401865,0.00001002,345.00000000,0
1531163254333,1531163254326,2401866,0.00001005,256.00000000,0
1531163259253,1531163259247,2401867,0.00001002,642.00000000,1
1531163260498,1531163260494,2401868,0.00001002,105.00000000,1
1531163260691,1531163260685,2401869,0.00001005,1344.00000000,0
1531163260691,1531163260685,2401870,0.00001006,4.00000000,0
1531163262892,1531163262885,2401871,0.00001006,733.00000000,0
