event_time,trade_time,trade_id,price,quantity,maker
1531160285322,1531160285319,1444127,0.00006880,38.30000000,0
1531160302610,1531160302606,1444128,0.00006900,30.00000000,0
1531160318268,1531160318265,1444129,0.00006880,1425.02000000,0
1531160318285,1531160318281,1444130,0.00006890,734.53000000,0
1531160332190,1531160332188,1444131,0.00006890,18.15000000,1
1531160390094,1531160390091,1444132,0.00006880,21.86000000,0
1531160407184,1531160407181,1444133,0.00006880,230.48000000,0
1531160433129,1531160433125,1444134,0.00006880,135.71000000,0
1531160433142,1531160433138,1444135,0.00006880,239.34000000,0
1531160464067,1531160464065,1444136,0.00006880,863.45000000,0
1531160482892,1531160482889,1444137,0.00006870,15.96000000,1
1531160482908,1531160482905,1444138,0.00006870,1145.15000000,0
1531160482918,1531160482915,1444139,0.00006880,468.18000000,0
1531160501032,1531160501031,1444140,0.00006860,166.81000000,1
1531160507426,1531160507423,1444141,0.00006850,110.86000000,1
1531160598235,1531160598233,1444142,0.00006870,16.02000000,0
1531160605497,1531160605493,1444143,0.00006860,60.86000000,1
1531160607076,1531160607073,1444144,0.00006890,119.96000000,0
1531160608592,1531160608588,1444145,0.00006860,60.86000000,1
1531160621637,1531160621633,1444146,0.00006860,676.32000000,1
1531160621637,1531160621633,1444147,0.00006850,3626.53000000,1
1531160636223,1531160636220,1444148,0.00006870,1483.19000000,0
1531160640922,1531160640920,1444149,0.00006880,22.56000000,1
1531160640922,1531160640920,1444150,0.00006870,2756.34000000,1
1531160646725,1531160646722,1444151,0.00006870,3854.79000000,1
1531160661252,1531160661250,1444152,0.00006880,1160.74000000,0
1531160664254,1531160664250,1444153,0.00006880,1064.75000000,0
1531160665431,1531160665429,1444154,0.00006870,68.00000000,1
1531160681675,1531160681671,1444155,0.00006890,86.55000000,0
1531160681914,1531160681911,1444156,0.00006890,594.52000000,0
1531160705601,1531160705598,1444157,0.00006890,253.93000000,0
1531160705618,1531160705614,1444158,0.00006880,1257.94000000,1
1531160705641,1531160705638,1444159,0.00006880,244.15000000,1
1531160725552,1531160725550,1444160,0.00006880,1069.21000000,1
1531160772744,1531160772741,1444161,0.00006890,886.20000000,1
1531160772754,1531160772750,1444162,0.00006890,1417.89000000,0
1531160772766,1531160772763,1444163,0.00006890,886.20000000,1
1531160772987,1531160772982,1444164,0.00006900,274.53000000,0
1531160774248,1531160774245,1444165,0.00006900,120.34000000,0
1531160783402,1531160783399,1444166,0.00006890,114.94000000,0
1531160812882,1531160812879,1444167,0.00006880,99.80000000,1
1531160823283,1531160823279,1444168,0.00006910,144.71000000,0
1531160825025,1531160825020,1444169,0.00006900,814.08000000,0
1531160825042,1531160825038,1444170,0.00006890,328.25000000,1
1531160838364,1531160838360,1444171,0.00006900,72.67000000,1
1531160843205,1531160843201,1444172,0.00006900,64.60000000,1
1531160844279,1531160844275,1444173,0.00006900,43.44000000,0
1531160874505,1531160874502,1444174,0.00006900,27.23000000,0
1531160885420,1531160885417,1444175,0.00006900,425.15000000,0
1531160885430,1531160885426,1444176,0.00006890,352.00000000,1
1531160885454,1531160885449,1444177,0.00006890,191.50000000,1
1531160906664,1531160906662,1444178,0.00006900,770.00000000,1
1531160906687,1531160906683,1444179,0.00006900,558.62000000,1
1531160934256,1531160934253,1444180,0.00006900,18.92000000,0
1531160944038,1531160944034,1444181,0.00006900,687.25000000,1
1531160944053,1531160944048,1444182,0.00006900,1088.18000000,1
1531160990769,1531160990764,1444183,0.00006900,651.50000000,1
1531160990788,1531160990784,1444184,0.00006900,413.24000000,1
1531161014269,1531161014266,1444185,0.00006900,125.05000000,0
1531161025491,1531161025488,1444186,0.00006900,375.62000000,1
1531161025511,1531161025506,1444187,0.00006900,46.07000000,1
1531161064815,1531161064810,1444188,0.00006910,554.85000000,0
1531161065418,1531161065414,1444189,0.00006910,687.77000000,0
1531161069105,1531161069101,1444190,0.00006900,278.06000000,1
1531161123430,1531161123425,1444191,0.00006910,54.67000000,0
1531161124322,1531161124318,1444192,0.00006910,1254.59000000,0
1531161124331,1531161124327,1444193,0.00006900,919.87000000,1
1531161124349,1531161124345,1444194,0.00006900,555.12000000,1
1531161147457,1531161147452,1444195,0.00006900,72.40000000,1
1531161160687,1531161160683,1444196,0.00006900,25.00000000,1
1531161205412,1531161205407,1444197,0.00006910,473.32000000,1
1531161205428,1531161205424,1444198,0.00006910,1294.77000000,1
1531161212421,1531161212416,1444199,0.00006920,144.50000000,0
1531161224632,1531161224628,1444200,0.00006910,1153.77000000,1
1531161224656,1531161224651,1444201,0.00006910,1411.69000000,1
1531161234390,1531161234386,1444202,0.00006900,95.34000000,1
1531161234390,1531161234386,1444203,0.00006880,1500.20000000,1
1531161234390,1531161234386,1444204,0.00006870,4192.88000000,1
1531161270879,1531161270876,1444205,0.00006910,17.51000000,0
1531161285372,1531161285368,1444206,0.00006890,1394.35000000,1
1531161285390,1531161285385,1444207,0.00006890,838.16000000,1
1531161293811,1531161293806,1444208,0.00006900,92.87000000,1
1531161296339,1531161296334,1444209,0.00006900,1119.49000000,1
1531161296355,1531161296352,1444210,0.00006900,1887.18000000,0
1531161296367,1531161296363,1444211,0.00006900,1119.49000000,1
1531161307825,1531161307822,1444212,0.00006880,22.10000000,0
1531161325428,1531161325425,1444213,0.00006880,210.84000000,1
1531161325456,1531161325451,1444214,0.00006900,213.20000000,0
1531161344171,1531161344167,1444215,0.00006900,999.14000000,1
1531161347292,1531161347290,1444216,0.00006900,280.30000000,0
1531161386747,1531161386742,1444217,0.00006890,882.11000000,1
1531161430857,1531161430854,1444218,0.00006900,176.12000000,1
1531161430874,1531161430871,1444219,0.00006900,52.82000000,0
1531161430881,1531161430878,1444220,0.00006900,176.12000000,1
1531161467402,1531161467398,1444221,0.00006900,309.56000000,1
1531161467435,1531161467430,1444222,0.00006900,85.48000000,1
1531161467450,1531161467446,1444223,0.00006900,262.32000000,1
1531161496619,1531161496614,1444224,0.00006900,532.34000000,1
1531161496627,1531161496623,1444225,0.00006900,479.08000000,0
1531161496636,1531161496633,1444226,0.00006900,532.34000000,1
1531161500959,1531161500954,1444227,0.00006890,211.26000000,1
1531161525671,1531161525667,1444228,0.00006900,2014.55000000,1
1531161525701,1531161525697,1444229,0.00006900,22.10000000,1
1531161525702,1531161525698,1444230,0.00006900,1096.20000000,1
1531161525718,1531161525714,1444231,0.00006900,995.36000000,1
1531161526467,1531161526464,1444232,0.00006900,22.10000000,0
1531161546635,1531161546631,1444233,0.00006900,1017.64000000,1
1531161546659,1531161546653,1444234,0.00006900,1273.27000000,1
