event_time,trade_time,trade_id,price,quantity,maker
1531160313569,1531160313565,2069512,0.00002977,2.00000000,1
1531160323009,1531160323006,2069513,0.00002977,2.00000000,1
1531160333140,1531160333136,2069514,0.00002972,2.00000000,1
1531160351425,1531160351422,2069515,0.00002984,278.00000000,0
1531160351425,1531160351422,2069516,0.00002985,5570.00000000,0
1531160352334,1531160352330,2069517,0.00002986,50.00000000,0
1531160358089,1531160358086,2069518,0.00002991,58.00000000,0
1531160358089,1531160358086,2069519,0.00002992,276.00000000,0
1531160375073,1531160375069,2069520,0.00002985,510.00000000,1
1531160395852,1531160395849,2069521,0.00002994,277.00000000,0
1531160395852,1531160395849,2069522,0.00002995,50.00000000,0
1531160395852,1531160395849,2069523,0.00003001,673.00000000,0
1531160447728,1531160447725,2069524,0.00002999,277.00000000,0
1531160447728,1531160447725,2069525,0.00003001,901.00000000,0
1531160447728,1531160447725,2069526,0.00003003,322.00000000,0
1531160664213,1531160664211,2069527,0.00002989,72.00000000,1
1531160714904,1531160714901,2069528,0.00003000,500.00000000,0
1531160805461,1531160805457,2069529,0.00002990,222.00000000,1
1531160805461,1531160805457,2069530,0.00002989,136.00000000,1
1531160828674,1531160828670,2069531,0.00002989,73.00000000,1
1531161387323,1531161387318,2069532,0.00002993,75.00000000,1
1531161387323,1531161387318,2069533,0.00002992,641.00000000,1
1531161387323,1531161387318,2069534,0.00002991,194.00000000,1
1531161644773,1531161644769,2069535,0.00002991,547.00000000,1
1531161650503,1531161650499,2069536,0.00002987,328.00000000,1
1531161655544,1531161655540,2069537,0.00002985,845.00000000,1
1531161659333,1531161659329,2069538,0.00002985,50.00000000,1
1531161661770,1531161661767,2069539,0.00002985,845.00000000,1
1531161684186,1531161684182,2069540,0.00002986,222.00000000,0
1531161708473,1531161708470,2069541,0.00002986,174.00000000,1
1531161813320,1531161813308,2069542,0.00002985,1319.00000000,1
1531161813320,1531161813308,2069543,0.00002981,279.00000000,1
1531161813320,1531161813308,2069544,0.00002978,50.00000000,1
1531161813320,1531161813308,2069545,0.00002974,3074.00000000,1
1531161818349,1531161818345,2069546,0.00002975,779.00000000,1
1531161818367,1531161818364,2069547,0.00002974,3944.00000000,0
1531161933753,1531161933748,2069548,0.00002986,267.00000000,0
1531161953391,1531161953388,2069549,0.00002978,390.00000000,1
1531161982359,1531161982354,2069550,0.00002986,390.00000000,0
1531162243893,1531162243890,2069551,0.00002987,25.00000000,0
1531162247476,1531162247472,2069552,0.00002987,253.00000000,0
1531162316803,1531162316798,2069553,0.00002985,7148.00000000,1
1531162328161,1531162328157,2069554,0.00002985,363.00000000,1
1531162379250,1531162379244,2069555,0.00002994,138.00000000,0
1531162873259,1531162873256,2069556,0.00002988,308.00000000,1
1531163002344,1531163002339,2069557,0.00002994,905.00000000,0
1531163002472,1531163002466,2069558,0.00002995,327.00000000,0
1531163017229,1531163017224,2069559,0.00003001,277.00000000,0
1531163017229,1531163017224,2069560,0.00003002,317.00000000,0
1531163017229,1531163017224,2069561,0.00003003,746.00000000,0
1531163036730,1531163036724,2069562,0.00003004,50.00000000,0
1531163036730,1531163036724,2069563,0.00003009,89.00000000,0
1531163036730,1531163036724,2069564,0.00003010,348.00000000,0
1531163165400,1531163165395,2069565,0.00003010,34.00000000,0
1531163194190,1531163194184,2069566,0.00003004,111.00000000,1
1531163195905,1531163195900,2069567,0.00003003,167.00000000,1
1531163210765,1531163210759,2069568,0.00002998,221.00000000,1
1531163211508,1531163211504,2069569,0.00002998,178.00000000,0
1531163345997,1531163345993,2069570,0.00003009,497.00000000,0
1531163345997,1531163345993,2069571,0.00003010,126.00000000,0
1531163345997,1531163345993,2069572,0.00003013,1717.00000000,0
1531163346010,1531163346007,2069573,0.00003013,266.00000000,1
1531163346024,1531163346020,2069574,0.00002996,266.00000000,1
1531163447379,1531163447373,2069575,0.00003013,50.00000000,0
1531163447394,1531163447390,2069576,0.00003014,286.00000000,1
