event_time,trade_time,trade_id,price,quantity,maker
1531160282123,1531160282120,9141068,0.00003098,2090.00000000,0
1531160293860,1531160293856,9141069,0.00003096,536.00000000,1
1531160304353,1531160304350,9141070,0.00003097,2473.00000000,0
1531160304372,1531160304369,9141071,0.00003096,804.00000000,1
1531160304389,1531160304387,9141072,0.00003096,1819.00000000,1
1531160307976,1531160307973,9141073,0.00003097,1094.00000000,0
1531160307993,1531160307989,9141074,0.00003096,414.00000000,1
1531160308007,1531160308003,9141075,0.00003096,397.00000000,1
1531160311717,1531160311713,9141076,0.00003099,34.00000000,0
1531160317742,1531160317739,9141077,0.00003099,3.00000000,0
1531160319736,1531160319735,9141078,0.00003098,154.00000000,0
1531160319749,1531160319744,9141079,0.00003096,792.00000000,1
1531160319764,1531160319761,9141080,0.00003096,70.00000000,1
1531160320755,1531160320752,9141081,0.00003099,45.00000000,0
1531160326388,1531160326386,9141082,0.00003099,65.00000000,0
1531160327741,1531160327738,9141083,0.00003098,166.00000000,0
1531160334873,1531160334871,9141084,0.00003097,3362.00000000,0
1531160334884,1531160334880,9141085,0.00003096,1974.00000000,1
1531160334895,1531160334891,9141086,0.00003096,1237.00000000,1
1531160336206,1531160336202,9141087,0.00003098,6.00000000,0
1531160336206,1531160336202,9141088,0.00003099,62.00000000,0
1531160336791,1531160336790,9141089,0.00003095,84.00000000,1
1531160339410,1531160339406,9141090,0.00003095,30000.00000000,1
1531160345149,1531160345146,9141091,0.00003098,34.00000000,0
1531160345167,1531160345163,9141092,0.00003098,488.00000000,0
1531160350613,1531160350609,9141093,0.00003096,1652.00000000,1
1531160350638,1531160350635,9141094,0.00003096,1487.00000000,1
1531160376782,1531160376749,9141095,0.00003096,14143.00000000,1
1531160377922,1531160377919,9141096,0.00003097,7823.00000000,0
1531160381552,1531160381548,9141097,0.00003095,250.00000000,1
1531160392318,1531160392315,9141098,0.00003097,10924.00000000,0
1531160393349,1531160393346,9141099,0.00003097,7823.00000000,1
1531160407587,1531160407583,9141100,0.00003095,6.00000000,1
1531160407630,1531160407627,9141101,0.00003095,6.00000000,1
1531160407759,1531160407757,9141102,0.00003095,5.00000000,1
1531160407790,1531160407786,9141103,0.00003095,6.00000000,1
1531160407869,1531160407865,9141104,0.00003095,6.00000000,1
1531160408172,1531160408167,9141105,0.00003097,4.00000000,0
1531160408172,1531160408167,9141106,0.00003099,829.00000000,0
1531160418383,1531160418380,9141107,0.00003097,11027.00000000,1
1531160428512,1531160428508,9141108,0.00003098,6145.00000000,0
1531160431706,1531160431702,9141109,0.00003099,161.00000000,0
1531160438235,1531160438232,9141110,0.00003097,10354.00000000,1
1531160440301,1531160440297,9141111,0.00003099,1247.00000000,0
1531160443188,1531160443185,9141112,0.00003099,207.00000000,0
1531160449196,1531160449193,9141113,0.00003099,322.00000000,0
1531160460366,1531160460365,9141114,0.00003096,13645.00000000,1
1531160464375,1531160464372,9141115,0.00003099,273.00000000,0
1531160471419,1531160471416,9141116,0.00003097,4750.00000000,0
1531160471431,1531160471428,9141117,0.00003096,2352.00000000,1
1531160481517,1531160481516,9141118,0.00003095,959.00000000,1
1531160482934,1531160482930,9141119,0.00003095,2463.00000000,1
1531160490414,1531160490411,9141120,0.00003098,65.00000000,0
1531160491875,1531160491870,9141121,0.00003098,18679.00000000,0
1531160499930,1531160499930,9141122,0.00003098,294.00000000,1
1531160499945,1531160499942,9141123,0.00003098,13496.00000000,0
1531160499955,1531160499951,9141124,0.00003098,294.00000000,1
1531160502212,1531160502209,9141125,0.00003098,3402.00000000,0
1531160507560,1531160507557,9141126,0.00003098,321.00000000,0
1531160509811,1531160509807,9141127,0.00003097,2484.00000000,0
1531160513299,1531160513295,9141128,0.00003096,2694.00000000,0
1531160513311,1531160513307,9141129,0.00003097,92.00000000,0
1531160513324,1531160513321,9141130,0.00003098,14727.00000000,0
1531160521397,1531160521394,9141131,0.00003098,3693.00000000,1
1531160521425,1531160521421,9141132,0.00003098,4017.00000000,1
1531160528452,1531160528448,9141133,0.00003096,3155.00000000,1
1531160531654,1531160531651,9141134,0.00003097,5054.00000000,0
1531160531676,1531160531671,9141135,0.00003096,1060.00000000,1
1531160536057,1531160536053,9141136,0.00003099,137.00000000,0
1531160537776,1531160537773,9141137,0.00003097,2979.00000000,0
1531160537791,1531160537788,9141138,0.00003096,1155.00000000,1
1531160551817,1531160551813,9141139,0.00003098,382.00000000,0
1531160552556,1531160552553,9141140,0.00003096,4766.00000000,0
1531160552569,1531160552566,9141141,0.00003098,1251.00000000,0
1531160561345,1531160561341,9141142,0.00003098,382.00000000,1
1531160561367,1531160561362,9141143,0.00003098,1109.00000000,0
1531160561386,1531160561383,9141144,0.00003098,382.00000000,1
1531160562422,1531160562418,9141145,0.00003095,8968.00000000,1
1531160573308,1531160573305,9141146,0.00003097,915.00000000,0
1531160573323,1531160573322,9141147,0.00003096,818.00000000,1
1531160573338,1531160573334,9141148,0.00003098,1251.00000000,0
1531160580395,1531160580392,9141149,0.00003098,382.00000000,1
1531160585147,1531160585142,9141150,0.00003098,154.00000000,0
1531160590414,1531160590411,9141151,0.00003097,2182.00000000,0
1531160590429,1531160590428,9141152,0.00003098,1097.00000000,0
1531160600405,1531160600401,9141153,0.00003099,132.00000000,0
1531160604530,1531160604527,9141154,0.00003096,702.00000000,0
1531160604537,1531160604533,9141155,0.00003098,282.00000000,0
1531160619153,1531160619150,9141156,0.00003098,210.00000000,0
1531160619178,1531160619175,9141157,0.00003098,998.00000000,0
1531160627739,1531160627734,9141158,0.00003096,686.00000000,1
1531160639440,1531160639436,9141159,0.00003098,22627.00000000,0
1531160645244,1531160645239,9141160,0.00003097,16765.00000000,1
1531160662300,1531160662297,9141161,0.00003098,400.00000000,1
1531160672593,1531160672589,9141162,0.00003098,158.00000000,1
1531160675227,1531160675226,9141163,0.00003098,158.00000000,1
1531160684499,1531160684495,9141164,0.00003098,1253.00000000,1
1531160684735,1531160684732,9141165,0.00003099,193.00000000,0
1531160693070,1531160693067,9141166,0.00003099,28398.00000000,0
1531160700653,1531160700650,9141167,0.00003101,12768.00000000,0
1531160701225,1531160701223,9141168,0.00003102,1407.00000000,0
1531160719472,1531160719468,9141169,0.00003102,2377.00000000,0
1531160721504,1531160721502,9141170,0.00003101,82.00000000,0
1531160724615,1531160724610,9141171,0.00003101,22523.00000000,0
1531160727280,1531160727277,9141172,0.00003102,1856.00000000,0
1531160734128,1531160734123,9141173,0.00003101,82.00000000,1
1531160734142,1531160734137,9141174,0.00003101,3361.00000000,0
1531160734155,1531160734153,9141175,0.00003101,82.00000000,1
1531160734425,1531160734422,9141176,0.00003101,5625.00000000,0
1531160745999,1531160745996,9141177,0.00003100,28321.00000000,0
1531160746013,1531160746009,9141178,0.00003101,16898.00000000,0
1531160751863,1531160751858,9141179,0.00003102,3012.00000000,0
1531160754625,1531160754621,9141180,0.00003101,5707.00000000,1
1531160775156,1531160775152,9141181,0.00003100,431.00000000,0
1531160776287,1531160776284,9141182,0.00003100,108.00000000,0
1531160795215,1531160795212,9141183,0.00003099,601.00000000,0
