event_time,trade_time,trade_id,price,quantity,maker
1531210359183,1531210359180,11940824,0.00002052,49.00000000,1
1531210363843,1531210363838,11940825,0.00002053,1754.00000000,1
1531210363951,1531210363947,11940826,0.00002053,590.00000000,1
1531210364749,1531210364745,11940827,0.00002053,1401.00000000,1
1531210368212,1531210368207,11940828,0.00002053,429.00000000,1
1531210368228,1531210368224,11940829,0.00002053,7417.00000000,0
1531210368238,1531210368234,11940830,0.00002053,429.00000000,1
1531210370790,1531210370786,11940831,0.00002052,2.00000000,1
1531210379521,1531210379517,11940832,0.00002053,1943.00000000,0
1531210379659,1531210379655,11940833,0.00002052,2673.00000000,1
1531210379669,1531210379664,11940834,0.00002052,5184.00000000,0
1531210379684,1531210379679,11940835,0.00002052,2673.00000000,1
1531210379713,1531210379708,11940836,0.00002053,1802.00000000,0
1531210379800,1531210379794,11940837,0.00002053,2372.00000000,1
1531210381142,1531210381137,11940838,0.00002052,4093.00000000,1
1531210397433,1531210397428,11940839,0.00002053,148.00000000,0
1531210404930,1531210404926,11940840,0.00002052,13488.00000000,1
1531210404944,1531210404940,11940841,0.00002052,12408.00000000,0
1531210404954,1531210404948,11940842,0.00002052,13488.00000000,1
1531210412279,1531210412275,11940843,0.00002053,36.00000000,0
1531210417022,1531210417018,11940844,0.00002053,1.00000000,0
1531210418058,1531210418053,11940845,0.00002052,6.00000000,1
1531210431448,1531210431444,11940846,0.00002053,36.00000000,0
1531210432977,1531210432973,11940847,0.00002052,1124.00000000,1
1531210433008,1531210433002,11940848,0.00002052,473.00000000,1
1531210441251,1531210441246,11940849,0.00002052,17876.00000000,1
1531210441267,1531210441261,11940850,0.00002052,24988.00000000,1
1531210449517,1531210449511,11940851,0.00002052,4.00000000,1
1531210454115,1531210454110,11940852,0.00002053,9381.00000000,1
1531210457582,1531210457577,11940853,0.00002053,24590.00000000,1
1531210457594,1531210457590,11940854,0.00002053,20106.00000000,0
1531210457607,1531210457603,11940855,0.00002053,9412.00000000,1
1531210457629,1531210457628,11940856,0.00002053,15178.00000000,1
1531210464360,1531210464355,11940857,0.00002052,13056.00000000,1
1531210464380,1531210464375,11940858,0.00002052,4908.00000000,1
1531210464398,1531210464393,11940859,0.00002053,9381.00000000,0
1531210475290,1531210475286,11940860,0.00002052,10.00000000,1
1531210480954,1531210480950,11940861,0.00002053,132.00000000,0
1531210486448,1531210486444,11940862,0.00002053,968.00000000,0
1531210486448,1531210486444,11940863,0.00002055,1532.00000000,0
1531210489785,1531210489780,11940864,0.00002053,53.00000000,0
1531210492458,1531210492455,11940865,0.00002053,1268.00000000,0
1531210493140,1531210493135,11940866,0.00002053,23229.00000000,0
1531210493151,1531210493146,11940867,0.00002053,576.00000000,0
1531210500855,1531210500851,11940868,0.00002054,180.00000000,0
1531210511484,1531210511478,11940869,0.00002053,1321.00000000,1
1531210511498,1531210511493,11940870,0.00002053,19013.00000000,0
1531210511521,1531210511517,11940871,0.00002053,1321.00000000,1
1531210524331,1531210524325,11940872,0.00002052,23420.00000000,1
1531210524359,1531210524355,11940873,0.00002053,576.00000000,0
1531210526398,1531210526393,11940874,0.00002053,998.00000000,1
1531210526596,1531210526592,11940875,0.00002053,323.00000000,1
1531210526666,1531210526666,11940876,0.00002052,11.00000000,1
1531210531033,1531210531029,11940877,0.00002052,146.00000000,1
1531210532229,1531210532223,11940878,0.00002053,35607.00000000,0
1531210532241,1531210532237,11940879,0.00002052,14212.00000000,1
1531210532540,1531210532536,11940880,0.00002052,146.00000000,0
1531210538375,1531210538371,11940881,0.00002052,956.00000000,1
1531210540770,1531210540764,11940882,0.00002052,1604.00000000,1
1531210540770,1531210540764,11940883,0.00002051,2546.00000000,1
1531210543989,1531210543985,11940884,0.00002050,1.00000000,1
1531210548000,1531210547996,11940885,0.00002050,3000.00000000,1
1531210548301,1531210548296,11940886,0.00002050,1996.00000000,1
1531210557839,1531210557835,11940887,0.00002052,855.00000000,1
1531210559217,1531210559211,11940888,0.00002052,844.00000000,1
1531210559377,1531210559373,11940889,0.00002052,3332.00000000,1
1531210560213,1531210560209,11940890,0.00002052,590.00000000,0
1531210563336,1531210563330,11940891,0.00002052,590.00000000,0
1531210564334,1531210564329,11940892,0.00002051,7670.00000000,1
1531210564358,1531210564352,11940893,0.00002052,519.00000000,0
1531210573479,1531210573476,11940894,0.00002052,2.00000000,1
1531210577286,1531210577281,11940895,0.00002052,5031.00000000,1
1531210584237,1531210584233,11940896,0.00002052,123.00000000,1
1531210602741,1531210602734,11940897,0.00002052,18.00000000,1
1531210608710,1531210608704,11940898,0.00002052,32.00000000,1
1531210612640,1531210612637,11940899,0.00002052,7154.00000000,1
1531210622317,1531210622310,11940900,0.00002052,2.00000000,1
1531210624150,1531210624146,11940901,0.00002052,55.00000000,1
1531210630650,1531210630645,11940902,0.00002051,33089.00000000,1
1531210630662,1531210630658,11940903,0.00002051,39705.00000000,0
1531210630678,1531210630674,11940904,0.00002051,33089.00000000,1
1531210630796,1531210630791,11940905,0.00002050,3.00000000,1
1531210632581,1531210632576,11940906,0.00002052,399.00000000,0
1531210633382,1531210633377,11940907,0.00002051,3.00000000,1
1531210635674,1531210635674,11940908,0.00002051,32414.00000000,1
1531210635699,1531210635695,11940909,0.00002051,38274.00000000,1
1531210644226,1531210644222,11940910,0.00002051,3.00000000,0
1531210647076,1531210647073,11940911,0.00002052,60.00000000,0
1531210652936,1531210652931,11940912,0.00002051,38274.00000000,1
1531210657751,1531210657746,11940913,0.00002051,3.00000000,0
1531210657751,1531210657746,11940914,0.00002052,11971.00000000,0
1531210657751,1531210657746,11940915,0.00002053,326.00000000,0
1531210661352,1531210661346,11940916,0.00002053,2433.00000000,0
1531210663717,1531210663714,11940917,0.00002051,2.00000000,1
1531210664601,1531210664596,11940918,0.00002051,25000.00000000,1
1531210664601,1531210664596,11940919,0.00002050,122626.00000000,1
1531210666949,1531210666944,11940920,0.00002053,267.00000000,0
1531210666949,1531210666944,11940921,0.00002054,145.00000000,0
1531210671244,1531210671240,11940922,0.00002051,25000.00000000,1
1531210671483,1531210671479,11940923,0.00002051,3381.00000000,1
1531210673723,1531210673719,11940924,0.00002052,37200.00000000,0
1531210673734,1531210673729,11940925,0.00002051,30408.00000000,1
1531210673751,1531210673748,11940926,0.00002051,10067.00000000,1
