event_time,trade_time,trade_id,price,quantity,maker
1531210376433,1531210376428,9858047,0.10947000,3.14100000,1
1531210377068,1531210377063,9858048,0.10959800,0.01000000,0
1531210377195,1531210377190,9858049,0.10959800,0.01000000,0
1531210377330,1531210377327,9858050,0.10959800,0.01000000,0
1531210377453,1531210377451,9858051,0.10959800,0.01000000,0
1531210377578,1531210377575,9858052,0.10959800,0.01000000,0
1531210392142,1531210392137,9858053,0.10947000,2.54400000,1
1531210392164,1531210392159,9858054,0.10947000,0.70000000,1
1531210398509,1531210398505,9858055,0.10947000,3.46700000,1
1531210398528,1531210398524,9858056,0.10947000,2.32600000,1
1531210405264,1531210405260,9858057,0.10947000,2.98700000,1
1531210424111,1531210424107,9858058,0.10958000,0.00100000,0
1531210427700,1531210427696,9858059,0.10947100,2.87500000,1
1531210427715,1531210427710,9858060,0.10947100,0.55100000,1
1531210444502,1531210444496,9858061,0.10947000,1.90000000,1
1531210446515,1531210446510,9858062,0.10947000,2.00000000,1
1531210447508,1531210447503,9858063,0.10947100,0.20000000,1
1531210450918,1531210450914,9858064,0.10947100,0.03800000,1
1531210450918,1531210450914,9858065,0.10947000,0.07900000,1
1531210463520,1531210463516,9858066,0.10948100,0.04900000,1
1531210465513,1531210465508,9858067,0.10947000,0.00100000,1
1531210471241,1531210471235,9858068,0.10959800,0.01600000,0
1531210497178,1531210497173,9858069,0.10957800,0.01000000,0
1531210497304,1531210497300,9858070,0.10957800,0.01000000,0
1531210497642,1531210497636,9858071,0.10957800,0.01000000,0
1531210497771,1531210497767,9858072,0.10957800,0.01000000,0
1531210497903,1531210497897,9858073,0.10957800,0.01000000,0
1531210546208,1531210546204,9858074,0.10945700,5.02100000,0
1531210546221,1531210546216,9858075,0.10941400,4.40500000,1
1531210552149,1531210552145,9858076,0.10950000,0.01000000,0
1531210553325,1531210553320,9858077,0.10950000,0.07000000,0
1531210556514,1531210556514,9858078,0.10942000,0.01500000,0
1531210567043,1531210567039,9858079,0.10958400,0.79000000,0
1531210567043,1531210567039,9858080,0.10958600,0.68800000,0
1531210584044,1531210584038,9858081,0.10959900,0.01000000,0
1531210584174,1531210584169,9858082,0.10959900,0.01000000,0
1531210584309,1531210584305,9858083,0.10959900,0.01000000,0
1531210584438,1531210584432,9858084,0.10959900,0.01000000,0
1531210584573,1531210584571,9858085,0.10959900,0.01000000,0
1531210589404,1531210589400,9858086,0.10941300,0.01000000,1
1531210589537,1531210589533,9858087,0.10941300,0.01000000,1
1531210589670,1531210589666,9858088,0.10941400,0.01000000,1
1531210589797,1531210589794,9858089,0.10941500,0.01000000,1
1531210590139,1531210590135,9858090,0.10941500,0.01000000,1
