event_time,trade_time,trade_id,price,quantity,maker
1531210388754,1531210388749,3057942,0.00246500,14.28500000,1
1531210388754,1531210388749,3057943,0.00246400,5.58400000,1
1531210393670,1531210393666,3057944,0.00246400,76.14300000,1
1531210404755,1531210404751,3057945,0.00246400,17.50700000,1
1531210423059,1531210423060,3057946,0.00246500,1.11900000,1
1531210426577,1531210426572,3057947,0.00246500,4.68400000,0
1531210426577,1531210426572,3057948,0.00247200,3.67500000,0
1531210443152,1531210443146,3057949,0.00246400,9.45900000,1
1531210463824,1531210463821,3057950,0.00247000,4.94400000,0
1531210494430,1531210494427,3057951,0.00246700,2.80100000,1
1531210494431,1531210494427,3057952,0.00246700,0.00700000,1
1531210494431,1531210494427,3057953,0.00246500,11.51300000,1
1531210494484,1531210494479,3057954,0.00246500,22.85000000,1
1531210494486,1531210494482,3057955,0.00246500,22.85000000,1
1531210495111,1531210495107,3057956,0.00246500,5.13600000,1
1531210495116,1531210495113,3057957,0.00246500,32.61200000,1
1531210496430,1531210496430,3057958,0.00246500,14.24100000,1
1531210496621,1531210496616,3057959,0.00246500,14.81200000,1
1531210498615,1531210498611,3057960,0.00246500,9.68400000,1
1531210505126,1531210505120,3057961,0.00247500,0.35300000,0
1531210515373,1531210515369,3057962,0.00247500,0.52700000,0
1531210519180,1531210519175,3057963,0.00247500,1.92800000,0
1531210519180,1531210519175,3057964,0.00247600,30.69000000,0
1531210519180,1531210519175,3057965,0.00247700,8.10500000,0
1531210519180,1531210519175,3057966,0.00247900,4.27100000,0
1531210519180,1531210519175,3057967,0.00248400,3.00000000,0
1531210519180,1531210519175,3057968,0.00248600,35.01200000,0
1531210525533,1531210525529,3057969,0.00247700,14.23200000,1
1531210525533,1531210525529,3057970,0.00247600,2.44100000,1
1531210525765,1531210525761,3057971,0.00247500,0.42600000,0
1531210525896,1531210525892,3057972,0.00247500,0.42600000,0
1531210526030,1531210526029,3057973,0.00247500,0.42600000,0
1531210526163,1531210526159,3057974,0.00247500,0.42600000,0
1531210526297,1531210526292,3057975,0.00247500,0.42600000,0
1531210527878,1531210527874,3057976,0.00246600,0.42600000,1
1531210528099,1531210528095,3057977,0.00246600,0.42600000,1
1531210528321,1531210528316,3057978,0.00246600,0.42600000,1
1531210528547,1531210528542,3057979,0.00246600,0.42600000,1
