event_time,trade_time,trade_id,price,quantity,maker
1531210371762,1531210371757,1987337,0.00004412,1860.00000000,0
1531210372164,1531210372159,1987338,0.00004412,1326.00000000,0
1531210372238,1531210372234,1987339,0.00004412,725.00000000,0
1531210372391,1531210372386,1987340,0.00004412,311.00000000,0
1531210372418,1531210372413,1987341,0.00004412,202.00000000,1
1531210372425,1531210372421,1987342,0.00004412,153.00000000,1
1531210372653,1531210372648,1987343,0.00004413,3054.00000000,0
1531210372683,1531210372679,1987344,0.00004412,370.00000000,1
1531210372841,1531210372837,1987345,0.00004421,898.00000000,1
1531210372845,1531210372842,1987346,0.00004421,897.00000000,1
1531210373216,1531210373211,1987347,0.00004423,285.00000000,0
1531210373216,1531210373211,1987348,0.00004433,80.00000000,0
1531210373216,1531210373211,1987349,0.00004447,226.00000000,0
1531210373216,1531210373211,1987350,0.00004449,910.00000000,0
1531210373326,1531210373322,1987351,0.00004421,92.00000000,1
1531210373646,1531210373642,1987352,0.00004422,130.00000000,1
1531210381122,1531210381118,1987353,0.00004426,1332.00000000,1
1531210381122,1531210381118,1987354,0.00004425,314.00000000,1
1531210381122,1531210381118,1987355,0.00004421,46.00000000,1
1531210381122,1531210381118,1987356,0.00004420,144.00000000,1
1531210395893,1531210395889,1987357,0.00004420,14.00000000,1
1531210405303,1531210405298,1987358,0.00004438,42.00000000,0
1531210406204,1531210406198,1987359,0.00004412,408.00000000,0
1531210407736,1531210407733,1987360,0.00004411,134.00000000,1
1531210407762,1531210407758,1987361,0.00004405,163.00000000,1
1531210408578,1531210408574,1987362,0.00004408,117.00000000,0
1531210409576,1531210409576,1987363,0.00004409,134.00000000,0
1531210415305,1531210415300,1987364,0.00004406,414.00000000,0
1531210421742,1531210421737,1987365,0.00004405,194.00000000,1
1531210423999,1531210423994,1987366,0.00004402,171.00000000,1
1531210423999,1531210423994,1987367,0.00004401,1.00000000,1
1531210425547,1531210425542,1987368,0.00004421,44.00000000,0
1531210425779,1531210425773,1987369,0.00004421,255.00000000,0
1531210426401,1531210426397,1987370,0.00004422,46.00000000,0
1531210426418,1531210426415,1987371,0.00004422,54.00000000,0
1531210427585,1531210427581,1987372,0.00004421,194.00000000,0
1531210428074,1531210428069,1987373,0.00004422,30.00000000,0
1531210428074,1531210428069,1987374,0.00004426,96.00000000,0
1531210429722,1531210429716,1987375,0.00004426,38.00000000,0
1531210436437,1531210436434,1987376,0.00004411,114.00000000,1
1531210463438,1531210463434,1987377,0.00004421,68.00000000,1
1531210463438,1531210463434,1987378,0.00004411,134.00000000,1
