event_time,trade_time,trade_id,price,quantity,maker
1531210576045,1531210576040,1494119,0.00000702,156.00000000,0
1531210576241,1531210576235,1494120,0.00000702,4274.00000000,0
1531210576312,1531210576306,1494121,0.00000702,8308.00000000,0
1531210894352,1531210894347,1494122,0.00000704,155.00000000,0
1531211294205,1531211294200,1494123,0.00000701,1787.00000000,1
1531211294232,1531211294227,1494124,0.00000700,1429.00000000,1
1531211294257,1531211294248,1494125,0.00000700,9895.00000000,1
1531211294257,1531211294248,1494126,0.00000698,1158.00000000,1
1531211294257,1531211294248,1494127,0.00000697,7259.00000000,1
1531211294257,1531211294248,1494128,0.00000696,22286.00000000,1
1531211294257,1531211294248,1494129,0.00000695,8566.00000000,1
1531211294257,1531211294248,1494130,0.00000694,1429.00000000,1
1531211294324,1531211294319,1494131,0.00000694,2000.00000000,1
1531211295010,1531211295005,1494132,0.00000696,5000.00000000,0
1531211295010,1531211295005,1494133,0.00000697,3065.00000000,0
1531211295010,1531211295005,1494134,0.00000699,1175.00000000,0
1531211295133,1531211295127,1494135,0.00000695,940.00000000,0
1531211295148,1531211295144,1494136,0.00000695,398.00000000,0
1531211295183,1531211295178,1494137,0.00000695,394.00000000,0
1531211295227,1531211295222,1494138,0.00000695,399.00000000,0
1531211296817,1531211296818,1494139,0.00000695,5450.00000000,0
1531211301310,1531211301306,1494140,0.00000695,7100.00000000,0
1531211301890,1531211301885,1494141,0.00000694,8308.00000000,1
1531211303076,1531211303076,1494142,0.00000695,5330.00000000,0
1531211304687,1531211304681,1494143,0.00000695,630.00000000,0
1531211304687,1531211304681,1494144,0.00000696,4123.00000000,0
1531211304687,1531211304681,1494145,0.00000698,577.00000000,0
1531211306161,1531211306156,1494146,0.00000698,103.00000000,0
1531211306270,1531211306265,1494147,0.00000698,35.00000000,0
1531211306354,1531211306349,1494148,0.00000698,85.00000000,0
1531211313600,1531211313596,1494149,0.00000697,44.00000000,0
1531211313663,1531211313659,1494150,0.00000697,40.00000000,0
1531211313720,1531211313715,1494151,0.00000697,132.00000000,0
1531211313772,1531211313766,1494152,0.00000697,45.00000000,0
1531211314002,1531211313997,1494153,0.00000695,36.00000000,0
1531211314164,1531211314157,1494154,0.00000695,151.00000000,0
1531211314215,1531211314212,1494155,0.00000695,36.00000000,0
1531211314261,1531211314256,1494156,0.00000695,45.00000000,0
1531211314315,1531211314310,1494157,0.00000695,53.00000000,0
1531211314380,1531211314375,1494158,0.00000695,43.00000000,0
1531211314449,1531211314444,1494159,0.00000695,55.00000000,0
1531211314573,1531211314568,1494160,0.00000695,40.00000000,0
1531211314666,1531211314662,1494161,0.00000695,45.00000000,0
1531211314786,1531211314781,1494162,0.00000695,40.00000000,0
1531211314839,1531211314834,1494163,0.00000695,43.00000000,0
1531211314895,1531211314890,1494164,0.00000695,39.00000000,0
1531211314895,1531211314890,1494165,0.00000697,6.00000000,0
1531211314955,1531211314951,1494166,0.00000697,97.00000000,0
1531211315008,1531211315003,1494167,0.00000697,51.00000000,0
1531211315130,1531211315127,1494168,0.00000697,93.00000000,0
1531211315182,1531211315176,1494169,0.00000697,87.00000000,0
1531211315230,1531211315224,1494170,0.00000697,21.00000000,0
1531211315230,1531211315224,1494171,0.00000698,30.00000000,0
1531211315318,1531211315313,1494172,0.00000698,91.00000000,0
