event_time,trade_time,trade_id,price,quantity,maker
1531210418386,1531210418383,265596,0.00002785,908.00000000,1
1531210487910,1531210487906,265597,0.00002781,46.00000000,1
1531210541787,1531210541782,265598,0.00002781,1.00000000,1
1531210573952,1531210573949,265599,0.00002785,39.00000000,1
1531210614718,1531210614718,265600,0.00002789,2252.00000000,1
1531210625594,1531210625591,265601,0.00002789,813.00000000,1
1531210625610,1531210625610,265602,0.00002789,2656.00000000,1
1531210666849,1531210666844,265603,0.00002789,2684.00000000,1
1531210666865,1531210666861,265604,0.00002789,1610.00000000,1
1531210699853,1531210699849,265605,0.00002778,1754.00000000,1
1531210711406,1531210711403,265606,0.00002777,1078.00000000,1
1531210847037,1531210847033,265607,0.00002778,1530.00000000,1
1531210847054,1531210847050,265608,0.00002778,906.00000000,1
1531210861828,1531210861823,265609,0.00002779,250.00000000,1
1531210908113,1531210908109,265610,0.00002783,1412.00000000,0
1531210908132,1531210908127,265611,0.00002780,1177.00000000,1
1531210949612,1531210949608,265612,0.00002783,2785.00000000,1
1531211018972,1531211018968,265613,0.00002786,117.00000000,0
1531211018972,1531211018968,265614,0.00002806,91.00000000,0
1531211018972,1531211018968,265615,0.00002807,3192.00000000,0
1531211020205,1531211020201,265616,0.00002784,1325.00000000,1
1531211066855,1531211066851,265617,0.00002797,4234.00000000,0
1531211066866,1531211066861,265618,0.00002788,1095.00000000,1
1531211066886,1531211066881,265619,0.00002788,2551.00000000,1
1531211089827,1531211089821,265620,0.00002787,40.00000000,1
1531211098638,1531211098634,265621,0.00002804,134.00000000,0
1531211098638,1531211098634,265622,0.00002805,1322.00000000,0
1531211107513,1531211107508,265623,0.00002788,241.00000000,1
1531211158708,1531211158704,265624,0.00002787,62.00000000,0
1531211162743,1531211162738,265625,0.00002787,196.00000000,0
1531211167718,1531211167714,265626,0.00002803,40.00000000,0
1531211179488,1531211179483,265627,0.00002786,39.00000000,1
1531211287173,1531211287169,265628,0.00002796,4458.00000000,0
1531211287184,1531211287183,265629,0.00002789,1261.00000000,1
1531211287209,1531211287205,265630,0.00002789,2752.00000000,1
1531211307738,1531211307732,265631,0.00002803,201.00000000,0
1531211307738,1531211307732,265632,0.00002806,468.00000000,0
1531211307738,1531211307732,265633,0.00002809,235.00000000,0
1531211307738,1531211307732,265634,0.00002810,913.00000000,0
1531211307738,1531211307732,265635,0.00002815,136.00000000,0
1531211307738,1531211307732,265636,0.00002820,1597.00000000,0
1531211319653,1531211319648,265637,0.00002794,107.00000000,1
1531211321381,1531211321377,265638,0.00002795,1079.00000000,1
1531211322276,1531211322271,265639,0.00002795,42.00000000,1
1531211341787,1531211341783,265640,0.00002796,227.00000000,1
1531211343836,1531211343830,265641,0.00002797,180.00000000,1
1531211382360,1531211382356,265642,0.00002799,106.00000000,1
1531211400279,1531211400276,265643,0.00002799,900.00000000,1
1531211405778,1531211405776,265644,0.00002802,313.00000000,1
1531211409142,1531211409138,265645,0.00002802,5.00000000,1
1531211411797,1531211411792,265646,0.00002810,355.00000000,0
1531211411844,1531211411844,265647,0.00002802,355.00000000,1
1531211411847,1531211411844,265648,0.00002810,552.00000000,0
1531211412151,1531211412145,265649,0.00002810,25.00000000,1
1531211412811,1531211412807,265650,0.00002809,577.00000000,0
1531211432338,1531211432334,265651,0.00002803,1537.00000000,1
1531211447310,1531211447307,265652,0.00002809,556.00000000,0
1531211463351,1531211463346,265653,0.00002803,6.00000000,1
1531211472845,1531211472841,265654,0.00002805,170.00000000,1
1531211480848,1531211480844,265655,0.00002801,1717.00000000,1
1531211480873,1531211480869,265656,0.00002801,1541.00000000,1
1531211507454,1531211507451,265657,0.00002801,1947.00000000,1
1531211515386,1531211515381,265658,0.00002802,103.00000000,1
1531211519037,1531211519034,265659,0.00002805,751.00000000,0
1531211519050,1531211519045,265660,0.00002802,2178.00000000,1
1531211519062,1531211519058,265661,0.00002802,634.00000000,1
1531211523029,1531211523025,265662,0.00002802,103.00000000,0
1531211541236,1531211541232,265663,0.00002809,1172.00000000,0
1531211541276,1531211541271,265664,0.00002809,216.00000000,1
1531211541637,1531211541633,265665,0.00002809,70.00000000,1
1531211545805,1531211545799,265666,0.00002810,101.00000000,1
1531211551286,1531211551281,265667,0.00002809,2.00000000,1
1531211586808,1531211586807,265668,0.00002814,2891.00000000,0
1531211586818,1531211586814,265669,0.00002810,2180.00000000,1
1531211586840,1531211586836,265670,0.00002810,1643.00000000,1
1531211590419,1531211590416,265671,0.00002819,101.00000000,0
1531211591046,1531211591042,265672,0.00002819,3.00000000,1
1531211591061,1531211591056,265673,0.00002819,167.00000000,1
1531211593636,1531211593631,265674,0.00002819,3.00000000,1
1531211595975,1531211595971,265675,0.00002819,3.00000000,1
1531211597765,1531211597761,265676,0.00002819,93.00000000,1
1531211598656,1531211598651,265677,0.00002819,3.00000000,1
1531211602980,1531211602975,265678,0.00002819,3.00000000,1
1531211605064,1531211605060,265679,0.00002819,3.00000000,1
1531211607194,1531211607189,265680,0.00002819,3.00000000,1
1531211609482,1531211609478,265681,0.00002819,3.00000000,1
1531211612976,1531211612971,265682,0.00002819,3.00000000,1
1531211632606,1531211632603,265683,0.00002820,1000.00000000,0
1531211635398,1531211635394,265684,0.00002819,14.00000000,1
1531211664859,1531211664855,265685,0.00002819,3.00000000,1
1531211708705,1531211708702,265686,0.00002819,1.00000000,1
1531211728015,1531211728010,265687,0.00002819,2984.00000000,0
1531211731539,1531211731536,265688,0.00002803,246.00000000,1
1531211731539,1531211731536,265689,0.00002801,165.00000000,1
1531211808166,1531211808159,265690,0.00002800,32.00000000,1
1531211811421,1531211811417,265691,0.00002800,89.00000000,1
1531211817925,1531211817922,265692,0.00002801,307.00000000,0
1531212085440,1531212085436,265693,0.00002803,328.00000000,1
1531212319109,1531212319104,265694,0.00002803,89.00000000,1
1531212333241,1531212333238,265695,0.00002804,2.00000000,1
1531212387389,1531212387383,265696,0.00002801,1108.00000000,1
1531212409105,1531212409100,265697,0.00002803,1756.00000000,1
1531212447161,1531212447159,265698,0.00002805,2117.00000000,1
1531212457623,1531212457618,265699,0.00002805,39.00000000,1
1531212493083,1531212493079,265700,0.00002804,7.00000000,1
1531212507112,1531212507107,265701,0.00002812,2547.00000000,0
1531212507124,1531212507120,265702,0.00002805,1366.00000000,1
1531212507149,1531212507143,265703,0.00002805,2235.00000000,1
1531212529375,1531212529369,265704,0.00002819,807.00000000,0
1531212529375,1531212529369,265705,0.00002820,93.00000000,0
1531212532402,1531212532398,265706,0.00002806,162.00000000,1
1531212578484,1531212578480,265707,0.00002813,93.00000000,0
1531212578500,1531212578496,265708,0.00002808,71.00000000,1
1531212607917,1531212607911,265709,0.00002806,461.00000000,1
1531212628454,1531212628449,265710,0.00002807,2338.00000000,1
1531212668300,1531212668296,265711,0.00002806,2156.00000000,1
1531212668320,1531212668316,265712,0.00002806,892.00000000,1
1531212676562,1531212676558,265713,0.00002806,1832.00000000,1
1531212677731,1531212677722,265714,0.00002819,162.00000000,0
1531212677731,1531212677722,265715,0.00002820,436.00000000,0
1531212677731,1531212677722,265716,0.00002823,63.00000000,0
1531212677731,1531212677722,265717,0.00002831,36.00000000,0
1531212677731,1531212677722,265718,0.00002839,39.00000000,0
1531212677731,1531212677722,265719,0.00002845,906.00000000,0
1531212677731,1531212677722,265720,0.00002848,92.00000000,0
1531212677731,1531212677722,265721,0.00002849,450.00000000,0
1531212677731,1531212677722,265722,0.00002850,2981.00000000,0
1531212677731,1531212677722,265723,0.00002853,36.00000000,0
1531212677731,1531212677722,265724,0.00002858,770.00000000,0
1531212677731,1531212677722,265725,0.00002860,2451.00000000,0
1531212677731,1531212677722,265726,0.00002867,641.00000000,0
1531212677731,1531212677722,265727,0.00002868,3415.00000000,0
1531212677731,1531212677722,265728,0.00002870,11624.00000000,0
1531212677904,1531212677899,265729,0.00002827,577.00000000,1
1531212678054,1531212678050,265730,0.00002829,214.00000000,1
1531212678283,1531212678281,265731,0.00002829,118.00000000,0
1531212678843,1531212678838,265732,0.00002830,54.00000000,1
1531212678872,1531212678867,265733,0.00002829,300.00000000,1
1531212678945,1531212678939,265734,0.00002829,224.00000000,1
1531212679216,1531212679212,265735,0.00002827,3.00000000,1
1531212679294,1531212679289,265736,0.00002827,396.00000000,1
1531212680418,1531212680413,265737,0.00002827,29.00000000,1
1531212681743,1531212681738,265738,0.00002825,128.00000000,0
1531212683863,1531212683857,265739,0.00002825,37.00000000,1
1531212683863,1531212683857,265740,0.00002824,689.00000000,1
1531212689217,1531212689214,265741,0.00002829,221.00000000,0
1531212689217,1531212689214,265742,0.00002842,88.00000000,0
1531212689735,1531212689731,265743,0.00002829,215.00000000,1
1531212689776,1531212689771,265744,0.00002829,40.00000000,1
1531212702178,1531212702173,265745,0.00002818,519.00000000,1
1531212702209,1531212702206,265746,0.00002818,201.00000000,1
1531212716439,1531212716434,265747,0.00002823,244.00000000,1
1531212716961,1531212716957,265748,0.00002813,152.00000000,1
1531212716961,1531212716957,265749,0.00002812,62.00000000,1
1531212717017,1531212717012,265750,0.00002812,152.00000000,1
1531212717883,1531212717880,265751,0.00002810,288.00000000,1
1531212717923,1531212717919,265752,0.00002812,153.00000000,0
1531212720045,1531212720041,265753,0.00002809,216.00000000,1
1531212721332,1531212721327,265754,0.00002808,244.00000000,1
1531212721935,1531212721930,265755,0.00002808,111.00000000,1
1531212725929,1531212725926,265756,0.00002805,41.00000000,1
1531212726926,1531212726923,265757,0.00002805,153.00000000,1
1531212736011,1531212736006,265758,0.00002810,13.00000000,1
1531212741911,1531212741907,265759,0.00002811,250.00000000,1
1531212741911,1531212741907,265760,0.00002809,99.00000000,1
1531212752476,1531212752471,265761,0.00002812,1238.00000000,1
1531212753287,1531212753281,265762,0.00002812,462.00000000,1
1531212771821,1531212771816,265763,0.00002818,79.00000000,0
1531212771821,1531212771816,265764,0.00002819,504.00000000,0
1531212776592,1531212776586,265765,0.00002823,905.00000000,1
1531212778239,1531212778236,265766,0.00002823,544.00000000,1
1531212782494,1531212782489,265767,0.00002823,683.00000000,1
1531212797629,1531212797625,265768,0.00002823,48.00000000,1
1531212804075,1531212804071,265769,0.00002823,8.00000000,1
1531212814221,1531212814216,265770,0.00002823,1441.00000000,1
1531212814688,1531212814682,265771,0.00002823,676.00000000,1
1531212814688,1531212814682,265772,0.00002813,459.00000000,1
1531212814688,1531212814682,265773,0.00002811,1802.00000000,1
1531212815278,1531212815272,265774,0.00002811,584.00000000,1
1531212815576,1531212815571,265775,0.00002811,1083.00000000,1
1531212817912,1531212817907,265776,0.00002824,250.00000000,0
1531212819135,1531212819132,265777,0.00002824,71.00000000,1
1531212822108,1531212822104,265778,0.00002824,2104.00000000,1
1531212822108,1531212822104,265779,0.00002805,306.00000000,1
1531212822108,1531212822104,265780,0.00002804,1097.00000000,1
1531212897209,1531212897205,265781,0.00002815,1219.00000000,0
1531212897221,1531212897216,265782,0.00002810,36.00000000,1
1531212897245,1531212897240,265783,0.00002810,910.00000000,1
1531212921793,1531212921789,265784,0.00002807,3.00000000,1
1531212938174,1531212938169,265785,0.00002815,216.00000000,0
1531212938174,1531212938169,265786,0.00002818,214.00000000,0
1531212938351,1531212938346,265787,0.00002825,288.00000000,0
1531212939758,1531212939753,265788,0.00002830,308.00000000,0
1531212947839,1531212947836,265789,0.00002826,2741.00000000,1
1531212947851,1531212947847,265790,0.00002826,162.00000000,1
1531212949225,1531212949220,265791,0.00002825,430.00000000,1
1531212978413,1531212978408,265792,0.00002817,246.00000000,1
1531212985156,1531212985151,265793,0.00002819,4538.00000000,0
1531212985171,1531212985165,265794,0.00002809,1759.00000000,1
1531212999986,1531212999982,265795,0.00002810,2940.00000000,1
1531213025744,1531213025740,265796,0.00002819,2464.00000000,0
1531213025758,1531213025754,265797,0.00002809,134.00000000,1
1531213025785,1531213025780,265798,0.00002809,1925.00000000,1
1531213038535,1531213038530,265799,0.00002808,119.00000000,1
1531213050836,1531213050831,265800,0.00002816,2823.00000000,0
1531213050851,1531213050846,265801,0.00002808,2139.00000000,1
1531213098844,1531213098840,265802,0.00002809,1614.00000000,1
1531213098861,1531213098857,265803,0.00002809,1966.00000000,1
