event_time,trade_time,trade_id,price,quantity,maker
1531210388114,1531210388108,269321,0.00000077,706018.00000000,1
1531210390477,1531210390472,269322,0.00000078,1444.00000000,0
1531210437701,1531210437698,269323,0.00000078,20196.00000000,0
1531210454732,1531210454729,269324,0.00000078,52753.00000000,0
1531210459915,1531210459910,269325,0.00000078,23981.00000000,0
1531210502513,1531210502508,269326,0.00000077,978061.00000000,1
1531210541887,1531210541883,269327,0.00000078,1444.00000000,0
1531210552337,1531210552320,269328,0.00000077,3250.00000000,1
1531210570158,1531210570153,269329,0.00000078,1355.00000000,0
1531210577495,1531210577490,269330,0.00000078,23981.00000000,0
1531210595651,1531210595646,269331,0.00000078,1.00000000,0
1531210620221,1531210620215,269332,0.00000078,43956.00000000,0
1531210620240,1531210620236,269333,0.00000078,8260.00000000,0
1531210620246,1531210620242,269334,0.00000078,12820.00000000,0
1531210620248,1531210620245,269335,0.00000078,43956.00000000,0
1531210629413,1531210629410,269336,0.00000078,5005.00000000,0
1531210637513,1531210637507,269337,0.00000078,23981.00000000,0
1531210637838,1531210637811,269338,0.00000078,10300739.00000000,0
1531210638529,1531210638526,269339,0.00000078,36648.00000000,1
1531210638821,1531210638815,269340,0.00000078,69889.00000000,1
1531210639484,1531210639480,269341,0.00000078,27569.00000000,1
1531210639600,1531210639597,269342,0.00000078,41354.00000000,1
1531210640134,1531210640130,269343,0.00000078,1400.00000000,1
1531210640464,1531210640460,269344,0.00000078,17544.00000000,1
1531210642077,1531210642072,269345,0.00000078,25031.00000000,1
1531210642398,1531210642394,269346,0.00000078,2520.00000000,1
1531210642463,1531210642457,269347,0.00000078,35368.00000000,1
1531210643253,1531210643248,269348,0.00000078,6402.00000000,0
1531210644205,1531210644201,269349,0.00000078,7418.00000000,0
1531210644979,1531210644976,269350,0.00000078,6166.00000000,0
1531210673619,1531210673615,269351,0.00000078,3206.00000000,0
1531210679002,1531210678997,269352,0.00000078,1279.00000000,0
1531210679575,1531210679572,269353,0.00000078,4.00000000,0
1531210680804,1531210680799,269354,0.00000078,8334.00000000,0
1531210682274,1531210682270,269355,0.00000078,10834.00000000,0
1531210688483,1531210688479,269356,0.00000078,2840.00000000,0
1531210691326,1531210691320,269357,0.00000078,2003.00000000,0
1531210693160,1531210693155,269358,0.00000078,12156.00000000,0
1531210697534,1531210697534,269359,0.00000078,23981.00000000,0
1531210707097,1531210707092,269360,0.00000078,369568.00000000,0
1531210717650,1531210717646,269361,0.00000078,122725.00000000,0
