event_time,trade_time,trade_id,price,quantity,maker
1531210354324,1531210354319,5303183,0.01418100,0.04000000,1
1531210354837,1531210354832,5303184,0.01418100,0.03000000,1
1531210355549,1531210355543,5303185,0.01418100,0.04500000,1
1531210356074,1531210356070,5303186,0.01418100,0.04900000,1
1531210356569,1531210356564,5303187,0.01418100,0.03400000,1
1531210357163,1531210357159,5303188,0.01418100,0.01700000,1
1531210357612,1531210357608,5303189,0.01418100,0.03700000,1
1531210358409,1531210358405,5303190,0.01418100,0.02900000,1
1531210358943,1531210358938,5303191,0.01418100,0.04400000,1
1531210359646,1531210359642,5303192,0.01418100,0.03000000,1
1531210360188,1531210360181,5303193,0.01418100,0.02100000,1
1531210360995,1531210360991,5303194,0.01418100,0.05400000,1
1531210362754,1531210362748,5303195,0.01418100,0.04800000,1
1531210407107,1531210407103,5303196,0.01430100,0.30700000,0
1531210407187,1531210407182,5303197,0.01430100,0.71200000,1
1531210457880,1531210457875,5303198,0.01420600,0.05400000,1
1531210460075,1531210460070,5303199,0.01418200,0.05400000,1
1531210523105,1531210523100,5303200,0.01430000,0.15600000,0
1531210569292,1531210569287,5303201,0.01430100,0.02800000,0
1531210596064,1531210596060,5303202,0.01430100,0.23400000,0
1531210721631,1531210721627,5303203,0.01430100,0.00100000,0
1531210746203,1531210746199,5303204,0.01430100,0.70000000,0
1531210749216,1531210749212,5303205,0.01430100,0.00100000,0
1531210777145,1531210777138,5303206,0.01430100,0.07600000,0
1531210849205,1531210849199,5303207,0.01430100,0.02300000,0
1531210865086,1531210865081,5303208,0.01421100,0.19400000,1
1531210905877,1531210905871,5303209,0.01430100,0.00900000,0
1531210906014,1531210906010,5303210,0.01430100,0.00100000,0
1531211046157,1531211046152,5303211,0.01430100,0.00200000,0
1531211082057,1531211082051,5303212,0.01430100,0.07100000,0
1531211082057,1531211082051,5303213,0.01432300,0.00500000,0
1531211122130,1531211122125,5303214,0.01422600,0.07600000,1
1531211150236,1531211150233,5303215,0.01432300,0.07600000,0
1531211186062,1531211186059,5303216,0.01424100,0.07600000,1
1531211238046,1531211238042,5303217,0.01424600,0.86100000,1
1531211238046,1531211238042,5303218,0.01420500,0.56200000,1
1531211259070,1531211259067,5303219,0.01432300,0.07600000,0
1531211329953,1531211329950,5303220,0.01432300,0.01800000,0
1531211330668,1531211330665,5303221,0.01432300,0.21300000,1
1531211490503,1531211490499,5303222,0.01433400,0.10500000,0
1531211490503,1531211490499,5303223,0.01434300,1.21600000,0
1531211516012,1531211516007,5303224,0.01434400,0.06000000,0
1531211569391,1531211569386,5303225,0.01434400,0.00300000,0
1531211598704,1531211598699,5303226,0.01422800,0.50000000,1
1531211599733,1531211599727,5303227,0.01422800,0.03400000,1
1531211618660,1531211618655,5303228,0.01434300,0.03200000,0
1531211643126,1531211643122,5303229,0.01423300,0.07600000,1
1531211725671,1531211725668,5303230,0.01432900,0.92100000,0
1531211727741,1531211727737,5303231,0.01432800,0.00600000,0
1531211775110,1531211775105,5303232,0.01423000,0.07600000,1
1531211811105,1531211811101,5303233,0.01432100,0.07600000,0
1531211827401,1531211827397,5303234,0.01423100,0.28300000,1
1531211827904,1531211827901,5303235,0.01423100,0.26800000,0
1531211850083,1531211850079,5303236,0.01421300,0.07600000,1
1531211920069,1531211920064,5303237,0.01429400,0.07600000,0
