event_time,trade_time,trade_id,price,quantity,maker
1531210371528,1531210371522,2410470,0.00000994,110.00000000,0
1531210371605,1531210371600,2410471,0.00000994,674.00000000,0
1531210371605,1531210371600,2410472,0.00000996,7007.00000000,0
1531210373107,1531210373102,2410473,0.00000996,649.00000000,0
1531210373214,1531210373210,2410474,0.00000996,551.00000000,0
1531210377395,1531210377391,2410475,0.00000996,2613.00000000,0
1531210380438,1531210380434,2410476,0.00000994,2710.00000000,0
1531210380696,1531210380691,2410477,0.00000994,3060.00000000,0
1531210389964,1531210389959,2410478,0.00000996,197.00000000,0
1531210394500,1531210394495,2410479,0.00000996,2952.00000000,0
1531210394500,1531210394495,2410480,0.00000997,12766.00000000,0
1531210398128,1531210398124,2410481,0.00000996,627.00000000,1
1531210401667,1531210401663,2410482,0.00000997,1923.00000000,0
1531210404285,1531210404281,2410483,0.00000996,173.00000000,1
1531210404285,1531210404281,2410484,0.00000995,802.00000000,1
1531210413965,1531210413957,2410485,0.00000997,144.00000000,0
1531210416017,1531210416013,2410486,0.00000994,2108.00000000,1
1531210416017,1531210416013,2410487,0.00000993,22892.00000000,1
1531210416548,1531210416544,2410488,0.00000993,1022.00000000,1
1531210417271,1531210417266,2410489,0.00000993,1021.00000000,1
1531210424474,1531210424470,2410490,0.00000995,123.00000000,0
1531210426589,1531210426584,2410491,0.00000994,300.00000000,1
1531210451209,1531210451205,2410492,0.00000994,17.00000000,1
1531210470338,1531210470332,2410493,0.00000996,73.00000000,0
1531210477438,1531210477434,2410494,0.00000994,11026.00000000,1
1531210477438,1531210477434,2410495,0.00000993,6956.00000000,1
1531210478580,1531210478573,2410496,0.00000994,1326.00000000,1
1531210516497,1531210516494,2410497,0.00000994,144.00000000,0
1531210521880,1531210521876,2410498,0.00000993,2820.00000000,1
1531210523363,1531210523356,2410499,0.00000994,933.00000000,1
1531210524588,1531210524582,2410500,0.00000995,137.00000000,0
1531210526212,1531210526208,2410501,0.00000995,65.00000000,0
1531210539184,1531210539180,2410502,0.00000993,900.00000000,1
1531210548689,1531210548684,2410503,0.00000993,1356.00000000,1
1531210563534,1531210563529,2410504,0.00000994,159.00000000,0
1531210586786,1531210586781,2410505,0.00000993,10000.00000000,1
1531210592692,1531210592688,2410506,0.00000993,820.00000000,1
1531210595825,1531210595823,2410507,0.00000993,3487.00000000,1
1531210604326,1531210604319,2410508,0.00000993,676.00000000,1
1531210604561,1531210604557,2410509,0.00000994,146.00000000,1
1531210616079,1531210616075,2410510,0.00000994,670.00000000,0
1531210620529,1531210620525,2410511,0.00000994,7056.00000000,1
1531210620551,1531210620548,2410512,0.00000994,779.00000000,1
1531210620554,1531210620549,2410513,0.00000994,4815.00000000,1
1531210620702,1531210620697,2410514,0.00000994,2968.00000000,1
1531210621764,1531210621758,2410515,0.00000994,66157.00000000,1
1531210622934,1531210622930,2410516,0.00000993,530.00000000,1
1531210623032,1531210623025,2410517,0.00000993,273.00000000,1
1531210624745,1531210624739,2410518,0.00000993,500.00000000,1
1531210625606,1531210625602,2410519,0.00000993,500.00000000,1
1531210627587,1531210627582,2410520,0.00000993,500.00000000,1
1531210628590,1531210628590,2410521,0.00000995,1302.00000000,0
1531210632818,1531210632814,2410522,0.00000996,409.00000000,0
1531210635854,1531210635850,2410523,0.00000994,925.00000000,0
1531210635952,1531210635945,2410524,0.00000994,975.00000000,0
1531210648096,1531210648090,2410525,0.00000996,3810.00000000,0
1531210656712,1531210656706,2410526,0.00000994,1485.00000000,1
1531210689735,1531210689730,2410527,0.00000995,779.00000000,0
1531210689735,1531210689730,2410528,0.00000995,2908.00000000,0
1531210722545,1531210722540,2410529,0.00000993,128.00000000,1
1531210737531,1531210737527,2410530,0.00000992,3709.00000000,1
1531210740616,1531210740612,2410531,0.00000993,103.00000000,1
1531210741606,1531210741601,2410532,0.00000993,803.00000000,1
1531210743740,1531210743739,2410533,0.00000994,657.00000000,0
1531210743841,1531210743837,2410534,0.00000994,3473.00000000,0
1531210745601,1531210745597,2410535,0.00000995,101.00000000,1
1531210762013,1531210762007,2410536,0.00000994,2658.00000000,0
1531210762112,1531210762106,2410537,0.00000994,1332.00000000,0
1531210773622,1531210773620,2410538,0.00000995,1251.00000000,0
1531210788710,1531210788705,2410539,0.00000994,2344.00000000,0
1531210788810,1531210788805,2410540,0.00000994,2015.00000000,0
1531210793991,1531210793986,2410541,0.00000995,637.00000000,0
1531210800418,1531210800414,2410542,0.00000995,2600.00000000,0
1531210806328,1531210806323,2410543,0.00000994,500.00000000,0
1531210806328,1531210806323,2410544,0.00000995,1530.00000000,0
1531210806343,1531210806340,2410545,0.00000995,1240.00000000,1
1531210813667,1531210813664,2410546,0.00000992,2801.00000000,0
1531210813761,1531210813757,2410547,0.00000992,2139.00000000,0
1531210823642,1531210823637,2410548,0.00000993,803.00000000,0
1531210832236,1531210832233,2410549,0.00000994,2027.00000000,0
1531210843172,1531210843168,2410550,0.00000992,1300.00000000,1
1531210844421,1531210844418,2410551,0.00000993,144.00000000,1
1531210846188,1531210846183,2410552,0.00000992,435.00000000,1
1531210854031,1531210854027,2410553,0.00000994,1604.00000000,0
1531210858772,1531210858768,2410554,0.00000992,185.00000000,1
1531210859404,1531210859399,2410555,0.00000995,1300.00000000,0
1531210871995,1531210871990,2410556,0.00000993,2133.00000000,0
1531210872090,1531210872089,2410557,0.00000993,715.00000000,0
1531210874710,1531210874706,2410558,0.00000992,16.00000000,1
1531210877600,1531210877597,2410559,0.00000992,1.00000000,1
1531210879585,1531210879582,2410560,0.00000993,658.00000000,0
1531210879842,1531210879837,2410561,0.00000993,168.00000000,0
1531210892680,1531210892675,2410562,0.00000994,293.00000000,0
1531210892773,1531210892770,2410563,0.00000994,3807.00000000,0
1531210900604,1531210900599,2410564,0.00000993,124.00000000,1
1531210902067,1531210902062,2410565,0.00000992,3785.00000000,1
1531210913646,1531210913646,2410566,0.00000992,1630.00000000,0
1531210913748,1531210913744,2410567,0.00000992,1661.00000000,0
1531210920479,1531210920475,2410568,0.00000993,181.00000000,0
1531210921142,1531210921138,2410569,0.00000993,622.00000000,0
1531210934922,1531210934917,2410570,0.00000993,517.00000000,0
1531210935027,1531210935023,2410571,0.00000993,1263.00000000,0
1531210947267,1531210947263,2410572,0.00000992,590.00000000,1
1531210961735,1531210961730,2410573,0.00000992,3.00000000,1
1531210962665,1531210962660,2410574,0.00000993,135.00000000,0
1531211000277,1531211000270,2410575,0.00000994,103.00000000,0
1531211000277,1531211000270,2410576,0.00000995,310.00000000,0
1531211000277,1531211000270,2410577,0.00000996,4429.00000000,0
1531211000277,1531211000270,2410578,0.00000997,5158.00000000,0
1531211001388,1531211001385,2410579,0.00000993,214.00000000,1
1531211003538,1531211003534,2410580,0.00000996,340.00000000,0
1531211003654,1531211003649,2410581,0.00000996,1780.00000000,0
1531211006864,1531211006861,2410582,0.00000997,214.00000000,0
1531211010439,1531211010435,2410583,0.00000995,529.00000000,0
1531211010537,1531211010531,2410584,0.00000995,1331.00000000,0
1531211013132,1531211013128,2410585,0.00000997,11119.00000000,0
1531211013288,1531211013286,2410586,0.00000997,316.00000000,0
1531211019271,1531211019266,2410587,0.00000997,101.00000000,0
1531211025258,1531211025254,2410588,0.00000997,515.00000000,0
1531211025735,1531211025727,2410589,0.00000997,2600.00000000,0
1531211034869,1531211034866,2410590,0.00000994,2433.00000000,0
1531211034965,1531211034962,2410591,0.00000994,1285.00000000,0
1531211040796,1531211040793,2410592,0.00000994,872.00000000,0
1531211044602,1531211044597,2410593,0.00000994,466.00000000,0
1531211044642,1531211044637,2410594,0.00000994,179.00000000,0
1531211044698,1531211044694,2410595,0.00000994,1066.00000000,0
1531211044698,1531211044694,2410596,0.00000996,915.00000000,0
1531211044698,1531211044694,2410597,0.00000997,136.00000000,0
1531211065338,1531211065333,2410598,0.00000995,459.00000000,0
1531211065433,1531211065427,2410599,0.00000995,641.00000000,0
1531211069677,1531211069673,2410600,0.00000993,140.00000000,1
1531211070829,1531211070826,2410601,0.00000997,57.00000000,0
1531211075667,1531211075667,2410602,0.00000994,129.00000000,0
1531211077798,1531211077794,2410603,0.00000994,2255.00000000,1
1531211081554,1531211081549,2410604,0.00000997,334.00000000,0
1531211083327,1531211083324,2410605,0.00000993,1303.00000000,1
1531211087702,1531211087700,2410606,0.00000993,1899.00000000,0
1531211089471,1531211089467,2410607,0.00000992,396.00000000,1
1531211091832,1531211091831,2410608,0.00000993,651.00000000,0
1531211091832,1531211091831,2410609,0.00000997,189.00000000,0
1531211092083,1531211092078,2410610,0.00000997,1710.00000000,0
1531211099869,1531211099865,2410611,0.00000994,803.00000000,0
1531211108355,1531211108350,2410612,0.00000996,384.00000000,0
1531211108608,1531211108605,2410613,0.00000996,2286.00000000,0
1531211112021,1531211112016,2410614,0.00000993,803.00000000,1
1531211112021,1531211112016,2410615,0.00000992,480.00000000,1
1531211112021,1531211112016,2410616,0.00000991,10401.00000000,1
1531211112021,1531211112016,2410617,0.00000990,9270.00000000,1
1531211113627,1531211113623,2410618,0.00000992,200.00000000,1
1531211118577,1531211118573,2410619,0.00000997,10030.00000000,0
1531211118958,1531211118953,2410620,0.00000992,529.00000000,0
1531211119746,1531211119741,2410621,0.00000992,974.00000000,0
1531211119931,1531211119927,2410622,0.00000997,370.00000000,0
1531211121955,1531211121951,2410623,0.00000992,134.00000000,1
1531211122221,1531211122216,2410624,0.00000992,366.00000000,1
1531211122221,1531211122216,2410625,0.00000990,29.00000000,1
1531211124439,1531211124435,2410626,0.00000997,824.00000000,0
1531211124535,1531211124532,2410627,0.00000997,679.00000000,0
1531211134522,1531211134518,2410628,0.00000995,141.00000000,0
1531211134616,1531211134612,2410629,0.00000995,750.00000000,0
1531211161198,1531211161194,2410630,0.00000995,530.00000000,0
