event_time,trade_time,trade_id,price,quantity,maker
1531210442377,1531210442372,3766475,0.00002094,1940.00000000,1
1531210470607,1531210470603,3766476,0.00002093,161.00000000,1
1531210475596,1531210475592,3766477,0.00002087,15041.00000000,1
1531210500623,1531210500619,3766478,0.00002089,597.00000000,0
1531210500632,1531210500631,3766479,0.00002092,383.00000000,0
1531210521599,1531210521595,3766480,0.00002090,368.00000000,0
1531210533674,1531210533669,3766481,0.00002089,317.00000000,0
1531210548998,1531210548993,3766482,0.00002088,844.00000000,1
1531210578331,1531210578327,3766483,0.00002090,1114.00000000,0
1531210578350,1531210578345,3766484,0.00002087,871.00000000,1
1531210624089,1531210624085,3766485,0.00002093,1386.00000000,0
1531210624107,1531210624103,3766486,0.00002093,2165.00000000,0
1531210657200,1531210657194,3766487,0.00002090,7213.00000000,0
1531210657210,1531210657205,3766488,0.00002088,1507.00000000,1
1531210657228,1531210657224,3766489,0.00002088,3031.00000000,1
1531210683701,1531210683695,3766490,0.00002092,94.00000000,0
1531210699725,1531210699721,3766491,0.00002090,8896.00000000,0
1531210699740,1531210699735,3766492,0.00002093,4890.00000000,0
1531210699767,1531210699762,3766493,0.00002093,3200.00000000,0
1531210720456,1531210720451,3766494,0.00002093,182.00000000,0
1531210733226,1531210733222,3766495,0.00002091,6906.00000000,0
1531210733241,1531210733236,3766496,0.00002089,3837.00000000,1
1531210755601,1531210755597,3766497,0.00002088,110.00000000,1
1531210757198,1531210757194,3766498,0.00002088,1154.00000000,0
1531211190824,1531211190820,3766499,0.00002088,5.00000000,0
1531211190824,1531211190820,3766500,0.00002092,110.00000000,0
1531211195543,1531211195538,3766501,0.00002092,4885.00000000,1
1531211196777,1531211196773,3766502,0.00002094,812.00000000,1
1531211204629,1531211204626,3766503,0.00002093,406.00000000,1
1531211226469,1531211226465,3766504,0.00002090,5379.00000000,0
1531211226483,1531211226479,3766505,0.00002088,4559.00000000,1
1531211270702,1531211270697,3766506,0.00002088,10795.00000000,0
1531211270721,1531211270716,3766507,0.00002090,4863.00000000,0
1531211288243,1531211288239,3766508,0.00002088,2461.00000000,0
1531211288259,1531211288255,3766509,0.00002090,1295.00000000,0
1531211288284,1531211288279,3766510,0.00002090,1837.00000000,0
1531211312797,1531211312794,3766511,0.00002090,3239.00000000,1
1531211322227,1531211322222,3766512,0.00002087,244.00000000,1
1531211322227,1531211322222,3766513,0.00002086,5393.00000000,1
1531211354354,1531211354352,3766514,0.00002087,12882.00000000,0
1531211354364,1531211354360,3766515,0.00002091,4473.00000000,0
