event_time,trade_time,trade_id,price,quantity,maker
1531210373104,1531210373098,5005392,0.00000334,8977.00000000,0
1531210373221,1531210373217,5005393,0.00000334,11884.00000000,0
1531210401966,1531210401963,5005394,0.00000333,3.00000000,1
1531210432145,1531210432141,5005395,0.00000334,4.00000000,0
1531210463537,1531210463533,5005396,0.00000334,5600.00000000,0
1531210472469,1531210472463,5005397,0.00000334,1602.00000000,0
1531210476709,1531210476705,5005398,0.00000334,2395.00000000,0
1531210488780,1531210488780,5005399,0.00000334,2395.00000000,0
1531210489698,1531210489693,5005400,0.00000334,410.00000000,0
1531210553589,1531210553585,5005401,0.00000333,26064.00000000,1
1531210553621,1531210553618,5005402,0.00000333,2413.00000000,1
1531210566591,1531210566590,5005403,0.00000333,5177.00000000,1
1531210570088,1531210570084,5005404,0.00000333,157.00000000,1
1531210576505,1531210576502,5005405,0.00000333,37.00000000,1
1531210584135,1531210584130,5005406,0.00000333,3639.00000000,1
1531210586197,1531210586192,5005407,0.00000333,4224.00000000,1
1531210588221,1531210588221,5005408,0.00000333,2606.00000000,1
1531210603804,1531210603800,5005409,0.00000333,1767.00000000,0
1531210617746,1531210617742,5005410,0.00000332,4391.00000000,1
1531210627478,1531210627474,5005411,0.00000332,3271.00000000,1
1531210628877,1531210628871,5005412,0.00000332,3650.00000000,1
1531210633168,1531210633164,5005413,0.00000332,500.00000000,1
1531210634385,1531210634381,5005414,0.00000332,30203.00000000,1
1531210637090,1531210637086,5005415,0.00000332,3651.00000000,1
1531210640236,1531210640232,5005416,0.00000332,3652.00000000,1
1531210641141,1531210641136,5005417,0.00000332,9036.00000000,1
1531210643241,1531210643237,5005418,0.00000332,10958.00000000,1
1531210646088,1531210646084,5005419,0.00000332,10958.00000000,1
1531210646386,1531210646381,5005420,0.00000332,3012.00000000,1
1531210650538,1531210650534,5005421,0.00000332,5025.00000000,1
1531210656995,1531210656991,5005422,0.00000331,5843.00000000,1
1531210673241,1531210673235,5005423,0.00000331,1519.00000000,1
1531210674465,1531210674459,5005424,0.00000331,1533.00000000,1
1531210692466,1531210692461,5005425,0.00000331,64.00000000,1
1531210703534,1531210703529,5005426,0.00000331,5663.00000000,1
1531210720084,1531210720079,5005427,0.00000330,307.00000000,1
1531210720392,1531210720388,5005428,0.00000330,178.00000000,1
1531210734520,1531210734513,5005429,0.00000331,1511.00000000,0
1531210744072,1531210744068,5005430,0.00000332,3012.00000000,0
1531210744086,1531210744081,5005431,0.00000332,3012.00000000,0
1531210744091,1531210744087,5005432,0.00000332,3012.00000000,0
1531210763167,1531210763162,5005433,0.00000332,5634.00000000,0
1531210770608,1531210770604,5005434,0.00000332,329.00000000,0
1531210813488,1531210813485,5005435,0.00000330,80.00000000,1
1531210823547,1531210823543,5005436,0.00000332,5634.00000000,1
1531210895688,1531210895685,5005437,0.00000331,11289.00000000,0
1531210902169,1531210902164,5005438,0.00000331,3021.00000000,0
1531210905536,1531210905531,5005439,0.00000331,3166.00000000,0
1531210906553,1531210906548,5005440,0.00000331,3098.00000000,0
1531210942047,1531210942045,5005441,0.00000332,5000.00000000,0
1531210988877,1531210988872,5005442,0.00000331,9.00000000,1
1531211033101,1531211033097,5005443,0.00000331,3667.00000000,1
1531211048230,1531211048226,5005444,0.00000331,3024.00000000,1
1531211060607,1531211060602,5005445,0.00000331,3029.00000000,1
1531211064005,1531211064001,5005446,0.00000331,596.00000000,1
1531211092344,1531211092339,5005447,0.00000331,11003.00000000,1
1531211092441,1531211092437,5005448,0.00000331,11003.00000000,1
1531211093253,1531211093249,5005449,0.00000331,9063.00000000,1
1531211093542,1531211093538,5005450,0.00000331,13530.00000000,1
1531211099836,1531211099831,5005451,0.00000331,849.00000000,0
1531211102250,1531211102246,5005452,0.00000331,3289.00000000,0
1531211102856,1531211102851,5005453,0.00000331,2.00000000,0
1531211117446,1531211117441,5005454,0.00000330,3034.00000000,1
1531211122451,1531211122447,5005455,0.00000330,3034.00000000,1
1531211124540,1531211124536,5005456,0.00000330,27273.00000000,1
1531211124671,1531211124667,5005457,0.00000330,26022.00000000,1
1531211126616,1531211126612,5005458,0.00000330,9091.00000000,1
1531211127434,1531211127429,5005459,0.00000330,3034.00000000,1
1531211128614,1531211128609,5005460,0.00000330,9091.00000000,1
1531211129545,1531211129539,5005461,0.00000330,10836.00000000,1
1531211130288,1531211130284,5005462,0.00000329,1815.00000000,1
1531211146667,1531211146663,5005463,0.00000329,6338.00000000,1
1531211274827,1531211274822,5005464,0.00000330,3972.00000000,0
1531211276321,1531211276316,5005465,0.00000330,2986.00000000,1
1531211353984,1531211353980,5005466,0.00000330,43843.00000000,1
1531211361587,1531211361583,5005467,0.00000330,5668.00000000,0
1531211369081,1531211369077,5005468,0.00000330,331.00000000,0
1531211395594,1531211395589,5005469,0.00000330,2417.00000000,0
1531211412615,1531211412612,5005470,0.00000330,2699.00000000,1
1531211472524,1531211472519,5005471,0.00000329,4607.00000000,1
1531211685155,1531211685152,5005472,0.00000329,607.00000000,1
1531211727152,1531211727147,5005473,0.00000330,3030.00000000,0
1531211751849,1531211751846,5005474,0.00000329,18.00000000,1
1531211762724,1531211762720,5005475,0.00000330,3030.00000000,0
1531211767025,1531211767021,5005476,0.00000329,3.00000000,1
1531211778474,1531211778469,5005477,0.00000330,9091.00000000,0
1531211781775,1531211781771,5005478,0.00000330,3670.00000000,0
1531211781787,1531211781783,5005479,0.00000330,3670.00000000,0
1531211785656,1531211785650,5005480,0.00000330,3030.00000000,0
1531211786684,1531211786679,5005481,0.00000330,6557.00000000,0
1531211879827,1531211879822,5005482,0.00000330,24.00000000,1
1531211923501,1531211923498,5005483,0.00000330,41.00000000,1
1531211940228,1531211940224,5005484,0.00000330,2000.00000000,1
1531211947868,1531211947863,5005485,0.00000330,21778.00000000,1
1531211959901,1531211959896,5005486,0.00000330,9091.00000000,0
1531211959939,1531211959935,5005487,0.00000330,19236.00000000,0
1531211960011,1531211960006,5005488,0.00000330,805.00000000,0
1531211960171,1531211960169,5005489,0.00000330,19236.00000000,0
1531211960216,1531211960211,5005490,0.00000330,3223.00000000,0
1531212032697,1531212032690,5005491,0.00000330,2900.00000000,1
1531212085685,1531212085681,5005492,0.00000330,27.00000000,0
1531212095542,1531212095537,5005493,0.00000329,3898.00000000,1
1531212352848,1531212352842,5005494,0.00000330,6060.00000000,0
1531212355318,1531212355313,5005495,0.00000330,2800.00000000,0
1531212388188,1531212388184,5005496,0.00000329,5265.00000000,1
1531212388663,1531212388657,5005497,0.00000329,16467.00000000,1
