event_time,trade_time,trade_id,price,quantity,maker
1531210355250,1531210355246,1082899,0.00000232,692.00000000,0
1531210355509,1531210355505,1082900,0.00000232,168774.00000000,0
1531210355728,1531210355723,1082901,0.00000232,106289.00000000,0
1531210355984,1531210355980,1082902,0.00000232,434.00000000,0
1531210355996,1531210355992,1082903,0.00000231,2187.00000000,1
1531210356975,1531210356971,1082904,0.00000232,16737.00000000,0
1531210356987,1531210356985,1082905,0.00000232,9397.00000000,1
1531210356993,1531210356989,1082906,0.00000232,15095.00000000,1
1531210357060,1531210357055,1082907,0.00000232,9397.00000000,1
1531210357246,1531210357241,1082908,0.00000232,9395.00000000,1
1531210357692,1531210357687,1082909,0.00000232,3000.00000000,1
1531210358588,1531210358585,1082910,0.00000232,439.00000000,1
1531210359735,1531210359730,1082911,0.00000233,1650.00000000,0
1531210360282,1531210360277,1082912,0.00000232,500.00000000,1
1531210360734,1531210360730,1082913,0.00000232,26518.00000000,1
1531210360776,1531210360770,1082914,0.00000232,53331.00000000,0
1531210360776,1531210360770,1082915,0.00000233,224393.00000000,0
1531210362660,1531210362655,1082916,0.00000232,52729.00000000,1
1531210362967,1531210362962,1082917,0.00000232,11601.00000000,0
1531210362967,1531210362962,1082918,0.00000233,2503.00000000,0
1531210363111,1531210363107,1082919,0.00000232,24802.00000000,0
1531210363437,1531210363432,1082920,0.00000232,10690.00000000,0
1531210372478,1531210372474,1082921,0.00000232,1336.00000000,0
1531210373312,1531210373306,1082922,0.00000232,1906.00000000,0
1531210374907,1531210374903,1082923,0.00000232,32799.00000000,0
1531210375342,1531210375337,1082924,0.00000232,8957.00000000,0
1531210375895,1531210375889,1082925,0.00000232,1301.00000000,0
1531210375941,1531210375935,1082926,0.00000232,34179.00000000,0
1531210376011,1531210376006,1082927,0.00000232,434.00000000,0
1531210377027,1531210377023,1082928,0.00000232,6225.00000000,0
1531210377117,1531210377113,1082929,0.00000232,150970.00000000,0
1531210377137,1531210377132,1082930,0.00000232,432.00000000,0
1531210377308,1531210377302,1082931,0.00000232,961.00000000,0
1531210378082,1531210378076,1082932,0.00000233,604.00000000,0
1531210380558,1531210380552,1082933,0.00000232,19019.00000000,1
1531210380558,1531210380552,1082934,0.00000231,46008.00000000,1
1531210383098,1531210383095,1082935,0.00000233,5627.00000000,0
1531210383660,1531210383655,1082936,0.00000233,473.00000000,0
1531210386386,1531210386379,1082937,0.00000233,136851.00000000,0
1531210387622,1531210387619,1082938,0.00000232,61190.00000000,1
1531210388954,1531210388949,1082939,0.00000233,3367.00000000,0
1531210389155,1531210389151,1082940,0.00000233,101434.00000000,0
1531210389912,1531210389904,1082941,0.00000233,170110.00000000,0
1531210389995,1531210389991,1082942,0.00000232,36827.00000000,1
1531210390586,1531210390580,1082943,0.00000231,300000.00000000,1
1531210390586,1531210390580,1082944,0.00000231,1242.00000000,1
1531210390631,1531210390624,1082945,0.00000231,73853.00000000,1
1531210390664,1531210390655,1082946,0.00000231,2592.00000000,1
1531210390664,1531210390655,1082947,0.00000230,223555.00000000,1
1531210390665,1531210390655,1082948,0.00000230,38457.00000000,1
1531210391490,1531210391484,1082949,0.00000231,1939.00000000,0
1531210391501,1531210391498,1082950,0.00000231,2453.00000000,0
1531210391502,1531210391499,1082951,0.00000231,1939.00000000,0
1531210391507,1531210391502,1082952,0.00000231,1939.00000000,0
1531210391509,1531210391506,1082953,0.00000231,1939.00000000,0
1531210391510,1531210391510,1082954,0.00000231,1939.00000000,0
1531210391510,1531210391510,1082955,0.00000231,6711.00000000,0
1531210391536,1531210391535,1082956,0.00000232,10209.00000000,0
1531210391625,1531210391621,1082957,0.00000230,2947.00000000,1
1531210391625,1531210391621,1082958,0.00000229,13976.00000000,1
1531210391880,1531210391874,1082959,0.00000231,4236.00000000,0
1531210392310,1531210392305,1082960,0.00000231,751.00000000,0
1531210392466,1531210392460,1082961,0.00000230,1336.00000000,1
1531210394684,1531210394679,1082962,0.00000231,3000.00000000,0
1531210396785,1531210396780,1082963,0.00000230,1110.00000000,1
1531210399261,1531210399257,1082964,0.00000231,694.00000000,0
1531210399699,1531210399696,1082965,0.00000230,31738.00000000,1
