event_time,trade_time,trade_id,price,quantity,maker
1531210374764,1531210374759,2622113,0.00003354,61.00000000,0
1531210380101,1531210380097,2622114,0.00003344,1447.00000000,1
1531210476018,1531210476014,2622115,0.00003347,596.00000000,1
1531210476018,1531210476014,2622116,0.00003346,748.00000000,1
1531210476018,1531210476014,2622117,0.00003340,156.00000000,1
1531210477592,1531210477589,2622118,0.00003340,15.00000000,1
1531210652592,1531210652587,2622119,0.00003354,165.00000000,0
1531210652592,1531210652587,2622120,0.00003370,133.00000000,0
1531210692432,1531210692428,2622121,0.00003340,55.00000000,1
1531210871694,1531210871689,2622122,0.00003356,7.00000000,1
1531210955713,1531210955710,2622123,0.00003356,1.00000000,1
1531210988256,1531210988251,2622124,0.00003356,223.00000000,1
1531210988256,1531210988251,2622125,0.00003355,370.00000000,1
1531211057364,1531211057360,2622126,0.00003360,6.00000000,0
1531211062254,1531211062249,2622127,0.00003360,654.00000000,0
1531211073112,1531211073106,2622128,0.00003353,4.00000000,1
1531211078769,1531211078765,2622129,0.00003353,234.00000000,1
1531211083272,1531211083268,2622130,0.00003353,65.00000000,0
1531211168198,1531211168195,2622131,0.00003353,32.00000000,0
1531211189134,1531211189130,2622132,0.00003353,33.00000000,0
1531211252212,1531211252207,2622133,0.00003353,32.00000000,0
1531211272210,1531211272206,2622134,0.00003353,33.00000000,0
1531211293189,1531211293185,2622135,0.00003353,32.00000000,0
1531211442263,1531211442258,2622136,0.00003353,11.00000000,0
1531211442263,1531211442258,2622137,0.00003358,21.00000000,0
1531211464164,1531211464160,2622138,0.00003358,32.00000000,0
1531211477206,1531211477203,2622139,0.00003356,33.00000000,0
1531211484210,1531211484206,2622140,0.00003356,33.00000000,0
1531211496627,1531211496622,2622141,0.00003355,50.00000000,0
1531211510267,1531211510262,2622142,0.00003355,411.00000000,0
1531211510267,1531211510262,2622143,0.00003359,92.00000000,0
1531211523956,1531211523952,2622144,0.00003346,2.00000000,1
1531211544297,1531211544293,2622145,0.00003346,301.00000000,1
1531211544297,1531211544293,2622146,0.00003345,95.00000000,1
1531211666323,1531211666318,2622147,0.00003345,29.00000000,1
1531211689212,1531211689207,2622148,0.00003359,31.00000000,0
1531211709167,1531211709163,2622149,0.00003346,207.00000000,1
1531211709167,1531211709163,2622150,0.00003345,114.00000000,1
1531211709167,1531211709163,2622151,0.00003331,347.00000000,1
1531211711229,1531211711225,2622152,0.00003358,65.00000000,0
1531211712216,1531211712211,2622153,0.00003357,32.00000000,0
1531211747048,1531211747044,2622154,0.00003350,32.00000000,0
1531211772080,1531211772074,2622155,0.00003350,33.00000000,0
1531211793965,1531211793959,2622156,0.00003350,32.00000000,0
1531211809219,1531211809218,2622157,0.00003337,239.00000000,1
1531211809219,1531211809218,2622158,0.00003331,261.00000000,1
1531211811198,1531211811194,2622159,0.00003350,32.00000000,0
1531211834152,1531211834147,2622160,0.00003350,33.00000000,0
1531211844079,1531211844075,2622161,0.00003350,7.00000000,0
1531211870451,1531211870448,2622162,0.00003350,32.00000000,0
1531211873114,1531211873111,2622163,0.00003350,33.00000000,0
1531211876803,1531211876799,2622164,0.00003331,3.00000000,1
1531211893154,1531211893148,2622165,0.00003350,32.00000000,0
1531211916177,1531211916172,2622166,0.00003350,33.00000000,0
1531211945087,1531211945083,2622167,0.00003350,32.00000000,0
1531211957155,1531211957151,2622168,0.00003350,33.00000000,0
1531211978689,1531211978684,2622169,0.00003350,33.00000000,0
1531212000164,1531212000159,2622170,0.00003350,32.00000000,0
1531212023237,1531212023233,2622171,0.00003350,33.00000000,0
1531212023783,1531212023779,2622172,0.00003326,3.00000000,1
1531212044631,1531212044626,2622173,0.00003345,33.00000000,0
1531212046837,1531212046834,2622174,0.00003331,184.00000000,1
1531212058469,1531212058465,2622175,0.00003345,157.00000000,0
1531212068679,1531212068674,2622176,0.00003345,32.00000000,0
1531212077239,1531212077234,2622177,0.00003331,55.00000000,1
1531212077239,1531212077234,2622178,0.00003326,445.00000000,1
1531212088199,1531212088195,2622179,0.00003345,16.00000000,0
1531212088199,1531212088195,2622180,0.00003350,17.00000000,0
1531212107172,1531212107165,2622181,0.00003350,33.00000000,0
1531212123515,1531212123512,2622182,0.00003326,3.00000000,1
1531212129147,1531212129142,2622183,0.00003350,32.00000000,0
1531212161738,1531212161734,2622184,0.00003328,4.00000000,1
1531212188792,1531212188788,2622185,0.00003330,45.00000000,0
1531212189113,1531212189109,2622186,0.00003348,32.00000000,0
1531212193229,1531212193226,2622187,0.00003331,483.00000000,1
1531212193229,1531212193226,2622188,0.00003330,17.00000000,1
1531212232044,1531212232040,2622189,0.00003330,32.00000000,1
1531212250565,1531212250561,2622190,0.00003330,1.00000000,1
1531212252793,1531212252788,2622191,0.00003331,40.00000000,0
1531212273062,1531212273057,2622192,0.00003345,32.00000000,0
1531212295107,1531212295103,2622193,0.00003347,32.00000000,0
1531212341122,1531212341116,2622194,0.00003345,32.00000000,0
1531212362153,1531212362147,2622195,0.00003339,32.00000000,0
1531212376607,1531212376602,2622196,0.00003330,2.00000000,1
1531212459016,1531212459011,2622197,0.00003330,4.00000000,1
1531212626270,1531212626266,2622198,0.00003335,32.00000000,0
1531212669387,1531212669382,2622199,0.00003335,32.00000000,0
1531212730062,1531212730056,2622200,0.00003335,32.00000000,0
1531212791062,1531212791057,2622201,0.00003334,32.00000000,0
1531212795815,1531212795811,2622202,0.00003334,46.00000000,0
1531212798963,1531212798959,2622203,0.00003335,49.00000000,0
1531212822566,1531212822562,2622204,0.00003339,239.00000000,0
1531212861152,1531212861148,2622205,0.00003339,388.00000000,1
1531212861737,1531212861732,2622206,0.00003339,135.00000000,1
1531212869021,1531212869018,2622207,0.00003331,1.00000000,1
1531212874113,1531212874109,2622208,0.00003339,32.00000000,0
1531212904336,1531212904332,2622209,0.00003331,8.00000000,1
1531212918175,1531212918170,2622210,0.00003335,32.00000000,0
1531212940621,1531212940617,2622211,0.00003335,79.00000000,0
