event_time,trade_time,trade_id,price,quantity,maker
1531210358325,1531210358321,1377256,0.00003132,55.00000000,0
1531210384024,1531210384018,1377257,0.00003133,241.00000000,0
1531210385516,1531210385512,1377258,0.00003133,57.00000000,0
1531210407897,1531210407892,1377259,0.00003134,63.00000000,0
1531210407897,1531210407892,1377260,0.00003136,461.00000000,0
1531210412309,1531210412304,1377261,0.00003136,2705.00000000,0
1531210417859,1531210417854,1377262,0.00003136,3000.00000000,1
1531210424582,1531210424579,1377263,0.00003136,321.00000000,1
1531210426087,1531210426083,1377264,0.00003137,14.00000000,0
1531210431118,1531210431115,1377265,0.00003136,1111.00000000,1
1531210431170,1531210431166,1377266,0.00003136,6659.00000000,1
1531210452201,1531210452196,1377267,0.00003129,209.00000000,0
1531210452251,1531210452247,1377268,0.00003129,1486.00000000,0
1531210452580,1531210452576,1377269,0.00003129,386.00000000,0
1531210455437,1531210455432,1377270,0.00003124,206.00000000,1
1531210481023,1531210481017,1377271,0.00003123,210.00000000,1
1531210481023,1531210481017,1377272,0.00003122,5886.00000000,1
1531210481023,1531210481017,1377273,0.00003121,1553.00000000,1
1531210522019,1531210522013,1377274,0.00003125,1600.00000000,1
1531210522019,1531210522013,1377275,0.00003122,6.00000000,1
1531210522419,1531210522415,1377276,0.00003130,210.00000000,0
1531210522532,1531210522528,1377277,0.00003130,387.00000000,1
1531210525662,1531210525659,1377278,0.00003130,1670.00000000,1
1531210529341,1531210529336,1377279,0.00003130,761.00000000,1
1531210529744,1531210529740,1377280,0.00003131,15.00000000,0
1531210535581,1531210535576,1377281,0.00003130,1398.00000000,1
1531210541086,1531210541081,1377282,0.00003131,100.00000000,0
1531210541337,1531210541331,1377283,0.00003130,1.00000000,1
1531210541337,1531210541331,1377284,0.00003127,271.00000000,1
1531210541918,1531210541912,1377285,0.00003127,1148.00000000,1
1531210545827,1531210545822,1377286,0.00003128,800.00000000,1
1531210546628,1531210546624,1377287,0.00003128,494.00000000,1
1531210546628,1531210546624,1377288,0.00003127,1176.00000000,1
1531210555430,1531210555426,1377289,0.00003127,854.00000000,1
1531210556310,1531210556305,1377290,0.00003127,4.00000000,1
1531210556310,1531210556305,1377291,0.00003122,739.00000000,1
1531210556310,1531210556305,1377292,0.00003121,405.00000000,1
1531210567502,1531210567498,1377293,0.00003121,2307.00000000,1
1531210569158,1531210569154,1377294,0.00003121,273.00000000,0
1531210569638,1531210569635,1377295,0.00003121,1067.00000000,0
1531210571097,1531210571092,1377296,0.00003121,1051.00000000,0
1531210584412,1531210584407,1377297,0.00003121,5.00000000,0
1531210595207,1531210595203,1377298,0.00003121,200.00000000,0
1531210602320,1531210602315,1377299,0.00003119,362.00000000,1
1531210602387,1531210602382,1377300,0.00003119,656.00000000,1
1531210602387,1531210602382,1377301,0.00003117,103.00000000,1
1531210609258,1531210609254,1377302,0.00003117,1115.00000000,1
1531210665026,1531210665021,1377303,0.00003119,4.00000000,0
1531210673990,1531210673986,1377304,0.00003117,194.00000000,1
1531210679964,1531210679959,1377305,0.00003117,115.00000000,0
1531210705415,1531210705411,1377306,0.00003114,79.00000000,1
1531210705415,1531210705411,1377307,0.00003109,9.00000000,1
1531210705435,1531210705429,1377308,0.00003109,248.00000000,1
1531210705435,1531210705429,1377309,0.00003100,127.00000000,1
1531210705435,1531210705429,1377310,0.00003097,456.00000000,1
1531210718425,1531210718420,1377311,0.00003097,258.00000000,1
1531210718464,1531210718457,1377312,0.00003093,258.00000000,1
1531210720216,1531210720217,1377313,0.00003100,44.00000000,0
1531210722702,1531210722696,1377314,0.00003094,206.00000000,1
1531210722702,1531210722696,1377315,0.00003093,389.00000000,1
1531210722760,1531210722756,1377316,0.00003090,175.00000000,1
1531210723539,1531210723535,1377317,0.00003093,206.00000000,0
1531210727327,1531210727323,1377318,0.00003091,258.00000000,1
1531210727353,1531210727346,1377319,0.00003089,33.00000000,1
1531210727353,1531210727346,1377320,0.00003088,225.00000000,1
1531210727534,1531210727530,1377321,0.00003091,187.00000000,0
1531210727600,1531210727598,1377322,0.00003091,60.00000000,0
1531210727613,1531210727612,1377323,0.00003091,11.00000000,0
1531210727635,1531210727631,1377324,0.00003097,149.00000000,1
1531210727744,1531210727738,1377325,0.00003090,149.00000000,0
1531210727744,1531210727738,1377326,0.00003092,149.00000000,0
1531210727744,1531210727738,1377327,0.00003102,206.00000000,0
1531210727744,1531210727738,1377328,0.00003103,257.00000000,0
1531210727744,1531210727738,1377329,0.00003106,2.00000000,0
1531210728810,1531210728805,1377330,0.00003089,212.00000000,1
1531210731621,1531210731616,1377331,0.00003098,35.00000000,0
1531210731759,1531210731759,1377332,0.00003100,125.00000000,1
1531210731828,1531210731824,1377333,0.00003088,125.00000000,1
1531210732954,1531210732948,1377334,0.00003086,124.00000000,1
1531210734389,1531210734372,1377335,0.00003088,125.00000000,0
1531210735545,1531210735539,1377336,0.00003086,81.00000000,1
1531210739928,1531210739925,1377337,0.00003081,164.00000000,1
1531210744580,1531210744575,1377338,0.00003087,44.00000000,0
1531210750166,1531210750161,1377339,0.00003081,95.00000000,1
1531210750166,1531210750161,1377340,0.00003080,29.00000000,1
1531210754615,1531210754610,1377341,0.00003081,662.00000000,0
1531210755205,1531210755201,1377342,0.00003081,668.00000000,0
1531210756267,1531210756262,1377343,0.00003081,670.00000000,0
1531210760373,1531210760370,1377344,0.00003080,23.00000000,1
1531210765835,1531210765831,1377345,0.00003081,2465.00000000,0
1531210773610,1531210773607,1377346,0.00003087,9.00000000,0
1531210775649,1531210775644,1377347,0.00003085,59.00000000,1
1531210775754,1531210775748,1377348,0.00003087,7.00000000,0
1531210778024,1531210778021,1377349,0.00003095,7.00000000,0
1531210778140,1531210778136,1377350,0.00003095,11.00000000,0
1531210778230,1531210778230,1377351,0.00003095,8.00000000,0
1531210778275,1531210778269,1377352,0.00003095,7.00000000,0
1531210778463,1531210778459,1377353,0.00003095,12.00000000,0
1531210778522,1531210778516,1377354,0.00003095,16.00000000,0
1531210778721,1531210778718,1377355,0.00003095,7.00000000,0
1531210778768,1531210778765,1377356,0.00003095,89.00000000,0
1531210778826,1531210778821,1377357,0.00003095,3.00000000,0
1531210778826,1531210778821,1377358,0.00003098,11.00000000,0
1531210778904,1531210778900,1377359,0.00003098,7.00000000,0
1531210778940,1531210778936,1377360,0.00003098,16.00000000,0
1531210779255,1531210779252,1377361,0.00003098,26.00000000,0
1531210779446,1531210779442,1377362,0.00003098,9.00000000,0
1531210816307,1531210816301,1377363,0.00003082,1148.00000000,1
1531210816850,1531210816845,1377364,0.00003096,1291.00000000,0
1531210816850,1531210816845,1377365,0.00003098,254.00000000,0
1531210816850,1531210816845,1377366,0.00003111,212.00000000,0
1531210816850,1531210816845,1377367,0.00003112,1469.00000000,0
1531210816850,1531210816845,1377368,0.00003113,3000.00000000,0
1531210816883,1531210816879,1377369,0.00003113,82.00000000,1
1531210816891,1531210816891,1377370,0.00003113,6593.00000000,1
1531210816903,1531210816900,1377371,0.00003113,209.00000000,1
1531210816934,1531210816930,1377372,0.00003113,82.00000000,1
1531210816943,1531210816942,1377373,0.00003113,82.00000000,1
1531210817094,1531210817090,1377374,0.00003113,800.00000000,1
1531210817284,1531210817280,1377375,0.00003113,246.00000000,1
1531210817543,1531210817538,1377376,0.00003113,311.00000000,1
1531210817863,1531210817858,1377377,0.00003113,3199.00000000,1
1531210818012,1531210818007,1377378,0.00003113,408.00000000,1
1531210818616,1531210818612,1377379,0.00003113,604.00000000,1
1531210821367,1531210821363,1377380,0.00003113,800.00000000,1
1531210822666,1531210822663,1377381,0.00003114,283.00000000,0
1531210823364,1531210823360,1377382,0.00003113,734.00000000,1
1531210823930,1531210823924,1377383,0.00003113,337.00000000,1
1531210824133,1531210824133,1377384,0.00003113,286.00000000,1
1531210824155,1531210824150,1377385,0.00003113,2.00000000,1
1531210824155,1531210824150,1377386,0.00003091,172.00000000,1
1531210825526,1531210825522,1377387,0.00003113,18.00000000,0
1531210825748,1531210825744,1377388,0.00003104,60.00000000,0
1531210830468,1531210830468,1377389,0.00003113,26.00000000,0
1531210831211,1531210831206,1377390,0.00003089,833.00000000,1
1531210831211,1531210831206,1377391,0.00003088,36.00000000,1
1531210832480,1531210832477,1377392,0.00003087,48.00000000,1
1531210832480,1531210832477,1377393,0.00003086,64.00000000,1
1531210832480,1531210832477,1377394,0.00003085,192.00000000,1
1531210832480,1531210832477,1377395,0.00003084,529.00000000,1
1531210834547,1531210834542,1377396,0.00003095,392.00000000,0
1531210841771,1531210841766,1377397,0.00003090,313.00000000,0
1531210841771,1531210841766,1377398,0.00003091,313.00000000,0
1531210841771,1531210841766,1377399,0.00003099,112.00000000,0
1531210841771,1531210841766,1377400,0.00003103,207.00000000,0
1531210841771,1531210841766,1377401,0.00003104,36.00000000,0
1531210841771,1531210841766,1377402,0.00003111,730.00000000,0
1531210841787,1531210841781,1377403,0.00003113,6314.00000000,1
1531210841809,1531210841806,1377404,0.00003113,60.00000000,1
1531210841826,1531210841824,1377405,0.00003113,89.00000000,1
1531210841853,1531210841848,1377406,0.00003115,341.00000000,0
1531210841853,1531210841848,1377407,0.00003118,647.00000000,0
1531210841853,1531210841848,1377408,0.00003119,122.00000000,0
1531210841853,1531210841848,1377409,0.00003121,331.00000000,0
1531210841882,1531210841877,1377410,0.00003113,324.00000000,1
1531210841904,1531210841899,1377411,0.00003113,124.00000000,1
1531210841920,1531210841917,1377412,0.00003113,2121.00000000,1
1531210841978,1531210841972,1377413,0.00003113,133.00000000,1
1531210842018,1531210842014,1377414,0.00003113,128.00000000,1
1531210842174,1531210842169,1377415,0.00003113,1291.00000000,1
1531210842211,1531210842208,1377416,0.00003113,800.00000000,1
1531210843540,1531210843534,1377417,0.00003113,390.00000000,1
1531210843821,1531210843817,1377418,0.00003113,60.00000000,1
1531210844585,1531210844580,1377419,0.00003113,114.00000000,1
1531210845163,1531210845158,1377420,0.00003113,52.00000000,1
1531210845853,1531210845849,1377421,0.00003118,283.00000000,0
1531210846814,1531210846810,1377422,0.00003118,488.00000000,0
1531210846814,1531210846810,1377423,0.00003119,374.00000000,0
1531210846814,1531210846810,1377424,0.00003121,1045.00000000,0
1531210846855,1531210846851,1377425,0.00003121,390.00000000,0
1531210846862,1531210846858,1377426,0.00003121,390.00000000,0
1531210846872,1531210846872,1377427,0.00003121,390.00000000,0
1531210846875,1531210846872,1377428,0.00003121,320.00000000,0
1531210846884,1531210846881,1377429,0.00003121,73.00000000,0
1531210846889,1531210846885,1377430,0.00003114,45.00000000,1
1531210846905,1531210846901,1377431,0.00003121,390.00000000,0
1531210846917,1531210846912,1377432,0.00003114,115.00000000,1
1531210846917,1531210846912,1377433,0.00003113,275.00000000,1
1531210846920,1531210846917,1377434,0.00003121,390.00000000,0
1531210846934,1531210846930,1377435,0.00003121,390.00000000,0
1531210846957,1531210846952,1377436,0.00003113,320.00000000,1
1531210856389,1531210856384,1377437,0.00003120,1.00000000,0
1531210868550,1531210868546,1377438,0.00003119,388.00000000,0
1531210873795,1531210873789,1377439,0.00003119,268.00000000,0
1531210876473,1531210876468,1377440,0.00003113,1542.00000000,1
1531210876473,1531210876469,1377441,0.00003113,202.00000000,1
1531210876473,1531210876469,1377442,0.00003111,920.00000000,1
1531210884173,1531210884169,1377443,0.00003110,9507.00000000,1
1531210884185,1531210884182,1377444,0.00003110,1122.00000000,1
1531210884197,1531210884194,1377445,0.00003110,162.00000000,1
1531210884199,1531210884194,1377446,0.00003110,831.00000000,1
1531210884202,1531210884197,1377447,0.00003110,831.00000000,1
1531210884207,1531210884204,1377448,0.00003110,831.00000000,1
1531210884657,1531210884653,1377449,0.00003110,1148.00000000,1
1531210885187,1531210885187,1377450,0.00003110,513.00000000,1
1531210900082,1531210900077,1377451,0.00003110,831.00000000,1
