event_time,trade_time,trade_id,price,quantity,maker
1531210375970,1531210375965,2923450,0.00016070,0.06000000,0
1531210378849,1531210378844,2923451,0.00015970,15.65000000,1
1531210401552,1531210401549,2923452,0.00015980,1.34000000,1
1531210402249,1531210402246,2923453,0.00015930,11.42000000,1
1531210402778,1531210402772,2923454,0.00015920,1.34000000,1
1531210402899,1531210402894,2923455,0.00015920,1.92000000,1
1531210403626,1531210403623,2923456,0.00015920,4.21000000,1
1531210404164,1531210404164,2923457,0.00015930,4.28000000,1
1531210405448,1531210405443,2923458,0.00015910,4.19000000,1
1531210405555,1531210405551,2923459,0.00015910,1.84000000,1
1531210405757,1531210405754,2923460,0.00015910,4.28000000,1
1531210406306,1531210406301,2923461,0.00015910,2.10000000,1
1531210406937,1531210406930,2923462,0.00015910,4.94000000,1
1531210407474,1531210407470,2923463,0.00015910,6.20000000,1
1531210407974,1531210407969,2923464,0.00015910,1.89000000,1
1531210408568,1531210408564,2923465,0.00015910,1.53000000,1
1531210409077,1531210409070,2923466,0.00015910,13.87000000,1
1531210409620,1531210409615,2923467,0.00015910,2.05000000,1
1531210410134,1531210410130,2923468,0.00015910,1.60000000,1
1531210410888,1531210410885,2923469,0.00015910,1.58000000,1
1531210411874,1531210411871,2923470,0.00015910,9.54000000,1
1531210412478,1531210412474,2923471,0.00015910,2.63000000,1
1531210413181,1531210413176,2923472,0.00015910,2.17000000,1
1531210413848,1531210413844,2923473,0.00015910,2.06000000,1
1531210414396,1531210414392,2923474,0.00015910,3.22000000,1
1531210414893,1531210414889,2923475,0.00015910,2.12000000,1
1531210415564,1531210415557,2923476,0.00015910,2.05000000,1
1531210416016,1531210416012,2923477,0.00015910,7.92000000,1
1531210416939,1531210416934,2923478,0.00015910,4.91000000,1
1531210417613,1531210417608,2923479,0.00015910,3.86000000,1
1531210418152,1531210418151,2923480,0.00015910,3.72000000,1
1531210418471,1531210418467,2923481,0.00015910,144.59000000,1
1531210418471,1531210418467,2923482,0.00015900,241.22000000,1
1531210419045,1531210419040,2923483,0.00015900,3.91000000,1
1531210419570,1531210419565,2923484,0.00015900,1.50000000,1
1531210419861,1531210419855,2923485,0.00015900,3.50000000,1
1531210420619,1531210420614,2923486,0.00015900,7.05000000,1
1531210421063,1531210421058,2923487,0.00015950,0.22000000,0
1531210421273,1531210421269,2923488,0.00015900,2.05000000,1
1531210421758,1531210421754,2923489,0.00015900,2.51000000,1
1531210422469,1531210422465,2923490,0.00015900,1.74000000,1
1531210422940,1531210422935,2923491,0.00015900,2.92000000,1
1531210423640,1531210423636,2923492,0.00015900,4.24000000,1
1531210424259,1531210424254,2923493,0.00015900,1.69000000,1
1531210424923,1531210424917,2923494,0.00015900,4.68000000,1
