event_time,trade_time,trade_id,price,quantity,maker
1531210353818,1531210353813,19359863,0.00000526,5113.00000000,0
1531210353958,1531210353956,19359864,0.00000526,2300.00000000,0
1531210354401,1531210354401,19359865,0.00000526,28544.00000000,0
1531210354505,1531210354502,19359866,0.00000526,54000.00000000,0
1531210380836,1531210380835,19359867,0.00000527,25.00000000,0
1531210381822,1531210381817,19359868,0.00000527,12746.00000000,0
1531210381822,1531210381817,19359869,0.00000528,149578.00000000,0
1531210382858,1531210382853,19359870,0.00000528,17.00000000,0
1531210383711,1531210383705,19359871,0.00000527,1359.00000000,1
1531210383711,1531210383707,19359872,0.00000527,1290.00000000,1
1531210384938,1531210384933,19359873,0.00000527,3313.00000000,1
1531210387443,1531210387438,19359874,0.00000528,1.00000000,0
1531210389269,1531210389264,19359875,0.00000527,278.00000000,1
1531210389796,1531210389792,19359876,0.00000527,2850.00000000,1
1531210403159,1531210403154,19359877,0.00000526,71329.00000000,1
1531210403190,1531210403185,19359878,0.00000527,9090.00000000,0
1531210408243,1531210408238,19359879,0.00000526,71329.00000000,1
1531210420055,1531210420053,19359880,0.00000527,1.00000000,0
1531210427128,1531210427123,19359881,0.00000527,149.00000000,0
1531210430129,1531210430124,19359882,0.00000527,1.00000000,0
1531210438745,1531210438741,19359883,0.00000527,4379.00000000,0
1531210439512,1531210439509,19359884,0.00000527,12473.00000000,1
1531210444806,1531210444801,19359885,0.00000526,10000.00000000,1
1531210454213,1531210454208,19359886,0.00000527,8.00000000,0
1531210463732,1531210463728,19359887,0.00000527,5.00000000,0
1531210465622,1531210465618,19359888,0.00000527,5.00000000,0
1531210469344,1531210469340,19359889,0.00000527,114.00000000,0
1531210472595,1531210472590,19359890,0.00000527,288.00000000,0
1531210472710,1531210472704,19359891,0.00000526,135404.00000000,1
1531210473374,1531210473369,19359892,0.00000526,31537.00000000,1
1531210473378,1531210473372,19359893,0.00000526,82149.00000000,1
1531210499437,1531210499433,19359894,0.00000527,11.00000000,0
1531210517709,1531210517705,19359895,0.00000527,1.00000000,0
1531210518558,1531210518553,19359896,0.00000527,1.00000000,0
1531210523913,1531210523908,19359897,0.00000527,1.00000000,0
1531210526080,1531210526076,19359898,0.00000526,2860.00000000,1
1531210528236,1531210528232,19359899,0.00000527,1000.00000000,0
1531210531267,1531210531263,19359900,0.00000527,1.00000000,0
1531210532470,1531210532465,19359901,0.00000527,1.00000000,0
1531210533658,1531210533654,19359902,0.00000527,1.00000000,0
1531210541621,1531210541618,19359903,0.00000527,32827.00000000,0
1531210541741,1531210541737,19359904,0.00000526,1001.00000000,1
1531210541767,1531210541762,19359905,0.00000527,175.00000000,0
1531210560870,1531210560866,19359906,0.00000527,1.00000000,0
1531210568899,1531210568894,19359907,0.00000527,1.00000000,0
1531210574210,1531210574208,19359908,0.00000527,1.00000000,0
1531210575419,1531210575414,19359909,0.00000527,1.00000000,0
1531210578264,1531210578258,19359910,0.00000527,1.00000000,0
1531210582502,1531210582498,19359911,0.00000527,86.00000000,0
1531210585161,1531210585157,19359912,0.00000527,13.00000000,0
1531210594503,1531210594498,19359913,0.00000527,515.00000000,0
1531210596941,1531210596935,19359914,0.00000527,1.00000000,0
1531210600007,1531210600002,19359915,0.00000527,5230.00000000,0
1531210604987,1531210604982,19359916,0.00000526,3.00000000,1
1531210612657,1531210612653,19359917,0.00000526,1.00000000,1
1531210613741,1531210613737,19359918,0.00000526,1.00000000,1
1531210615087,1531210615082,19359919,0.00000526,1.00000000,1
1531210616195,1531210616189,19359920,0.00000526,1.00000000,1
1531210617252,1531210617248,19359921,0.00000526,1.00000000,1
1531210618156,1531210618152,19359922,0.00000526,1.00000000,1
1531210637010,1531210637005,19359923,0.00000527,5.00000000,0
1531210637264,1531210637259,19359924,0.00000526,12867.00000000,1
1531210643693,1531210643688,19359925,0.00000527,51.00000000,0
1531210643757,1531210643751,19359926,0.00000526,7420.00000000,1
1531210648933,1531210648929,19359927,0.00000526,4855.00000000,1
1531210659023,1531210659017,19359928,0.00000526,280.00000000,1
1531210662876,1531210662871,19359929,0.00000527,2000.00000000,0
1531210665667,1531210665662,19359930,0.00000526,720.00000000,1
1531210672405,1531210672401,19359931,0.00000526,6422.00000000,1
1531210672530,1531210672525,19359932,0.00000526,5000.00000000,0
1531210672537,1531210672533,19359933,0.00000526,10730.00000000,0
1531210681559,1531210681555,19359934,0.00000527,2.00000000,0
1531210687047,1531210687042,19359935,0.00000526,32800.00000000,1
1531210687068,1531210687064,19359936,0.00000526,22304.00000000,0
1531210687078,1531210687074,19359937,0.00000526,32800.00000000,1
1531210692858,1531210692855,19359938,0.00000527,108.00000000,0
1531210700644,1531210700640,19359939,0.00000526,1049.00000000,1
1531210702729,1531210702725,19359940,0.00000526,19048.00000000,1
1531210702739,1531210702734,19359941,0.00000526,18734.00000000,0
1531210702751,1531210702747,19359942,0.00000526,19048.00000000,1
1531210703555,1531210703548,19359943,0.00000526,1049.00000000,0
