event_time,trade_time,trade_id,price,quantity,maker
1531210606990,1531210606986,1049823,0.00015900,0.01000000,0
1531210806797,1531210806791,1049824,0.00015900,78.48000000,0
1531210806797,1531210806791,1049825,0.00016000,6.26000000,0
1531210806797,1531210806791,1049826,0.00016020,232.82000000,0
1531210806797,1531210806791,1049827,0.00016050,497.88000000,0
1531211205548,1531211205545,1049828,0.00015960,44.24000000,1
1531211271226,1531211271224,1049829,0.00015960,5.75000000,1
1531211764504,1531211764499,1049830,0.00015930,0.20000000,0
1531211791542,1531211791541,1049831,0.00015820,45.33000000,1
1531211791542,1531211791541,1049832,0.00015790,96.04000000,1
1531211857643,1531211857638,1049833,0.00015790,77.60000000,1
1531211857753,1531211857749,1049834,0.00015790,102.33000000,0
1531212102920,1531212102912,1049835,0.00015880,1.23000000,0
1531212287117,1531212287113,1049836,0.00015880,0.08000000,0
1531212640537,1531212640533,1049837,0.00015880,48.93000000,0
1531212640537,1531212640533,1049838,0.00015950,14.04000000,0
1531212659604,1531212659599,1049839,0.00015910,2.05000000,0
1531212662612,1531212662608,1049840,0.00015910,0.01000000,0
1531213246253,1531213246248,1049841,0.00015910,48.08000000,0
1531213246253,1531213246248,1049842,0.00015940,171.49000000,0
1531213246253,1531213246248,1049843,0.00015960,85.18000000,0
1531213432868,1531213432862,1049844,0.00015870,0.50000000,1
1531213434061,1531213434056,1049845,0.00015860,0.50000000,1
1531213866140,1531213866135,1049846,0.00015870,6.62000000,1
1531214254743,1531214254740,1049847,0.00015860,13.18000000,1
1531214844488,1531214844484,1049848,0.00015940,50.05000000,0
1531214844488,1531214844484,1049849,0.00015960,12.68000000,0
1531215034167,1531215034162,1049850,0.00015870,5.04000000,1
1531215056395,1531215056391,1049851,0.00015870,19.98000000,1
1531215108326,1531215108321,1049852,0.00015870,12.48000000,1
1531215108326,1531215108321,1049853,0.00015860,30.44000000,1
1531215159188,1531215159184,1049854,0.00015860,0.13000000,1
1531215267900,1531215267897,1049855,0.00015860,6.05000000,1
1531215268992,1531215268987,1049856,0.00015860,267.11000000,0
1531215285433,1531215285430,1049857,0.00015890,73.92000000,0
1531215286190,1531215286185,1049858,0.00015890,193.19000000,0
1531215350283,1531215350279,1049859,0.00015820,0.24000000,1
1531215574670,1531215574666,1049860,0.00015820,6.07000000,1
1531215625314,1531215625310,1049861,0.00015820,44.12000000,1
1531215625314,1531215625310,1049862,0.00015770,189.22000000,1
1531215625314,1531215625310,1049863,0.00015760,1153.38000000,1
1531215644994,1531215644990,1049864,0.00015790,50.52000000,1
1531215644994,1531215644990,1049865,0.00015760,2055.54000000,1
1531215650119,1531215650115,1049866,0.00015700,50.81000000,1
1531215760834,1531215760829,1049867,0.00015720,63.61000000,0
1531215852307,1531215852303,1049868,0.00015720,63.61000000,0
1531215937944,1531215937939,1049869,0.00015740,0.11000000,0
1531216081169,1531216081166,1049870,0.00015740,2.50000000,0
1531216431131,1531216431126,1049871,0.00015740,1.90000000,0
1531216692920,1531216692916,1049872,0.00015690,17.75000000,0
1531217082189,1531217082186,1049873,0.00015790,0.19000000,0
1531217145825,1531217145821,1049874,0.00015790,50.33000000,0
1531217165463,1531217165459,1049875,0.00015820,28.00000000,1
1531217179270,1531217179266,1049876,0.00015820,22.00000000,1
1531217553107,1531217553103,1049877,0.00015900,20.00000000,0
1531217568208,1531217568203,1049878,0.00015900,20.00000000,0
1531217580953,1531217580949,1049879,0.00015900,10.17000000,0
1531217614933,1531217614929,1049880,0.00016030,1.98000000,0
1531217617595,1531217617591,1049881,0.00016030,0.01000000,0
1531217664382,1531217664378,1049882,0.00016030,56.00000000,0
1531217664656,1531217664652,1049883,0.00016030,30.00000000,0
1531217696339,1531217696334,1049884,0.00016030,105.20000000,0
1531217697325,1531217697322,1049885,0.00016030,32.79000000,1
1531217713893,1531217713888,1049886,0.00016030,0.01000000,1
1531217871572,1531217871569,1049887,0.00015850,6.57000000,1
1531217893364,1531217893360,1049888,0.00016020,25.00000000,0
1531217893364,1531217893360,1049889,0.00016030,37.42000000,0
1531218007644,1531218007640,1049890,0.00015900,0.03000000,1
1531218435552,1531218435546,1049891,0.00016000,49.86000000,0
1531218435552,1531218435546,1049892,0.00016070,12.63000000,0
1531218605896,1531218605892,1049893,0.00015960,0.03000000,1
1531218802063,1531218802057,1049894,0.00015970,10.00000000,1
1531218802063,1531218802057,1049895,0.00015960,49.96000000,1
1531218802063,1531218802057,1049896,0.00015900,25.16000000,1
1531218802063,1531218802057,1049897,0.00015800,121.96000000,1
1531218802063,1531218802057,1049898,0.00015790,89.92000000,1
1531218802147,1531218802141,1049899,0.00015790,23.13000000,1
1531218802909,1531218802904,1049900,0.00015830,44.87000000,0
1531218802934,1531218802929,1049901,0.00015830,0.03000000,0
1531218816583,1531218816578,1049902,0.00015800,6.33000000,1
1531218983402,1531218983397,1049903,0.00015800,2.52000000,0
1531219003245,1531219003240,1049904,0.00015790,0.43000000,0
1531219204558,1531219204554,1049905,0.00015720,0.03000000,1
1531219227647,1531219227642,1049906,0.00015800,3.98000000,0
1531219230661,1531219230656,1049907,0.00015800,0.01000000,0
1531219441620,1531219441615,1049908,0.00015720,0.17000000,1
1531219456820,1531219456815,1049909,0.00015800,43.98000000,0
1531219456823,1531219456821,1049910,0.00015810,42.02000000,0
1531219456823,1531219456821,1049911,0.00015820,2.51000000,0
