event_time,trade_time,trade_id,price,quantity,maker
1531210388792,1531210388787,1836400,0.00005810,3.00000000,1
1531210388792,1531210388787,1836401,0.00005805,4.00000000,1
1531210389408,1531210389402,1836402,0.00005805,5.00000000,1
1531210390058,1531210390053,1836403,0.00005805,19.00000000,1
1531210390624,1531210390620,1836404,0.00005805,7.00000000,1
1531210391319,1531210391313,1836405,0.00005805,3.00000000,1
1531210391810,1531210391806,1836406,0.00005805,4.00000000,1
1531210392487,1531210392483,1836407,0.00005805,7.00000000,1
1531210393148,1531210393145,1836408,0.00005805,6.00000000,1
1531210393902,1531210393897,1836409,0.00005805,7.00000000,1
1531210394804,1531210394800,1836410,0.00005805,6.00000000,1
1531210395589,1531210395584,1836411,0.00005805,7.00000000,1
1531210396147,1531210396141,1836412,0.00005805,6.00000000,1
1531210396796,1531210396792,1836413,0.00005805,7.00000000,1
1531210397377,1531210397372,1836414,0.00005805,6.00000000,1
1531210529879,1531210529875,1836415,0.00005805,5.00000000,1
1531210633834,1531210633830,1836416,0.00005820,7.00000000,1
1531210832784,1531210832779,1836417,0.00005844,52.00000000,0
1531210832784,1531210832779,1836418,0.00005847,48.00000000,0
1531210837880,1531210837875,1836419,0.00005847,16.00000000,0
1531210862341,1531210862336,1836420,0.00005820,3.00000000,1
1531210938633,1531210938629,1836421,0.00005847,39.00000000,0
1531210986238,1531210986232,1836422,0.00005821,31.00000000,1
1531211221582,1531211221582,1836423,0.00005820,476.00000000,1
1531211223593,1531211223590,1836424,0.00005820,112.00000000,1
1531211225803,1531211225797,1836425,0.00005820,1009.00000000,1
1531211238561,1531211238537,1836426,0.00005820,54.00000000,1
1531211238701,1531211238695,1836427,0.00005817,164.00000000,1
1531211241190,1531211241185,1836428,0.00005810,30.00000000,1
1531211276224,1531211276219,1836429,0.00005820,18.00000000,0
1531211292088,1531211292083,1836430,0.00005820,18.00000000,0
1531211358039,1531211358036,1836431,0.00005810,4.00000000,1
1531211369454,1531211369451,1836432,0.00005810,9.00000000,1
1531211607621,1531211607616,1836433,0.00005820,18.00000000,0
1531211607651,1531211607651,1836434,0.00005821,35.00000000,1
1531211649289,1531211649285,1836435,0.00005821,785.00000000,1
