event_time,trade_time,trade_id,price,quantity,maker
1531210362490,1531210362485,18775916,0.00006996,47.00000000,1
1531210362835,1531210362833,18775917,0.00006999,155.00000000,0
1531210362848,1531210362843,18775918,0.00006996,71.00000000,1
1531210362958,1531210362955,18775919,0.00006995,425.00000000,1
1531210368996,1531210368991,18775920,0.00006996,17.00000000,0
1531210372669,1531210372665,18775921,0.00007001,500.00000000,0
1531210381205,1531210381199,18775922,0.00006996,71.00000000,1
1531210381205,1531210381199,18775923,0.00006995,1490.00000000,1
1531210390322,1531210390317,18775924,0.00006999,32.00000000,0
1531210390322,1531210390317,18775925,0.00007000,468.00000000,0
1531210391660,1531210391655,18775926,0.00006999,488.00000000,1
1531210391660,1531210391655,18775927,0.00006995,342.00000000,1
1531210399010,1531210399007,18775928,0.00007000,414.00000000,0
1531210399210,1531210399206,18775929,0.00007000,229.00000000,0
1531210401200,1531210401196,18775930,0.00006998,210.00000000,0
1531210403372,1531210403369,18775931,0.00006995,228.00000000,1
1531210408793,1531210408789,18775932,0.00006998,500.00000000,0
1531210409804,1531210409799,18775933,0.00006997,877.00000000,0
1531210409826,1531210409822,18775934,0.00006996,444.00000000,1
1531210410582,1531210410578,18775935,0.00006995,67.00000000,1
1531210412952,1531210412950,18775936,0.00006995,13503.00000000,1
1531210413483,1531210413477,18775937,0.00006991,5105.00000000,1
1531210422297,1531210422293,18775938,0.00006994,626.00000000,0
1531210422309,1531210422305,18775939,0.00006992,213.00000000,1
1531210426367,1531210426362,18775940,0.00006997,500.00000000,0
1531210430928,1531210430923,18775941,0.00006994,504.00000000,0
1531210432976,1531210432972,18775942,0.00006994,251.00000000,0
1531210433115,1531210433110,18775943,0.00006994,13.00000000,0
1531210433435,1531210433430,18775944,0.00006994,5000.00000000,0
1531210435007,1531210435003,18775945,0.00006994,124.00000000,0
1531210435748,1531210435743,18775946,0.00006991,2274.00000000,1
1531210436356,1531210436355,18775947,0.00006992,359.00000000,1
1531210436356,1531210436355,18775948,0.00006990,6741.00000000,1
1531210441182,1531210441178,18775949,0.00006992,75.00000000,0
1531210443223,1531210443218,18775950,0.00006992,37.00000000,0
1531210443795,1531210443791,18775951,0.00006991,500.00000000,0
1531210446695,1531210446690,18775952,0.00006991,1000.00000000,0
1531210449498,1531210449494,18775953,0.00006990,359.00000000,1
1531210449510,1531210449505,18775954,0.00006989,1327.00000000,1
1531210449531,1531210449526,18775955,0.00006989,3501.00000000,1
1531210456657,1531210456653,18775956,0.00006989,1172.00000000,1
1531210457217,1531210457213,18775957,0.00006989,1.00000000,0
1531210461601,1531210461596,18775958,0.00006989,500.00000000,0
1531210465184,1531210465178,18775959,0.00006989,2000.00000000,0
1531210466967,1531210466966,18775960,0.00006989,1.00000000,0
1531210471146,1531210471142,18775961,0.00006988,6200.00000000,1
1531210472273,1531210472267,18775962,0.00006986,1.00000000,1
1531210477294,1531210477288,18775963,0.00006986,1334.00000000,1
1531210477294,1531210477288,18775964,0.00006983,80.00000000,1
1531210477294,1531210477288,18775965,0.00006980,25.00000000,1
1531210479594,1531210479590,18775966,0.00006987,500.00000000,0
1531210483159,1531210483155,18775967,0.00006983,2648.00000000,0
1531210483168,1531210483164,18775968,0.00006985,1068.00000000,0
1531210485782,1531210485777,18775969,0.00006988,1300.00000000,0
1531210487853,1531210487848,18775970,0.00006988,10.00000000,0
1531210490838,1531210490833,18775971,0.00006988,848.00000000,0
1531210495700,1531210495694,18775972,0.00006987,5000.00000000,0
1531210498243,1531210498240,18775973,0.00006986,114.00000000,0
1531210498243,1531210498240,18775974,0.00006987,386.00000000,0
1531210499215,1531210499209,18775975,0.00006984,2547.00000000,0
1531210499231,1531210499227,18775976,0.00006982,1169.00000000,1
1531210506319,1531210506314,18775977,0.00006988,1600.00000000,0
1531210511032,1531210511028,18775978,0.00006988,55.00000000,0
1531210516897,1531210516893,18775979,0.00006987,1243.00000000,0
1531210516907,1531210516902,18775980,0.00006986,1128.00000000,1
1531210516928,1531210516922,18775981,0.00006985,957.00000000,1
1531210517282,1531210517277,18775982,0.00006988,500.00000000,0
1531210526033,1531210526029,18775983,0.00006988,1000.00000000,0
1531210526273,1531210526269,18775984,0.00006988,5000.00000000,0
1531210527266,1531210527261,18775985,0.00006984,1282.00000000,1
1531210533074,1531210533070,18775986,0.00006987,1188.00000000,0
1531210534757,1531210534752,18775987,0.00006988,500.00000000,0
1531210541990,1531210541985,18775988,0.00006984,588.00000000,1
1531210546988,1531210546981,18775989,0.00006988,580.00000000,0
1531210546988,1531210546981,18775990,0.00006989,420.00000000,0
1531210548280,1531210548277,18775991,0.00006989,50000.00000000,0
1531210552965,1531210552959,18775992,0.00006989,500.00000000,0
1531210556563,1531210556559,18775993,0.00006988,701.00000000,0
1531210556581,1531210556575,18775994,0.00006988,1031.00000000,0
1531210560878,1531210560874,18775995,0.00006989,365.00000000,0
1531210562462,1531210562456,18775996,0.00006989,76.00000000,0
1531210566336,1531210566330,18775997,0.00006989,1112.00000000,0
1531210566541,1531210566536,18775998,0.00006989,2368.00000000,1
1531210567430,1531210567424,18775999,0.00006988,1300.00000000,0
1531210570458,1531210570454,18776000,0.00006988,500.00000000,0
1531210578224,1531210578219,18776001,0.00006987,847.00000000,0
1531210585495,1531210585491,18776002,0.00006988,12.00000000,0
1531210585779,1531210585774,18776003,0.00006988,1600.00000000,0
1531210588012,1531210588006,18776004,0.00006988,500.00000000,0
1531210588522,1531210588517,18776005,0.00006988,1.00000000,0
1531210590099,1531210590094,18776006,0.00006984,1015.00000000,1
1531210590099,1531210590094,18776007,0.00006982,63.00000000,1
1531210590099,1531210590094,18776008,0.00006980,2229.00000000,1
1531210590282,1531210590277,18776009,0.00006980,63.00000000,1
1531210596768,1531210596763,18776010,0.00006981,1297.00000000,1
1531210604713,1531210604709,18776011,0.00006980,48.00000000,1
1531210605435,1531210605432,18776012,0.00006988,60.00000000,0
1531210605615,1531210605609,18776013,0.00006988,500.00000000,0
1531210605793,1531210605789,18776014,0.00006988,1600.00000000,0
1531210617826,1531210617822,18776015,0.00006984,10804.00000000,0
1531210617842,1531210617838,18776016,0.00006981,4254.00000000,1
1531210624840,1531210624835,18776017,0.00006988,500.00000000,0
1531210626410,1531210626406,18776018,0.00006988,1000.00000000,0
1531210629936,1531210629932,18776019,0.00006988,4.00000000,0
1531210632966,1531210632961,18776020,0.00006988,995.00000000,0
1531210633978,1531210633972,18776021,0.00006982,19.00000000,1
1531210635750,1531210635745,18776022,0.00006984,5926.00000000,1
1531210635766,1531210635762,18776023,0.00006983,7840.00000000,1
1531210642894,1531210642888,18776024,0.00006990,500.00000000,0
1531210647303,1531210647298,18776025,0.00006986,1266.00000000,0
1531210647315,1531210647311,18776026,0.00006983,532.00000000,1
1531210657520,1531210657516,18776027,0.00006990,955.00000000,0
1531210660565,1531210660561,18776028,0.00006990,500.00000000,0
1531210663803,1531210663799,18776029,0.00006986,5486.00000000,0
1531210663815,1531210663811,18776030,0.00006982,4035.00000000,1
1531210663835,1531210663830,18776031,0.00006981,5229.00000000,1
1531210678391,1531210678386,18776032,0.00006990,14.00000000,0
1531210678408,1531210678408,18776033,0.00006986,500.00000000,0
1531210678410,1531210678408,18776034,0.00006986,2259.00000000,0
1531210678419,1531210678414,18776035,0.00006986,500.00000000,1
1531210678419,1531210678414,18776036,0.00006982,2010.00000000,1
1531210679058,1531210679054,18776037,0.00006990,1800.00000000,0
1531210684496,1531210684496,18776038,0.00006982,510.00000000,0
1531210684544,1531210684543,18776039,0.00006982,90.00000000,0
1531210684588,1531210684584,18776040,0.00006984,1421.00000000,0
1531210684598,1531210684594,18776041,0.00006988,5523.00000000,0
1531210684630,1531210684626,18776042,0.00006988,583.00000000,0
1531210685304,1531210685300,18776043,0.00006987,187.00000000,0
1531210688095,1531210688091,18776044,0.00006987,9.00000000,0
1531210691463,1531210691459,18776045,0.00006984,15921.00000000,0
