event_time,trade_time,trade_id,price,quantity,maker
1531210391702,1531210391697,3366979,0.02433000,0.89900000,0
1531210391702,1531210391697,3366980,0.02433100,0.10100000,0
1531210407812,1531210407807,3366981,0.02433100,0.16000000,0
1531210407812,1531210407807,3366982,0.02434500,0.90000000,0
1531210407812,1531210407807,3366983,0.02435600,4.48700000,0
1531210413754,1531210413748,3366984,0.02435500,0.03000000,0
1531210413852,1531210413852,3366985,0.02435500,0.04200000,0
1531210414616,1531210414611,3366986,0.02429300,0.90000000,1
1531210414616,1531210414611,3366987,0.02428600,0.45300000,1
1531210414616,1531210414611,3366988,0.02428500,0.08100000,1
1531210414616,1531210414611,3366989,0.02427800,2.04300000,1
1531210417777,1531210417773,3366990,0.02435500,0.00800000,0
1531210438474,1531210438471,3366991,0.02435500,1.76200000,0
1531210438474,1531210438471,3366992,0.02435600,2.67000000,0
1531210439474,1531210439469,3366993,0.02435600,0.08400000,0
1531210439502,1531210439498,3366994,0.02435600,0.08400000,0
1531210439515,1531210439511,3366995,0.02435600,0.08400000,0
1531210439545,1531210439541,3366996,0.02435600,0.08400000,0
1531210439556,1531210439551,3366997,0.02435600,0.08400000,0
1531210439576,1531210439571,3366998,0.02435600,0.08400000,0
1531210439593,1531210439588,3366999,0.02435600,0.08400000,0
1531210439628,1531210439623,3367000,0.02435600,0.08400000,0
1531210439658,1531210439650,3367001,0.02435600,0.22800000,0
1531210456514,1531210456509,3367002,0.02435000,0.90000000,0
1531210456545,1531210456539,3367003,0.02435100,0.08400000,0
1531210456565,1531210456561,3367004,0.02435100,0.08400000,0
1531210456587,1531210456585,3367005,0.02435100,0.08400000,0
1531210456616,1531210456614,3367006,0.02435100,0.08400000,0
1531210456626,1531210456621,3367007,0.02435100,0.08400000,0
1531210456660,1531210456654,3367008,0.02435100,0.08400000,0
1531210456669,1531210456664,3367009,0.02435100,0.08400000,0
1531210456695,1531210456692,3367010,0.02435100,0.08400000,0
1531210456722,1531210456718,3367011,0.02435100,0.22800000,0
1531210457576,1531210457572,3367012,0.02435000,0.76900000,1
1531210557057,1531210557053,3367013,0.02434500,0.00500000,0
1531210558591,1531210558587,3367014,0.02434500,0.04200000,0
1531210559589,1531210559583,3367015,0.02430000,0.04200000,0
1531210563718,1531210563709,3367016,0.02430000,0.89300000,0
1531210564182,1531210564177,3367017,0.02430000,0.41100000,0
1531210570225,1531210570220,3367018,0.02430000,0.03700000,0
1531210573060,1531210573053,3367019,0.02427900,0.00300000,1
1531210573412,1531210573412,3367020,0.02430000,0.00100000,0
1531210657242,1531210657241,3367021,0.02430000,0.26600000,0
1531210733636,1531210733632,3367022,0.02430000,0.19700000,0
1531210734599,1531210734597,3367023,0.02432200,0.44300000,1
1531210766090,1531210766085,3367024,0.02432500,0.08300000,0
1531210766090,1531210766085,3367025,0.02435100,0.07000000,0
1531210823917,1531210823911,3367026,0.02436200,0.93700000,0
1531210824473,1531210824469,3367027,0.02436200,0.93700000,1
1531210824644,1531210824640,3367028,0.02436300,0.07300000,0
1531210824644,1531210824640,3367029,0.02438200,0.01100000,0
1531210824663,1531210824664,3367030,0.02438200,0.08400000,0
1531210824704,1531210824699,3367031,0.02438200,0.08400000,0
1531210824713,1531210824710,3367032,0.02438200,0.08400000,0
1531210824747,1531210824743,3367033,0.02438200,0.06400000,0
1531210824747,1531210824743,3367034,0.02439200,0.02000000,0
1531210824771,1531210824771,3367035,0.02439200,0.08400000,0
1531210824776,1531210824773,3367036,0.02439200,0.08400000,0
1531210824798,1531210824793,3367037,0.02439200,0.08400000,0
1531210824823,1531210824820,3367038,0.02439200,0.22800000,0
1531210888388,1531210888382,3367039,0.02438500,0.00300000,0
1531210888674,1531210888671,3367040,0.02438500,0.04200000,0
1531210889668,1531210889663,3367041,0.02438500,0.04200000,0
1531210890686,1531210890680,3367042,0.02438500,0.04200000,0
1531210891682,1531210891677,3367043,0.02438500,0.04200000,0
1531210892671,1531210892671,3367044,0.02438500,0.04200000,0
1531210893688,1531210893683,3367045,0.02438500,0.04200000,0
1531210894681,1531210894676,3367046,0.02438500,0.04200000,0
1531210895691,1531210895687,3367047,0.02438500,0.04200000,0
1531210896732,1531210896728,3367048,0.02438500,0.04200000,0
1531210897686,1531210897682,3367049,0.02438500,0.04200000,0
1531210898680,1531210898676,3367050,0.02438500,0.04200000,0
1531210899692,1531210899692,3367051,0.02438500,0.04200000,0
1531210900691,1531210900687,3367052,0.02438500,0.04200000,0
1531210901691,1531210901687,3367053,0.02438500,0.04200000,0
1531210902696,1531210902691,3367054,0.02438500,0.04200000,0
1531210903695,1531210903690,3367055,0.02438500,0.04200000,0
1531210904705,1531210904699,3367056,0.02438500,0.04200000,0
1531210905699,1531210905699,3367057,0.02438500,0.04200000,0
1531210906709,1531210906705,3367058,0.02438500,0.04200000,0
1531210907700,1531210907698,3367059,0.02438500,0.04200000,0
1531210908701,1531210908696,3367060,0.02438500,0.04200000,0
1531210909715,1531210909710,3367061,0.02438500,0.01500000,0
1531210909715,1531210909710,3367062,0.02438600,0.02700000,0
1531210922201,1531210922195,3367063,0.02438500,0.00300000,0
1531210942049,1531210942045,3367064,0.02439000,0.04600000,0
1531210942921,1531210942919,3367065,0.02439000,0.04200000,0
1531210943913,1531210943909,3367066,0.02439000,0.04200000,0
1531210944930,1531210944926,3367067,0.02439000,0.04200000,0
1531210945920,1531210945920,3367068,0.02439000,0.04200000,0
1531210946934,1531210946930,3367069,0.02439000,0.04200000,0
1531210947935,1531210947932,3367070,0.02439000,0.04200000,0
1531210948930,1531210948925,3367071,0.02439000,0.00200000,0
1531210948930,1531210948925,3367072,0.02439100,0.04000000,0
1531210949941,1531210949937,3367073,0.02439100,0.04200000,0
1531210950932,1531210950929,3367074,0.02439100,0.04200000,0
1531210951947,1531210951942,3367075,0.02439100,0.04200000,0
1531210952950,1531210952946,3367076,0.02439100,0.04200000,0
1531210953939,1531210953934,3367077,0.02439100,0.04200000,0
1531210954946,1531210954947,3367078,0.02439100,0.04200000,0
1531210955945,1531210955940,3367079,0.02439100,0.04200000,0
1531210956955,1531210956952,3367080,0.02439100,0.04200000,0
1531210957938,1531210957933,3367081,0.02439100,0.04200000,0
1531210958941,1531210958942,3367082,0.02439100,0.04200000,0
1531210959947,1531210959941,3367083,0.02439100,0.04200000,0
1531210960945,1531210960943,3367084,0.02439100,0.04200000,0
1531210961948,1531210961944,3367085,0.02439100,0.04200000,0
1531210962958,1531210962955,3367086,0.02439100,0.04200000,0
1531210963951,1531210963947,3367087,0.02439100,0.04200000,0
1531210977474,1531210977469,3367088,0.02439000,0.92400000,0
1531210977474,1531210977469,3367089,0.02439100,0.07600000,0
1531210978047,1531210978044,3367090,0.02439100,0.08200000,0
1531210978069,1531210978065,3367091,0.02439100,0.08200000,0
1531210978090,1531210978086,3367092,0.02439100,0.08200000,0
1531210978112,1531210978107,3367093,0.02439100,0.08200000,0
1531210978126,1531210978127,3367094,0.02439100,0.08200000,0
1531210978140,1531210978135,3367095,0.02439100,0.08200000,0
1531210978172,1531210978169,3367096,0.02439100,0.08200000,0
1531210978196,1531210978190,3367097,0.02439100,0.08200000,0
1531210978214,1531210978211,3367098,0.02439100,0.24400000,0
1531211009198,1531211009195,3367099,0.02438800,0.11700000,0
1531211009321,1531211009316,3367100,0.02438800,0.11700000,0
1531211010325,1531211010320,3367101,0.02438800,0.06600000,0
1531211010325,1531211010320,3367102,0.02438900,0.05100000,0
1531211010648,1531211010645,3367103,0.02438900,0.06600000,0
1531211011336,1531211011335,3367104,0.02438900,0.06600000,0
1531211016390,1531211016385,3367105,0.02438800,0.90000000,0
1531211016861,1531211016856,3367106,0.02438900,0.08400000,0
1531211016883,1531211016879,3367107,0.02438900,0.08400000,0
1531211016892,1531211016888,3367108,0.02438900,0.54600000,0
1531211016914,1531211016910,3367109,0.02439200,0.08400000,0
1531211016927,1531211016923,3367110,0.02439000,0.23400000,1
1531211016933,1531211016930,3367111,0.02439200,0.08400000,0
1531211016943,1531211016940,3367112,0.02439200,0.08400000,0
1531211016964,1531211016959,3367113,0.02439200,0.08400000,0
1531211016993,1531211016990,3367114,0.02439200,0.08400000,0
1531211017016,1531211017010,3367115,0.02439200,0.08400000,0
1531211017035,1531211017029,3367116,0.02439200,0.22800000,0
1531211017768,1531211017766,3367117,0.02439000,0.20500000,1
1531211021626,1531211021621,3367118,0.02439100,0.90000000,0
1531211021870,1531211021867,3367119,0.02439200,0.08200000,0
1531211021900,1531211021897,3367120,0.02439200,0.08200000,0
1531211021912,1531211021907,3367121,0.02439200,0.08200000,0
1531211021934,1531211021930,3367122,0.02439200,0.08200000,0
1531211021964,1531211021960,3367123,0.02439200,0.08200000,0
1531211021983,1531211021979,3367124,0.02439200,0.08200000,0
1531211022003,1531211022000,3367125,0.02439200,0.08200000,0
1531211022012,1531211022009,3367126,0.02439200,0.08200000,0
1531211022057,1531211022052,3367127,0.02439200,0.11200000,0
1531211022057,1531211022052,3367128,0.02439500,0.13200000,0
1531211022981,1531211022977,3367129,0.02439400,0.55700000,0
1531211023883,1531211023880,3367130,0.02439400,0.08200000,0
1531211023912,1531211023906,3367131,0.02439400,0.08200000,0
1531211023941,1531211023939,3367132,0.02439400,0.08200000,0
1531211023953,1531211023950,3367133,0.02439400,0.08200000,0
1531211023988,1531211023984,3367134,0.02439400,0.01500000,0
1531211023988,1531211023984,3367135,0.02439500,0.13200000,0
1531211023993,1531211023988,3367136,0.02439500,0.34300000,0
1531211024090,1531211024086,3367137,0.02439500,0.08200000,0
1531211024880,1531211024874,3367138,0.02439900,0.08200000,0
1531211024901,1531211024897,3367139,0.02439900,0.08200000,0
1531211024913,1531211024908,3367140,0.02439900,0.08200000,0
1531211024937,1531211024933,3367141,0.02439900,0.09700000,0
1531211045217,1531211045213,3367142,0.02439800,0.67600000,0
1531211045923,1531211045919,3367143,0.02439800,0.08200000,0
1531211045946,1531211045942,3367144,0.02439800,0.08200000,0
1531211045965,1531211045960,3367145,0.02439800,0.06000000,0
1531211045965,1531211045960,3367146,0.02439900,0.02200000,0
1531211045984,1531211045980,3367147,0.02439900,0.08200000,0
1531211046008,1531211046007,3367148,0.02439900,0.08200000,0
1531211046030,1531211046026,3367149,0.02439900,0.08200000,0
1531211046056,1531211046052,3367150,0.02439900,0.08200000,0
1531211046076,1531211046070,3367151,0.02439900,0.10200000,0
1531211046932,1531211046926,3367152,0.02439900,0.08200000,0
1531211046953,1531211046949,3367153,0.02439900,0.14200000,0
1531211105534,1531211105532,3367154,0.02439800,0.90000000,0
