event_time,trade_time,trade_id,price,quantity,maker
1531160283533,1531160283531,4988063,0.00010454,1114.00000000,1
1531160283553,1531160283550,4988064,0.00010454,32.00000000,1
1531160302911,1531160302907,4988065,0.00010458,1340.00000000,0
1531160302928,1531160302925,4988066,0.00010454,1289.00000000,1
1531160343936,1531160343932,4988067,0.00010459,2496.00000000,0
1531160343953,1531160343949,4988068,0.00010455,911.00000000,1
1531160362942,1531160362939,4988069,0.00010459,2220.00000000,0
1531160362964,1531160362960,4988070,0.00010456,750.00000000,1
1531160372159,1531160372156,4988071,0.00010463,956.00000000,0
1531160380820,1531160380816,4988072,0.00010463,470.00000000,0
1531160443021,1531160443017,4988073,0.00010469,188.00000000,1
1531160443021,1531160443017,4988074,0.00010468,1531.00000000,1
1531160443021,1531160443017,4988075,0.00010467,30.00000000,1
1531160443815,1531160443812,4988076,0.00010462,188.00000000,0
1531160444970,1531160444966,4988077,0.00010463,271.00000000,0
1531160513055,1531160513051,4988078,0.00010468,252.00000000,1
1531160513055,1531160513051,4988079,0.00010463,80.00000000,1
1531160520767,1531160520765,4988080,0.00010452,23.00000000,1
1531160521767,1531160521764,4988081,0.00010448,171.00000000,1
1531160522775,1531160522772,4988082,0.00010437,80.00000000,1
1531160562762,1531160562760,4988083,0.00010425,860.00000000,1
1531160563777,1531160563774,4988084,0.00010421,80.00000000,1
1531160564770,1531160564767,4988085,0.00010412,49.00000000,1
1531160601790,1531160601787,4988086,0.00010405,80.00000000,1
1531160607789,1531160607786,4988087,0.00010401,30.00000000,1
1531160619780,1531160619777,4988088,0.00010392,108.00000000,1
1531160625792,1531160625789,4988089,0.00010384,12.00000000,1
1531160634584,1531160634580,4988090,0.00010382,102.00000000,0
1531160640435,1531160640432,4988091,0.00010357,74.00000000,1
1531160640847,1531160640842,4988092,0.00010356,89.00000000,0
1531160640873,1531160640869,4988093,0.00010357,41.00000000,0
1531160703912,1531160703908,4988094,0.00010363,2086.00000000,0
1531160703925,1531160703922,4988095,0.00010371,246.00000000,0
1531160703943,1531160703939,4988096,0.00010371,1043.00000000,0
1531160704102,1531160704098,4988097,0.00010371,34.00000000,1
1531160704946,1531160704943,4988098,0.00010372,297.00000000,0
1531160707800,1531160707796,4988099,0.00010397,80.00000000,0
1531160709804,1531160709800,4988100,0.00010401,49.00000000,0
1531160742067,1531160742062,4988101,0.00010383,46.00000000,1
1531160757808,1531160757804,4988102,0.00010424,13.00000000,0
1531160762924,1531160762921,4988103,0.00010401,72.00000000,1
1531160806654,1531160806650,4988104,0.00010410,173.00000000,1
1531160806794,1531160806791,4988105,0.00010410,267.00000000,0
1531160806863,1531160806860,4988106,0.00010410,41.00000000,0
1531160824272,1531160824269,4988107,0.00010422,69.00000000,0
1531160824353,1531160824348,4988108,0.00010422,120.00000000,0
1531160824353,1531160824348,4988109,0.00010423,69.00000000,0
1531160840870,1531160840866,4988110,0.00010422,489.00000000,0
1531160847066,1531160847063,4988111,0.00010423,3.00000000,0
1531160880768,1531160880763,4988112,0.00010475,36.00000000,0
1531160881018,1531160881013,4988113,0.00010476,15.00000000,0
1531160896173,1531160896168,4988114,0.00010476,1.00000000,1
1531160966801,1531160966798,4988115,0.00010479,140.00000000,1
1531160986016,1531160986012,4988116,0.00010488,62.00000000,0
1531160986016,1531160986012,4988117,0.00010489,79.00000000,0
1531160987276,1531160987272,4988118,0.00010489,62.00000000,0
1531160989111,1531160989107,4988119,0.00010479,14.00000000,1
1531161003658,1531161003654,4988120,0.00010504,512.00000000,0
1531161016032,1531161016029,4988121,0.00010505,10.00000000,0
1531161025999,1531161025995,4988122,0.00010505,20.00000000,0
1531161027028,1531161027024,4988123,0.00010506,64.00000000,0
1531161042920,1531161042916,4988124,0.00010507,1130.00000000,1
1531161045700,1531161045695,4988125,0.00010529,17.00000000,0
1531161045700,1531161045695,4988126,0.00010539,171.00000000,0
1531161045700,1531161045695,4988127,0.00010540,471.00000000,0
1531161059439,1531161059435,4988128,0.00010540,39.00000000,0
1531161063397,1531161063395,4988129,0.00010523,2933.00000000,0
1531161063405,1531161063401,4988130,0.00010539,1166.00000000,0
1531161063425,1531161063422,4988131,0.00010539,1358.00000000,0
1531161076186,1531161076182,4988132,0.00010540,100.00000000,0
1531161118935,1531161118932,4988133,0.00010538,94.00000000,0
1531161136546,1531161136542,4988134,0.00010538,240.00000000,0
1531161143288,1531161143284,4988135,0.00010527,1655.00000000,0
1531161143305,1531161143302,4988136,0.00010516,739.00000000,1
1531161144206,1531161144202,4988137,0.00010515,13.00000000,1
1531161153427,1531161153423,4988138,0.00010515,17.00000000,1
1531161154772,1531161154767,4988139,0.00010515,19.00000000,0
1531161160812,1531161160807,4988140,0.00010515,11.00000000,1
