event_time,trade_time,trade_id,price,quantity,maker
1531160365953,1531160365950,259651,0.00002868,230.00000000,0
1531160365965,1531160365962,259652,0.00002867,113.00000000,1
1531160424722,1531160424719,259653,0.00002869,41.00000000,0
1531160433721,1531160433717,259654,0.00002867,754.00000000,0
1531160433740,1531160433737,259655,0.00002868,510.00000000,0
1531160449054,1531160449051,259656,0.00002869,348.00000000,0
1531160608105,1531160608102,259657,0.00002867,1854.00000000,0
1531160608117,1531160608114,259658,0.00002868,909.00000000,0
1531160645793,1531160645788,259659,0.00002868,1387.00000000,0
1531160645808,1531160645805,259660,0.00002867,555.00000000,1
1531160726692,1531160726689,259661,0.00002868,164.00000000,0
1531160726771,1531160726766,259662,0.00002869,41.00000000,0
1531160746698,1531160746695,259663,0.00002868,2617.00000000,0
1531160755565,1531160755560,259664,0.00002869,41.00000000,0
1531160765161,1531160765158,259665,0.00002867,369.00000000,1
1531160904471,1531160904466,259666,0.00002867,8362.00000000,0
1531160904488,1531160904484,259667,0.00002868,2924.00000000,0
1531160958008,1531160958005,259668,0.00002868,1560.00000000,0
1531160958016,1531160958011,259669,0.00002867,788.00000000,1
1531161006398,1531161006395,259670,0.00002867,183.00000000,0
1531161006413,1531161006409,259671,0.00002868,70.00000000,0
1531161043720,1531161043716,259672,0.00002869,41.00000000,0
1531161105948,1531161105945,259673,0.00002867,3091.00000000,0
1531161105957,1531161105955,259674,0.00002868,62.00000000,0
1531161105976,1531161105971,259675,0.00002868,1081.00000000,0
1531161227509,1531161227505,259676,0.00002867,2500.00000000,1
1531161227536,1531161227534,259677,0.00002867,2059.00000000,1
1531161227560,1531161227556,259678,0.00002867,926.00000000,1
1531161253406,1531161253403,259679,0.00002867,1321.00000000,1
1531161253420,1531161253417,259680,0.00002867,951.00000000,0
1531161253436,1531161253432,259681,0.00002867,1321.00000000,1
1531161286801,1531161286797,259682,0.00002866,659.00000000,1
1531161286816,1531161286811,259683,0.00002866,8009.00000000,0
1531161286832,1531161286829,259684,0.00002867,2909.00000000,0
1531161324994,1531161324990,259685,0.00002868,41.00000000,0
1531161351139,1531161351138,259686,0.00002868,41.00000000,0
1531161556690,1531161556685,259687,0.00002868,258.00000000,0
1531161568545,1531161568541,259688,0.00002868,818.00000000,0
1531161570654,1531161570652,259689,0.00002867,123.00000000,1
1531161645531,1531161645526,259690,0.00002868,41.00000000,0
1531161671758,1531161671752,259691,0.00002868,40.00000000,0
1531161672531,1531161672525,259692,0.00002868,41.00000000,0
