event_time,trade_time,trade_id,price,quantity,maker
1531160292110,1531160292106,250260,0.00000084,6975.00000000,0
1531160298950,1531160298947,250261,0.00000084,4284.00000000,0
1531160299286,1531160299283,250262,0.00000084,25340.00000000,0
1531160299864,1531160299861,250263,0.00000084,30000.00000000,0
1531160318945,1531160318942,250264,0.00000084,97000.00000000,0
1531160321411,1531160321407,250265,0.00000083,50000.00000000,1
1531160321696,1531160321694,250266,0.00000084,1.00000000,0
1531160322956,1531160322952,250267,0.00000084,20000.00000000,0
1531160345872,1531160345870,250268,0.00000083,2988.00000000,1
1531160346362,1531160346359,250269,0.00000084,1424.00000000,0
1531160346968,1531160346965,250270,0.00000083,2975.00000000,1
1531160347144,1531160347140,250271,0.00000084,1.00000000,0
1531160360861,1531160360859,250272,0.00000084,13.00000000,0
1531160388976,1531160388973,250273,0.00000083,3000.00000000,1
1531160389315,1531160389313,250274,0.00000084,1.00000000,0
1531160392736,1531160392728,250275,0.00000084,4514379.00000000,0
1531160393829,1531160393826,250276,0.00000084,117665.00000000,0
1531160394098,1531160394095,250277,0.00000084,7738.00000000,1
1531160395226,1531160395223,250278,0.00000085,1.00000000,0
1531160395879,1531160395876,250279,0.00000084,4767.00000000,1
1531160396147,1531160396144,250280,0.00000085,1.00000000,0
1531160396346,1531160396343,250281,0.00000085,1.00000000,0
1531160396405,1531160396402,250282,0.00000084,4390.00000000,1
1531160396537,1531160396534,250283,0.00000085,1.00000000,0
1531160396744,1531160396741,250284,0.00000085,1.00000000,0
1531160396963,1531160396960,250285,0.00000085,1.00000000,0
1531160397149,1531160397145,250286,0.00000085,1.00000000,0
1531160397333,1531160397332,250287,0.00000085,1.00000000,0
1531160397509,1531160397505,250288,0.00000085,1.00000000,0
1531160397754,1531160397751,250289,0.00000085,1.00000000,0
1531160397961,1531160397961,250290,0.00000085,1.00000000,0
1531160417981,1531160417959,250291,0.00000084,8901.00000000,1
1531160418146,1531160418141,250292,0.00000085,1.00000000,0
1531160440477,1531160440473,250293,0.00000085,1175.00000000,0
1531160441118,1531160441115,250294,0.00000085,2.00000000,0
1531160441317,1531160441314,250295,0.00000085,1175.00000000,0
1531160443333,1531160443331,250296,0.00000085,7648.00000000,0
1531160444458,1531160444453,250297,0.00000085,9942.00000000,0
1531160452457,1531160452454,250298,0.00000084,25854.00000000,1
1531160453291,1531160453288,250299,0.00000085,1.00000000,0
1531160454432,1531160454429,250300,0.00000085,2.00000000,0
1531160457898,1531160457895,250301,0.00000085,3059.00000000,0
1531160466436,1531160466433,250302,0.00000084,11573.00000000,1
1531160466563,1531160466560,250303,0.00000085,1.00000000,0
1531160503697,1531160503694,250304,0.00000085,8000.00000000,0
1531160545489,1531160545487,250305,0.00000085,112.00000000,0
1531160558657,1531160558653,250306,0.00000085,2.00000000,0
1531160568711,1531160568703,250307,0.00000084,5514562.00000000,1
1531160569914,1531160569911,250308,0.00000085,1.00000000,0
1531160581710,1531160581708,250309,0.00000084,2.00000000,1
1531160581961,1531160581957,250310,0.00000085,1.00000000,0
1531160582083,1531160582079,250311,0.00000085,1.00000000,0
1531160582190,1531160582185,250312,0.00000085,1.00000000,0
1531160582313,1531160582313,250313,0.00000085,1.00000000,0
1531160582441,1531160582441,250314,0.00000085,1.00000000,0
1531160582553,1531160582550,250315,0.00000085,1.00000000,0
1531160582669,1531160582668,250316,0.00000085,1.00000000,0
1531160582793,1531160582790,250317,0.00000085,1.00000000,0
1531160582901,1531160582896,250318,0.00000085,1.00000000,0
1531160583040,1531160583037,250319,0.00000085,1.00000000,0
1531160588635,1531160588632,250320,0.00000085,1.00000000,0
1531160588794,1531160588791,250321,0.00000085,1.00000000,0
1531160588941,1531160588938,250322,0.00000085,1.00000000,0
1531160589567,1531160589564,250323,0.00000085,1.00000000,0
1531160589689,1531160589686,250324,0.00000085,1.00000000,0
1531160589802,1531160589799,250325,0.00000085,1.00000000,0
1531160590449,1531160590446,250326,0.00000085,1.00000000,0
1531160590623,1531160590621,250327,0.00000085,1.00000000,0
1531160590747,1531160590744,250328,0.00000085,1.00000000,0
1531160591950,1531160591948,250329,0.00000085,1.00000000,0
1531160592085,1531160592081,250330,0.00000085,1.00000000,0
1531160592239,1531160592236,250331,0.00000085,1.00000000,0
1531160592948,1531160592945,250332,0.00000085,1.00000000,0
1531160593098,1531160593095,250333,0.00000085,1.00000000,0
1531160593273,1531160593270,250334,0.00000085,1.00000000,0
1531160594554,1531160594551,250335,0.00000085,1.00000000,0
1531160594721,1531160594716,250336,0.00000085,1.00000000,0
1531160594875,1531160594871,250337,0.00000085,1.00000000,0
1531160603511,1531160603507,250338,0.00000085,2.00000000,0
1531160611652,1531160611649,250339,0.00000085,1577.00000000,0
1531160618424,1531160618421,250340,0.00000084,2.00000000,1
1531160618644,1531160618639,250341,0.00000085,1.00000000,0
1531160622294,1531160622290,250342,0.00000085,1.00000000,0
1531160622430,1531160622426,250343,0.00000085,1.00000000,0
1531160622629,1531160622624,250344,0.00000085,1.00000000,0
1531160623402,1531160623398,250345,0.00000085,1.00000000,0
1531160623544,1531160623539,250346,0.00000085,1.00000000,0
1531160623654,1531160623651,250347,0.00000085,1.00000000,0
1531160623783,1531160623779,250348,0.00000085,1.00000000,0
1531160624145,1531160624140,250349,0.00000085,1.00000000,0
1531160624938,1531160624935,250350,0.00000085,1.00000000,0
1531160625082,1531160625080,250351,0.00000085,1.00000000,0
1531160625223,1531160625220,250352,0.00000085,1.00000000,0
1531160625909,1531160625906,250353,0.00000085,1.00000000,0
1531160626089,1531160626085,250354,0.00000085,1.00000000,0
1531160626788,1531160626785,250355,0.00000085,1.00000000,0
1531160626975,1531160626971,250356,0.00000085,1.00000000,0
1531160627582,1531160627579,250357,0.00000085,1.00000000,0
1531160627776,1531160627772,250358,0.00000085,1.00000000,0
1531160628447,1531160628443,250359,0.00000085,1.00000000,0
1531160628644,1531160628643,250360,0.00000085,1.00000000,0
1531160628875,1531160628872,250361,0.00000085,1.00000000,0
1531160629210,1531160629206,250362,0.00000085,1.00000000,0
1531160629842,1531160629838,250363,0.00000085,1.00000000,0
1531160629964,1531160629961,250364,0.00000085,1.00000000,0
1531160630150,1531160630147,250365,0.00000085,1.00000000,0
1531160630557,1531160630552,250366,0.00000085,1.00000000,0
1531160631572,1531160631568,250367,0.00000085,1.00000000,0
1531160631720,1531160631717,250368,0.00000085,1.00000000,0
1531160631849,1531160631845,250369,0.00000085,1.00000000,0
1531160633112,1531160633107,250370,0.00000085,1.00000000,0
1531160633276,1531160633272,250371,0.00000085,1.00000000,0
1531160633417,1531160633412,250372,0.00000085,1.00000000,0
1531160634082,1531160634079,250373,0.00000085,1.00000000,0
1531160634249,1531160634246,250374,0.00000085,1.00000000,0
1531160634365,1531160634363,250375,0.00000085,1.00000000,0
1531160634833,1531160634830,250376,0.00000085,1.00000000,0
1531160634995,1531160634993,250377,0.00000085,1.00000000,0
1531160635638,1531160635635,250378,0.00000085,1.00000000,0
1531160636022,1531160636019,250379,0.00000085,1.00000000,0
1531160636155,1531160636151,250380,0.00000085,1.00000000,0
1531160636332,1531160636328,250381,0.00000085,1.00000000,0
1531160636693,1531160636689,250382,0.00000085,1.00000000,0
1531160637012,1531160637009,250383,0.00000085,1.00000000,0
1531160637261,1531160637258,250384,0.00000084,82294.00000000,1
1531160637276,1531160637273,250385,0.00000084,82294.00000000,1
1531160637289,1531160637285,250386,0.00000084,24840.00000000,1
1531160637749,1531160637745,250387,0.00000085,1.00000000,0
1531160638423,1531160638419,250388,0.00000085,1.00000000,0
1531160638617,1531160638614,250389,0.00000085,1.00000000,0
1531160639465,1531160639461,250390,0.00000085,1.00000000,0
