event_time,trade_time,trade_id,price,quantity,maker
1531160281201,1531160281199,4572197,0.00010175,20.00000000,0
1531160287780,1531160287776,4572198,0.00010174,244.00000000,1
1531160305812,1531160305809,4572199,0.00010172,288.00000000,0
1531160310543,1531160310540,4572200,0.00010180,236.00000000,0
1531160316271,1531160316271,4572201,0.00010171,290.00000000,1
1531160328792,1531160328791,4572202,0.00010180,228.00000000,0
1531160351905,1531160351902,4572203,0.00010179,211.00000000,0
1531160355720,1531160355718,4572204,0.00010179,179.00000000,1
1531160357723,1531160357719,4572205,0.00010179,98.00000000,0
1531160380871,1531160380868,4572206,0.00010173,196.00000000,0
1531160391896,1531160391894,4572207,0.00010175,166.00000000,0
1531160396026,1531160396026,4572208,0.00010171,130.00000000,1
1531160408091,1531160408087,4572209,0.00010174,93.00000000,1
1531160422155,1531160422151,4572210,0.00010173,94.00000000,1
1531160429093,1531160429090,4572211,0.00010177,81.00000000,0
1531160429093,1531160429090,4572212,0.00010178,61.00000000,0
1531160434111,1531160434108,4572213,0.00010176,118.00000000,1
1531160447233,1531160447232,4572214,0.00010176,106.00000000,0
1531160473284,1531160473280,4572215,0.00010175,170.00000000,0
1531160483088,1531160483085,4572216,0.00010174,244.00000000,0
1531160496175,1531160496171,4572217,0.00010165,183.00000000,1
1531160506110,1531160506106,4572218,0.00010170,118.00000000,1
1531160506115,1531160506112,4572219,0.00010170,135.00000000,1
1531160530072,1531160530068,4572220,0.00010166,184.00000000,0
1531160538017,1531160538013,4572221,0.00010157,12.00000000,1
1531160538017,1531160538013,4572222,0.00010150,150.00000000,1
1531160544255,1531160544251,4572223,0.00010164,206.00000000,0
1531160556981,1531160556979,4572224,0.00010168,155.00000000,0
1531160565995,1531160565992,4572225,0.00010167,199.00000000,0
1531160594129,1531160594126,4572226,0.00010150,105.00000000,1
1531160594913,1531160594910,4572227,0.00010159,124.00000000,0
1531160597942,1531160597939,4572228,0.00010159,154.00000000,0
1531160610912,1531160610908,4572229,0.00010161,117.00000000,1
1531160630983,1531160630979,4572230,0.00010160,118.00000000,1
1531160652012,1531160652009,4572231,0.00010160,258.00000000,0
1531160656260,1531160656255,4572232,0.00010160,208.00000000,1
1531160661167,1531160661161,4572233,0.00010170,118.00000000,0
1531160661167,1531160661161,4572234,0.00010176,595.00000000,0
1531160661167,1531160661161,4572235,0.00010177,171.00000000,0
1531160661197,1531160661193,4572236,0.00010177,23.00000000,0
1531160661841,1531160661837,4572237,0.00010177,300.00000000,0
1531160682927,1531160682924,4572238,0.00010176,237.00000000,1
1531160683063,1531160683058,4572239,0.00010177,237.00000000,0
1531160686477,1531160686473,4572240,0.00010176,63.00000000,1
1531160686477,1531160686473,4572241,0.00010159,32.00000000,1
1531160689118,1531160689114,4572242,0.00010167,206.00000000,1
1531160712077,1531160712074,4572243,0.00010162,104.00000000,0
1531160718025,1531160718022,4572244,0.00010160,114.00000000,1
1531160733333,1531160733328,4572245,0.00010160,12.00000000,0
1531160738869,1531160738865,4572246,0.00010159,98.00000000,1
1531160739001,1531160738998,4572247,0.00010159,20.00000000,0
1531160739001,1531160738998,4572248,0.00010160,98.00000000,0
1531160748093,1531160748089,4572249,0.00010159,130.00000000,1
1531160771113,1531160771109,4572250,0.00010156,183.00000000,1
1531160776060,1531160776055,4572251,0.00010157,228.00000000,0
1531160800505,1531160800503,4572252,0.00010151,132.00000000,1
1531160800505,1531160800503,4572253,0.00010150,84.00000000,1
1531160800993,1531160800989,4572254,0.00010151,235.00000000,1
1531160802150,1531160802147,4572255,0.00010157,12.00000000,0
1531160805954,1531160805950,4572256,0.00010152,215.00000000,1
1531160816481,1531160816477,4572257,0.00010157,9.00000000,0
1531160829768,1531160829764,4572258,0.00010152,217.00000000,0
1531160836732,1531160836730,4572259,0.00010151,218.00000000,0
1531160856006,1531160856002,4572260,0.00010150,364.00000000,1
1531160857716,1531160857712,4572261,0.00010148,197.00000000,0
1531160867721,1531160867718,4572262,0.00010148,225.00000000,0
1531160876144,1531160876137,4572263,0.00010149,17.00000000,0
1531160876179,1531160876176,4572264,0.00010149,13.00000000,0
1531160889902,1531160889897,4572265,0.00010125,40.00000000,0
1531160891453,1531160891447,4572266,0.00010124,18.00000000,1
1531160891572,1531160891569,4572267,0.00010124,229.00000000,0
1531160891572,1531160891569,4572268,0.00010125,18.00000000,0
1531160895487,1531160895485,4572269,0.00010123,238.00000000,0
1531160922575,1531160922571,4572270,0.00010112,211.00000000,0
1531160930565,1531160930562,4572271,0.00010112,212.00000000,0
1531160937696,1531160937692,4572272,0.00010100,766.00000000,1
1531160937738,1531160937734,4572273,0.00010100,62.00000000,0
1531160937744,1531160937740,4572274,0.00010100,99.00000000,0
