event_time,trade_time,trade_id,price,quantity,maker
1531160270932,1531160270929,2877745,0.00125750,46.35000000,1
1531160312427,1531160312422,2877746,0.00125860,55.00000000,0
1531160312434,1531160312432,2877747,0.00125990,99.23000000,0
1531160312452,1531160312449,2877748,0.00125990,25.00000000,0
1531160330196,1531160330192,2877749,0.00125870,221.52000000,0
1531160330207,1531160330205,2877750,0.00125750,77.62000000,1
1531160330225,1531160330221,2877751,0.00125750,91.54000000,1
1531160336953,1531160336949,2877752,0.00125740,6.60000000,1
1531160340861,1531160340858,2877753,0.00125550,252.42000000,0
1531160340875,1531160340872,2877754,0.00125990,99.37000000,0
1531160382547,1531160382543,2877755,0.00125200,1.32000000,1
1531160442415,1531160442411,2877756,0.00125420,28.64000000,0
1531160442422,1531160442419,2877757,0.00125100,12.25000000,1
1531160516788,1531160516785,2877758,0.00125130,30.51000000,1
1531160523651,1531160523648,2877759,0.00125390,44.14000000,0
1531160523665,1531160523661,2877760,0.00125140,35.60000000,1
1531160587309,1531160587305,2877761,0.00125080,97.98000000,1
1531160611805,1531160611800,2877762,0.00125080,22.39000000,1
1531160689579,1531160689575,2877763,0.00125140,8.21000000,1
1531160700694,1531160700691,2877764,0.00125150,24.10000000,1
1531160706991,1531160706988,2877765,0.00125140,107.14000000,1
1531160713913,1531160713908,2877766,0.00125140,1.32000000,1
1531160713913,1531160713908,2877767,0.00125080,559.49000000,1
1531160720111,1531160720106,2877768,0.00125340,76.72000000,0
1531160720125,1531160720122,2877769,0.00125090,30.69000000,1
1531160759473,1531160759468,2877770,0.00125090,35.50000000,1
1531160765831,1531160765828,2877771,0.00125550,0.79000000,0
1531160771382,1531160771380,2877772,0.00125080,0.53000000,1
1531160846900,1531160846895,2877773,0.00125580,0.79000000,0
1531160964879,1531160964874,2877774,0.00125580,8.74000000,0
1531160975873,1531160975869,2877775,0.00125600,6.61000000,0
1531160999917,1531160999914,2877776,0.00125880,68.54000000,0
1531161004661,1531161004659,2877777,0.00125390,3.00000000,1
1531161031822,1531161031819,2877778,0.00125630,155.14000000,0
1531161031836,1531161031833,2877779,0.00125390,51.89000000,1
1531161031858,1531161031853,2877780,0.00125390,64.09000000,1
1531161152701,1531161152698,2877781,0.00125400,88.51000000,1
1531161272408,1531161272405,2877782,0.00125550,36.13000000,0
1531161272423,1531161272418,2877783,0.00125400,20.67000000,1
1531161272441,1531161272439,2877784,0.00125400,15.83000000,1
1531161296436,1531161296432,2877785,0.00125400,30.03000000,1
1531161296453,1531161296449,2877786,0.00125400,74.93000000,1
1531161331858,1531161331854,2877787,0.00125400,24.23000000,1
