event_time,trade_time,trade_id,price,quantity,maker
1531160290762,1531160290759,5741221,0.00109200,656.71000000,1
1531160291199,1531160291197,5741222,0.00109200,656.71000000,1
1531160295938,1531160295936,5741223,0.00109200,381.86000000,1
1531160298741,1531160298740,5741224,0.00109400,1.28000000,0
1531160300192,1531160300190,5741225,0.00109000,5.68000000,1
1531160303651,1531160303649,5741226,0.00109300,3.98000000,0
1531160305434,1531160305433,5741227,0.00109200,2.22000000,1
1531160312667,1531160312664,5741228,0.00109000,3.43000000,1
1531160314105,1531160314102,5741229,0.00109000,27.47000000,1
1531160316699,1531160316697,5741230,0.00109300,1.39000000,0
1531160319053,1531160319049,5741231,0.00109000,0.31000000,1
1531160325815,1531160325815,5741232,0.00109000,68.79000000,1
1531160329813,1531160329810,5741233,0.00108900,7.63000000,1
1531160353933,1531160353929,5741234,0.00108800,35.20000000,1
1531160353933,1531160353929,5741235,0.00108700,60.87000000,1
1531160353933,1531160353929,5741236,0.00108600,27.44000000,1
1531160361298,1531160361295,5741237,0.00108600,9.12000000,1
1531160363761,1531160363758,5741238,0.00108900,108.00000000,0
1531160363761,1531160363758,5741239,0.00109100,341.34000000,0
1531160372854,1531160372850,5741240,0.00109000,2.00000000,1
1531160372864,1531160372864,5741241,0.00109000,1.00000000,1
1531160372870,1531160372865,5741242,0.00109000,1.00000000,1
1531160373748,1531160373743,5741243,0.00109000,1.00000000,1
1531160373817,1531160373813,5741244,0.00108700,7.64000000,1
1531160373817,1531160373813,5741245,0.00108600,40.82000000,1
1531160373830,1531160373827,5741246,0.00108600,141.42000000,0
1531160374004,1531160374000,5741247,0.00108600,14.75000000,0
1531160374140,1531160374140,5741248,0.00108600,14.74000000,0
1531160375123,1531160375120,5741249,0.00108600,14.74000000,0
1531160375139,1531160375138,5741250,0.00108600,6.53000000,0
1531160375150,1531160375148,5741251,0.00108600,1.00000000,0
1531160375370,1531160375366,5741252,0.00108500,4.55000000,1
1531160375391,1531160375388,5741253,0.00108600,14.74000000,0
1531160375571,1531160375568,5741254,0.00108600,25.03000000,0
1531160375860,1531160375857,5741255,0.00108600,48.00000000,0
1531160376954,1531160376949,5741256,0.00108600,2.42000000,0
1531160377613,1531160377609,5741257,0.00108600,1.04000000,0
1531160377877,1531160377875,5741258,0.00108600,5.81000000,0
1531160379399,1531160379400,5741259,0.00108600,21.19000000,0
1531160380346,1531160380341,5741260,0.00108600,25.03000000,0
1531160380871,1531160380868,5741261,0.00108600,7.79000000,0
1531160383120,1531160383118,5741262,0.00108800,7.63000000,0
1531160383120,1531160383118,5741263,0.00109100,350.51000000,0
1531160383120,1531160383118,5741264,0.00109200,103.41000000,0
1531160383802,1531160383799,5741265,0.00109200,6.22000000,0
1531160399108,1531160399105,5741266,0.00108800,107.63000000,1
1531160402822,1531160402820,5741267,0.00108800,5.47000000,0
1531160406794,1531160406791,5741268,0.00109000,62.44000000,0
1531160410758,1531160410755,5741269,0.00108800,4.58000000,1
1531160413647,1531160413644,5741270,0.00108800,46.55000000,1
1531160418193,1531160418187,5741271,0.00109100,7.61000000,0
1531160418193,1531160418187,5741272,0.00109300,51.13000000,0
1531160418193,1531160418187,5741273,0.00109400,100.60000000,0
1531160418193,1531160418187,5741274,0.00109500,109.13000000,0
