event_time,trade_time,trade_id,price,quantity,maker
1531160516292,1531160516289,4024273,0.00000276,7907.00000000,1
1531160527603,1531160527599,4024274,0.00000276,3699.00000000,1
1531160580082,1531160580077,4024275,0.00000276,4179.00000000,1
1531160593578,1531160593574,4024276,0.00000276,1106.00000000,1
1531160596756,1531160596752,4024277,0.00000276,2536.00000000,0
1531160623243,1531160623239,4024278,0.00000276,10869.00000000,0
1531160688511,1531160688507,4024279,0.00000276,15000.00000000,0
1531160693520,1531160693517,4024280,0.00000276,13749.00000000,0
1531160693573,1531160693567,4024281,0.00000276,4999.00000000,1
1531160698023,1531160698019,4024282,0.00000277,4999.00000000,0
1531160702924,1531160702920,4024283,0.00000276,2354.00000000,1
1531160725698,1531160725695,4024284,0.00000276,7761.00000000,1
1531160725698,1531160725695,4024285,0.00000275,22222.00000000,1
1531160726794,1531160726789,4024286,0.00000275,5000.00000000,1
1531160728853,1531160728849,4024287,0.00000275,2914.00000000,1
1531160751538,1531160751534,4024288,0.00000275,3506.00000000,1
1531160751538,1531160751534,4024289,0.00000274,82389.00000000,1
1531160752573,1531160752569,4024290,0.00000275,2277.00000000,1
1531160820518,1531160820514,4024291,0.00000275,1032.00000000,1
1531160863759,1531160863756,4024292,0.00000276,1811.00000000,0
1531160890251,1531160890247,4024293,0.00000276,724.00000000,0
1531160976502,1531160976497,4024294,0.00000276,474.00000000,0
1531161058635,1531161058634,4024295,0.00000276,5869.00000000,1
1531161083886,1531161083883,4024296,0.00000276,398.00000000,0
1531161119514,1531161119513,4024297,0.00000276,3623.00000000,0
1531161147396,1531161147391,4024298,0.00000276,27587.00000000,0
1531161194676,1531161194673,4024299,0.00000276,693.00000000,0
1531161251404,1531161251400,4024300,0.00000276,12654.00000000,0
1531161251404,1531161251400,4024301,0.00000277,1076.00000000,0
1531161273948,1531161273944,4024302,0.00000275,1253.00000000,1
1531161355186,1531161355181,4024303,0.00000275,18520.00000000,1
1531161358689,1531161358685,4024304,0.00000275,1475.00000000,1
1531161359461,1531161359457,4024305,0.00000275,5674.00000000,0
1531161429973,1531161429969,4024306,0.00000275,5674.00000000,0
1531161437481,1531161437475,4024307,0.00000275,3916.00000000,1
1531161438509,1531161438504,4024308,0.00000275,2.00000000,0
1531161438509,1531161438504,4024309,0.00000276,3193.00000000,0
1531161452931,1531161452927,4024310,0.00000275,3020.00000000,0
1531161485289,1531161485283,4024311,0.00000276,508.00000000,0
1531161519168,1531161519166,4024312,0.00000275,650.00000000,1
1531161616934,1531161616930,4024313,0.00000275,534.00000000,1
1531161655260,1531161655256,4024314,0.00000275,5501.00000000,1
1531161679312,1531161679307,4024315,0.00000276,69871.00000000,0
