event_time,trade_time,trade_id,price,quantity,maker
1531160442579,1531160442555,2641146,0.00000284,3660.00000000,1
1531160442579,1531160442555,2641147,0.00000283,112744.00000000,1
1531160442579,1531160442555,2641148,0.00000282,305045.00000000,1
1531160442579,1531160442555,2641149,0.00000281,120867.00000000,1
1531160442579,1531160442555,2641150,0.00000280,186090.00000000,1
1531160442579,1531160442555,2641151,0.00000280,1600.00000000,1
1531160442579,1531160442555,2641152,0.00000280,15984.00000000,1
1531160442579,1531160442555,2641153,0.00000280,13387.00000000,1
1531160442580,1531160442555,2641154,0.00000280,10884.00000000,1
1531160442581,1531160442555,2641155,0.00000280,33171.00000000,1
1531160442582,1531160442555,2641156,0.00000280,8000.00000000,1
1531160442583,1531160442555,2641157,0.00000280,7895.00000000,1
1531160442583,1531160442555,2641158,0.00000279,138011.00000000,1
1531160442583,1531160442555,2641159,0.00000279,87396.00000000,1
1531160442584,1531160442555,2641160,0.00000279,16949.00000000,1
1531160442584,1531160442555,2641161,0.00000279,94258.00000000,1
1531160442584,1531160442555,2641162,0.00000279,2490.00000000,1
1531160442585,1531160442555,2641163,0.00000279,612.00000000,1
1531160442585,1531160442555,2641164,0.00000279,173744.00000000,1
1531160442595,1531160442593,2641165,0.00000280,17487.00000000,0
1531160442597,1531160442593,2641166,0.00000280,7176.00000000,0
1531160442603,1531160442599,2641167,0.00000280,17487.00000000,0
1531160442613,1531160442609,2641168,0.00000280,2678.00000000,0
1531160442616,1531160442614,2641169,0.00000280,8888.00000000,0
1531160442616,1531160442614,2641170,0.00000281,8609.00000000,0
1531160442622,1531160442618,2641171,0.00000281,17497.00000000,0
1531160442664,1531160442660,2641172,0.00000281,3558.00000000,0
1531160442688,1531160442684,2641173,0.00000281,12510.00000000,0
1531160442696,1531160442692,2641174,0.00000281,7084.00000000,0
1531160442697,1531160442695,2641175,0.00000281,25157.00000000,0
1531160442698,1531160442695,2641176,0.00000281,810.00000000,0
1531160442699,1531160442695,2641177,0.00000281,14179.00000000,0
1531160443249,1531160443246,2641178,0.00000283,441.00000000,0
1531160443301,1531160443297,2641179,0.00000283,124.00000000,1
1531160443625,1531160443619,2641180,0.00000281,17487.00000000,1
1531160443743,1531160443738,2641181,0.00000281,15932.00000000,1
1531160443816,1531160443815,2641182,0.00000281,425.00000000,1
1531160443966,1531160443963,2641183,0.00000282,618.00000000,0
1531160444053,1531160444049,2641184,0.00000281,2253.00000000,1
1531160444604,1531160444601,2641185,0.00000281,1154.00000000,1
1531160444623,1531160444623,2641186,0.00000281,2404.00000000,0
1531160445178,1531160445173,2641187,0.00000280,201.00000000,1
1531160445762,1531160445758,2641188,0.00000280,201.00000000,1
1531160446302,1531160446298,2641189,0.00000282,6057.00000000,0
1531160446435,1531160446433,2641190,0.00000281,1303.00000000,0
1531160446443,1531160446441,2641191,0.00000281,880.00000000,0
1531160446463,1531160446459,2641192,0.00000281,1303.00000000,0
1531160446480,1531160446476,2641193,0.00000281,14573.00000000,0
1531160446698,1531160446694,2641194,0.00000281,26.00000000,0
1531160446698,1531160446694,2641195,0.00000282,1885.00000000,0
1531160447028,1531160447026,2641196,0.00000282,2117.00000000,0
1531160447437,1531160447434,2641197,0.00000281,709.00000000,1
1531160447468,1531160447465,2641198,0.00000281,1971.00000000,0
1531160447470,1531160447467,2641199,0.00000282,5.00000000,0
1531160448555,1531160448551,2641200,0.00000280,6075.00000000,1
1531160449559,1531160449556,2641201,0.00000281,497.00000000,1
1531160450815,1531160450812,2641202,0.00000281,2107.00000000,0
1531160450896,1531160450894,2641203,0.00000281,12745.00000000,0
1531160451352,1531160451349,2641204,0.00000281,59.00000000,0
1531160451582,1531160451578,2641205,0.00000281,32.00000000,0
1531160451591,1531160451588,2641206,0.00000281,4832.00000000,0
1531160451662,1531160451658,2641207,0.00000281,8258.00000000,0
1531160455142,1531160455139,2641208,0.00000282,2500.00000000,0
1531160471017,1531160471013,2641209,0.00000282,10638.00000000,0
1531160473741,1531160473737,2641210,0.00000281,2.00000000,1
1531160474170,1531160474166,2641211,0.00000281,3.00000000,1
1531160485783,1531160485780,2641212,0.00000281,3448.00000000,1
1531160486185,1531160486183,2641213,0.00000281,3378.00000000,1
1531160491419,1531160491416,2641214,0.00000282,355.00000000,0
1531160498583,1531160498579,2641215,0.00000280,1523.00000000,1
1531160500618,1531160500617,2641216,0.00000280,1083.00000000,1
1531160500710,1531160500684,2641217,0.00000280,361.00000000,1
1531160501140,1531160501137,2641218,0.00000280,4690.00000000,1
1531160503220,1531160503217,2641219,0.00000280,1911.00000000,1
1531160503737,1531160503734,2641220,0.00000280,19493.00000000,1
1531160522514,1531160522511,2641221,0.00000280,361.00000000,1
1531160524740,1531160524738,2641222,0.00000280,2054.00000000,1
1531160543228,1531160543225,2641223,0.00000280,29139.00000000,1
1531160562353,1531160562349,2641224,0.00000280,361.00000000,1
1531160589694,1531160589690,2641225,0.00000280,544.00000000,1
1531160589865,1531160589862,2641226,0.00000280,1269.00000000,1
1531160590032,1531160590031,2641227,0.00000280,544.00000000,1
1531160590088,1531160590085,2641228,0.00000280,399.00000000,1
1531160590163,1531160590159,2641229,0.00000280,399.00000000,1
1531160590332,1531160590328,2641230,0.00000280,399.00000000,1
1531160632938,1531160632933,2641231,0.00000281,357.00000000,0
1531160635425,1531160635420,2641232,0.00000281,4473.00000000,0
1531160636978,1531160636975,2641233,0.00000281,3912.00000000,0
1531160652284,1531160652280,2641234,0.00000280,399.00000000,1
1531160668374,1531160668371,2641235,0.00000281,924.00000000,0
1531160671147,1531160671144,2641236,0.00000281,533.00000000,0
1531160681678,1531160681674,2641237,0.00000281,1944.00000000,0
1531160706059,1531160706055,2641238,0.00000281,1280.00000000,0
1531160711389,1531160711384,2641239,0.00000281,27416.00000000,0
1531160716518,1531160716514,2641240,0.00000281,1254.00000000,0
1531160717802,1531160717800,2641241,0.00000281,1234.00000000,0
1531160730596,1531160730593,2641242,0.00000280,3037.00000000,1
1531160792015,1531160792010,2641243,0.00000280,6916.00000000,1
1531160813390,1531160813387,2641244,0.00000281,50.00000000,0
1531160884225,1531160884222,2641245,0.00000281,355.00000000,0
1531160885383,1531160885380,2641246,0.00000281,44037.00000000,0
1531160885383,1531160885380,2641247,0.00000282,5963.00000000,0
1531160886160,1531160886157,2641248,0.00000282,50000.00000000,0
1531160890442,1531160890438,2641249,0.00000282,567.00000000,0
