event_time,trade_time,trade_id,price,quantity,maker
1531160283728,1531160283725,19347461,0.00000533,4973.00000000,1
1531160295236,1531160295232,19347462,0.00000533,12529.00000000,1
1531160320759,1531160320756,19347463,0.00000533,500.00000000,1
1531160351541,1531160351537,19347464,0.00000533,253.00000000,1
1531160354196,1531160354194,19347465,0.00000534,1.00000000,0
1531160367632,1531160367627,19347466,0.00000533,500.00000000,1
1531160371161,1531160371158,19347467,0.00000534,4000.00000000,0
1531160382394,1531160382392,19347468,0.00000534,10.00000000,0
1531160388013,1531160388011,19347469,0.00000534,205.00000000,0
1531160388615,1531160388613,19347470,0.00000534,455.00000000,0
1531160390680,1531160390677,19347471,0.00000534,20000.00000000,0
1531160404303,1531160404299,19347472,0.00000534,1651.00000000,0
1531160412241,1531160412237,19347473,0.00000534,10030.00000000,0
1531160412513,1531160412510,19347474,0.00000534,31418.00000000,0
1531160428939,1531160428936,19347475,0.00000534,4931.00000000,0
1531160429762,1531160429758,19347476,0.00000533,12764.00000000,1
1531160430710,1531160430705,19347477,0.00000534,20000.00000000,0
1531160432375,1531160432371,19347478,0.00000533,1.00000000,0
1531160432680,1531160432675,19347479,0.00000532,35643.00000000,1
1531160433325,1531160433321,19347480,0.00000533,1438.00000000,0
1531160437477,1531160437474,19347481,0.00000532,39280.00000000,1
1531160437502,1531160437497,19347482,0.00000533,13440.00000000,0
1531160437765,1531160437761,19347483,0.00000533,1439.00000000,1
1531160447130,1531160447127,19347484,0.00000532,50432.00000000,1
1531160447154,1531160447150,19347485,0.00000533,26826.00000000,0
1531160449082,1531160449079,19347486,0.00000533,27534.00000000,0
1531160450817,1531160450814,19347487,0.00000533,500.00000000,0
1531160454411,1531160454407,19347488,0.00000532,42229.00000000,1
1531160454429,1531160454426,19347489,0.00000533,39339.00000000,0
1531160462459,1531160462455,19347490,0.00000533,1000.00000000,1
1531160462481,1531160462478,19347491,0.00000532,42229.00000000,1
1531160468131,1531160468128,19347492,0.00000533,25852.00000000,1
1531160468277,1531160468273,19347493,0.00000533,30694.00000000,1
1531160468297,1531160468292,19347494,0.00000533,20258.00000000,0
1531160468315,1531160468312,19347495,0.00000533,30694.00000000,1
1531160471798,1531160471796,19347496,0.00000533,3638.00000000,1
1531160471832,1531160471829,19347497,0.00000533,3116.00000000,1
1531160478979,1531160478978,19347498,0.00000533,16693.00000000,1
1531160479011,1531160479008,19347499,0.00000533,500.00000000,1
1531160482742,1531160482738,19347500,0.00000534,10000.00000000,0
1531160486039,1531160486036,19347501,0.00000533,44656.00000000,1
1531160486600,1531160486597,19347502,0.00000533,15000.00000000,1
1531160488839,1531160488834,19347503,0.00000533,3794.00000000,1
1531160495775,1531160495772,19347504,0.00000533,35588.00000000,1
1531160499606,1531160499601,19347505,0.00000532,31267.00000000,1
1531160501254,1531160501251,19347506,0.00000532,2573.00000000,1
1531160504959,1531160504955,19347507,0.00000532,2272.00000000,1
1531160504980,1531160504978,19347508,0.00000533,963.00000000,0
1531160513858,1531160513854,19347509,0.00000532,19283.00000000,1
1531160513879,1531160513876,19347510,0.00000533,13774.00000000,0
1531160515790,1531160515786,19347511,0.00000533,1000.00000000,1
1531160521433,1531160521431,19347512,0.00000532,684.00000000,1
1531160522112,1531160522109,19347513,0.00000532,44739.00000000,1
1531160522128,1531160522125,19347514,0.00000532,3741.00000000,0
1531160522701,1531160522698,19347515,0.00000532,51480.00000000,1
1531160522720,1531160522716,19347516,0.00000532,19570.00000000,0
1531160522732,1531160522728,19347517,0.00000533,35525.00000000,0
1531160533775,1531160533772,19347518,0.00000533,1000.00000000,1
1531160534174,1531160534169,19347519,0.00000533,54907.00000000,0
1531160535775,1531160535772,19347520,0.00000533,3402.00000000,1
1531160536784,1531160536780,19347521,0.00000533,3482.00000000,1
1531160536817,1531160536812,19347522,0.00000533,9774.00000000,1
1531160536846,1531160536844,19347523,0.00000533,23271.00000000,1
1531160536870,1531160536866,19347524,0.00000533,4610.00000000,1
1531160537993,1531160537990,19347525,0.00000532,11230.00000000,1
1531160538623,1531160538621,19347526,0.00000532,4994.00000000,0
1531160538636,1531160538631,19347527,0.00000532,4675.00000000,0
1531160538978,1531160538974,19347528,0.00000532,1997.00000000,1
1531160538978,1531160538974,19347529,0.00000532,1997.00000000,1
1531160538983,1531160538980,19347530,0.00000532,1997.00000000,1
1531160539988,1531160539984,19347531,0.00000532,17359.00000000,1
1531160541015,1531160541011,19347532,0.00000532,1359.00000000,0
1531160541082,1531160541081,19347533,0.00000532,2246.00000000,0
1531160541082,1531160541081,19347534,0.00000532,2247.00000000,0
1531160541085,1531160541081,19347535,0.00000532,2243.00000000,0
1531160543801,1531160543798,19347536,0.00000531,41691.00000000,1
1531160543836,1531160543833,19347537,0.00000532,4674.00000000,0
1531160544983,1531160544980,19347538,0.00000532,4674.00000000,0
1531160550565,1531160550562,19347539,0.00000533,737.00000000,0
1531160552024,1531160552024,19347540,0.00000532,1696.00000000,1
1531160553795,1531160553791,19347541,0.00000532,5991.00000000,0
1531160556228,1531160556225,19347542,0.00000533,1000.00000000,1
1531160556335,1531160556332,19347543,0.00000532,1761.00000000,1
1531160556352,1531160556348,19347544,0.00000532,1469.00000000,0
1531160556352,1531160556348,19347545,0.00000533,51599.00000000,0
1531160557502,1531160557501,19347546,0.00000532,283.00000000,0
