event_time,trade_time,trade_id,price,quantity,maker
1531160349691,1531160349686,2171117,0.00001255,730.00000000,1
1531160349774,1531160349772,2171118,0.00001255,829.00000000,0
1531160349778,1531160349775,2171119,0.00001255,451.00000000,0
1531160355709,1531160355705,2171120,0.00001254,808.00000000,1
1531160356048,1531160356048,2171121,0.00001254,2502.00000000,0
1531160361691,1531160361688,2171122,0.00001254,134.00000000,0
1531160363433,1531160363429,2171123,0.00001253,99.00000000,1
1531160412844,1531160412841,2171124,0.00001254,387.00000000,0
1531160434008,1531160434007,2171125,0.00001253,3932.00000000,1
1531160449090,1531160449090,2171126,0.00001253,344.00000000,1
1531160450102,1531160450098,2171127,0.00001253,170.00000000,1
1531160452103,1531160452100,2171128,0.00001253,86.00000000,1
1531160479319,1531160479316,2171129,0.00001252,722.00000000,1
1531160479684,1531160479680,2171130,0.00001254,80.00000000,0
1531160501696,1531160501694,2171131,0.00001253,163.00000000,1
1531160509357,1531160509353,2171132,0.00001253,39.00000000,0
1531160509357,1531160509353,2171133,0.00001254,644.00000000,0
1531160565028,1531160565025,2171134,0.00001253,364.00000000,1
1531160605107,1531160605105,2171135,0.00001253,880.00000000,0
1531160620505,1531160620501,2171136,0.00001253,685.00000000,0
1531160620668,1531160620664,2171137,0.00001253,435.00000000,0
1531160632603,1531160632599,2171138,0.00001253,157.00000000,0
1531160638788,1531160638785,2171139,0.00001253,315.00000000,0
1531160640343,1531160640340,2171140,0.00001253,157.00000000,0
1531160650423,1531160650419,2171141,0.00001253,2533.00000000,0
1531160652624,1531160652620,2171142,0.00001252,685.00000000,1
1531160666690,1531160666686,2171143,0.00001253,685.00000000,0
1531160667007,1531160667003,2171144,0.00001253,4017.00000000,0
1531160670013,1531160670009,2171145,0.00001254,8867.00000000,0
1531160672004,1531160672002,2171146,0.00001254,2268.00000000,0
1531160673995,1531160673991,2171147,0.00001254,5465.00000000,0
1531160674701,1531160674698,2171148,0.00001254,157.00000000,0
1531160675164,1531160675161,2171149,0.00001254,410.00000000,0
1531160677004,1531160677000,2171150,0.00001254,283.00000000,0
1531160677631,1531160677627,2171151,0.00001253,685.00000000,1
1531160678850,1531160678846,2171152,0.00001254,142.00000000,0
1531160682148,1531160682144,2171153,0.00001254,630.00000000,0
1531160685211,1531160685208,2171154,0.00001255,303.00000000,0
1531160778728,1531160778725,2171155,0.00001253,859.00000000,1
1531160779874,1531160779873,2171156,0.00001254,1544.00000000,0
1531160800026,1531160800022,2171157,0.00001255,4331.00000000,0
1531160801070,1531160801066,2171158,0.00001255,684.00000000,1
1531160801070,1531160801066,2171159,0.00001254,1303.00000000,1
1531160802171,1531160802169,2171160,0.00001255,451.00000000,0
1531160804010,1531160804008,2171161,0.00001255,4331.00000000,0
1531160817992,1531160817989,2171162,0.00001255,684.00000000,1
1531160824330,1531160824326,2171163,0.00001256,120.00000000,0
1531160839801,1531160839798,2171164,0.00001256,6047.00000000,0
1531160841078,1531160841074,2171165,0.00001257,4331.00000000,1
1531160844997,1531160844994,2171166,0.00001257,546.00000000,1
1531160844997,1531160844994,2171167,0.00001256,3785.00000000,1
1531160847890,1531160847886,2171168,0.00001257,4331.00000000,1
1531160851209,1531160851205,2171169,0.00001257,4331.00000000,1
1531160853875,1531160853871,2171170,0.00001257,2514.00000000,1
1531160855160,1531160855156,2171171,0.00001256,3263.00000000,1
1531160855191,1531160855187,2171172,0.00001255,4331.00000000,1
1531160856881,1531160856879,2171173,0.00001256,4331.00000000,1
1531160858171,1531160858168,2171174,0.00001256,618.00000000,1
1531160860439,1531160860436,2171175,0.00001256,462.00000000,1
1531160860751,1531160860748,2171176,0.00001256,682.00000000,0
1531160862175,1531160862172,2171177,0.00001255,4331.00000000,1
1531160862203,1531160862200,2171178,0.00001255,696.00000000,1
1531160868893,1531160868889,2171179,0.00001255,4506.00000000,1
1531160873026,1531160873022,2171180,0.00001255,4461.00000000,1
1531160875871,1531160875867,2171181,0.00001255,4429.00000000,1
1531160878806,1531160878804,2171182,0.00001254,4331.00000000,0
1531160882184,1531160882179,2171183,0.00001254,978.00000000,0
1531160901422,1531160901419,2171184,0.00001254,7715.00000000,1
1531160904414,1531160904410,2171185,0.00001253,2389.00000000,0
1531160904414,1531160904410,2171186,0.00001254,1084.00000000,0
1531160907166,1531160907161,2171187,0.00001253,4702.00000000,0
1531160921032,1531160921027,2171188,0.00001253,369.00000000,0
1531160944997,1531160944994,2171189,0.00001252,682.00000000,1
1531160952911,1531160952909,2171190,0.00001253,500.00000000,0
1531160955087,1531160955083,2171191,0.00001253,682.00000000,0
1531160959161,1531160959156,2171192,0.00001253,127.00000000,0
1531160966375,1531160966371,2171193,0.00001253,119.00000000,0
1531160982941,1531160982938,2171194,0.00001253,95.00000000,0
1531161102916,1531161102914,2171195,0.00001252,682.00000000,1
1531161110823,1531161110819,2171196,0.00001253,1061.00000000,0
1531161130728,1531161130725,2171197,0.00001253,451.00000000,0
1531161273986,1531161273982,2171198,0.00001253,500.00000000,0
1531161278638,1531161278633,2171199,0.00001253,91.00000000,0
1531161278888,1531161278884,2171200,0.00001253,5404.00000000,0
1531161279897,1531161279892,2171201,0.00001253,588.00000000,0
1531161281044,1531161281040,2171202,0.00001253,294.00000000,0
1531161281884,1531161281880,2171203,0.00001254,4331.00000000,0
1531161282885,1531161282884,2171204,0.00001255,809.00000000,0
1531161283046,1531161283042,2171205,0.00001260,64.00000000,0
1531161284880,1531161284875,2171206,0.00001257,661.00000000,0
1531161285394,1531161285393,2171207,0.00001256,4331.00000000,1
1531161286201,1531161286197,2171208,0.00001256,1055.00000000,1
1531161329029,1531161329024,2171209,0.00001256,4296.00000000,1
1531161336196,1531161336194,2171210,0.00001257,5978.00000000,0
1531161339484,1531161339481,2171211,0.00001258,512.00000000,1
1531161340067,1531161340065,2171212,0.00001258,2705.00000000,1
1531161340067,1531161340065,2171213,0.00001257,498.00000000,1
1531161340189,1531161340186,2171214,0.00001257,1128.00000000,0
1531161347202,1531161347197,2171215,0.00001258,7985.00000000,0
1531161349203,1531161349201,2171216,0.00001258,4331.00000000,0
1531161353039,1531161353036,2171217,0.00001258,6267.00000000,0
1531161356903,1531161356900,2171218,0.00001259,7235.00000000,0
1531161358208,1531161358203,2171219,0.00001259,1452.00000000,0
1531161360049,1531161360045,2171220,0.00001259,726.00000000,0
1531161361039,1531161361035,2171221,0.00001260,1001.00000000,0
1531161361192,1531161361188,2171222,0.00001259,363.00000000,0
1531161361566,1531161361561,2171223,0.00001259,3471.00000000,1
1531161363035,1531161363030,2171224,0.00001259,4513.00000000,0
1531161364033,1531161364029,2171225,0.00001260,3471.00000000,0
1531161365888,1531161365885,2171226,0.00001259,3765.00000000,0
1531161366890,1531161366887,2171227,0.00001260,4331.00000000,0
1531161367550,1531161367547,2171228,0.00001260,91.00000000,0
1531161367973,1531161367970,2171229,0.00001260,4331.00000000,1
1531161367989,1531161367987,2171230,0.00001260,1176.00000000,1
1531161367993,1531161367988,2171231,0.00001259,2076.00000000,1
1531161368054,1531161368049,2171232,0.00001260,900.00000000,0
1531161368054,1531161368049,2171233,0.00001261,23952.00000000,0
1531161368202,1531161368198,2171234,0.00001260,900.00000000,0
1531161368229,1531161368226,2171235,0.00001260,900.00000000,0
1531161368261,1531161368258,2171236,0.00001260,276.00000000,0
1531161368261,1531161368258,2171237,0.00001261,624.00000000,0
1531161368285,1531161368283,2171238,0.00001261,276.00000000,0
1531161368398,1531161368395,2171239,0.00001259,380.00000000,1
1531161369156,1531161369151,2171240,0.00001260,451.00000000,0
1531161369204,1531161369200,2171241,0.00001261,896.00000000,0
1531161369233,1531161369229,2171242,0.00001261,896.00000000,0
1531161369241,1531161369237,2171243,0.00001261,896.00000000,0
1531161369254,1531161369249,2171244,0.00001261,156.00000000,0
1531161369254,1531161369249,2171245,0.00001262,740.00000000,0
1531161369277,1531161369274,2171246,0.00001262,156.00000000,0
1531161370900,1531161370896,2171247,0.00001263,1648.00000000,0
1531161371494,1531161371491,2171248,0.00001263,499.00000000,1
1531161372153,1531161372151,2171249,0.00001263,3765.00000000,1
1531161372194,1531161372189,2171250,0.00001261,566.00000000,0
1531161372248,1531161372245,2171251,0.00001264,1156.00000000,0
1531161373604,1531161373601,2171252,0.00001263,1577.00000000,0
1531161373699,1531161373695,2171253,0.00001263,1129.00000000,0
1531161375043,1531161375039,2171254,0.00001263,1353.00000000,0
1531161375898,1531161375894,2171255,0.00001263,5008.00000000,0
1531161377900,1531161377896,2171256,0.00001263,2794.00000000,0
1531161380028,1531161380022,2171257,0.00001264,4500.00000000,0
1531161380824,1531161380820,2171258,0.00001263,3774.00000000,1
1531161380900,1531161380896,2171259,0.00001264,85.00000000,0
1531161381892,1531161381887,2171260,0.00001265,1056.00000000,0
1531161383884,1531161383880,2171261,0.00001264,5032.00000000,0
1531161385093,1531161385088,2171262,0.00001266,198.00000000,0
1531161385093,1531161385088,2171263,0.00001267,183.00000000,0
1531161387044,1531161387040,2171264,0.00001265,351.00000000,0
1531161388015,1531161388010,2171265,0.00001265,588.00000000,1
1531161389132,1531161389128,2171266,0.00001267,337.00000000,0
1531161390164,1531161390159,2171267,0.00001268,661.00000000,0
1531161390203,1531161390199,2171268,0.00001268,12296.00000000,1
1531161395185,1531161395182,2171269,0.00001267,88.00000000,0
1531161395296,1531161395291,2171270,0.00001267,473.00000000,1
1531161396204,1531161396199,2171271,0.00001268,5111.00000000,1
1531161396239,1531161396239,2171272,0.00001267,740.00000000,1
1531161424485,1531161424482,2171273,0.00001268,119.00000000,0
1531161426733,1531161426728,2171274,0.00001268,5210.00000000,0
1531161448210,1531161448206,2171275,0.00001268,2327.00000000,0
1531161448233,1531161448228,2171276,0.00001269,302.00000000,0
1531161450202,1531161450198,2171277,0.00001269,650.00000000,0
1531161451286,1531161451283,2171278,0.00001267,12957.00000000,1
1531161452206,1531161452206,2171279,0.00001269,325.00000000,0
1531161455928,1531161455919,2171280,0.00001269,4331.00000000,1
1531161482306,1531161482302,2171281,0.00001269,285.00000000,1
1531161484515,1531161484511,2171282,0.00001270,2850.00000000,0
1531161512395,1531161512389,2171283,0.00001270,6242.00000000,0
1531161512501,1531161512498,2171284,0.00001270,382.00000000,1
1531161512695,1531161512690,2171285,0.00001271,1808.00000000,1
1531161513446,1531161513441,2171286,0.00001271,382.00000000,1
1531161514674,1531161514669,2171287,0.00001271,824.00000000,1
1531161541206,1531161541200,2171288,0.00001272,2795.00000000,0
1531161542205,1531161542204,2171289,0.00001272,1412.00000000,0
1531161544204,1531161544200,2171290,0.00001272,706.00000000,0
1531161545211,1531161545208,2171291,0.00001272,353.00000000,0
1531161547206,1531161547200,2171292,0.00001272,176.00000000,0
1531161548206,1531161548201,2171293,0.00001272,88.00000000,0
1531161573805,1531161573801,2171294,0.00001273,1692.00000000,0
1531161573857,1531161573851,2171295,0.00001273,187.00000000,1
1531161580895,1531161580893,2171296,0.00001274,285.00000000,0
1531161581470,1531161581465,2171297,0.00001275,3487.00000000,0
1531161581568,1531161581563,2171298,0.00001275,203.00000000,1
1531161581568,1531161581563,2171299,0.00001274,178.00000000,1
1531161583568,1531161583564,2171300,0.00001274,262.00000000,1
1531161595968,1531161595963,2171301,0.00001274,250.00000000,1
1531161598457,1531161598453,2171302,0.00001274,51.00000000,1
1531161602218,1531161602213,2171303,0.00001275,80.00000000,0
1531161611364,1531161611361,2171304,0.00001275,1181.00000000,0
1531161612270,1531161612266,2171305,0.00001275,325.00000000,0
1531161612270,1531161612266,2171306,0.00001276,69.00000000,0
1531161613883,1531161613878,2171307,0.00001275,1026.00000000,1
1531161614215,1531161614213,2171308,0.00001275,1026.00000000,1
1531161614569,1531161614566,2171309,0.00001275,193.00000000,1
1531161614658,1531161614653,2171310,0.00001275,1026.00000000,1
