event_time,trade_time,trade_id,price,quantity,maker
1531160332522,1531160332519,1396558,0.00003412,184.00000000,1
1531160359167,1531160359163,1396559,0.00003414,292.00000000,0
1531160385893,1531160385890,1396560,0.00003413,2973.00000000,0
1531160385905,1531160385905,1396561,0.00003412,1459.00000000,1
1531160385926,1531160385923,1396562,0.00003412,1293.00000000,1
1531160420317,1531160420314,1396563,0.00003413,3157.00000000,0
1531160420331,1531160420328,1396564,0.00003412,1224.00000000,1
1531160464437,1531160464434,1396565,0.00003413,535.00000000,0
1531160464451,1531160464446,1396566,0.00003412,229.00000000,1
1531160481846,1531160481842,1396567,0.00003413,1758.00000000,0
1531160481858,1531160481855,1396568,0.00003412,1001.00000000,1
1531160481879,1531160481875,1396569,0.00003412,916.00000000,1
1531160542072,1531160542069,1396570,0.00003414,292.00000000,0
1531160545474,1531160545471,1396571,0.00003413,1068.00000000,0
1531160545491,1531160545488,1396572,0.00003412,490.00000000,1
1531160564501,1531160564498,1396573,0.00003413,3497.00000000,0
1531160564515,1531160564512,1396574,0.00003412,41.00000000,1
1531160564533,1531160564530,1396575,0.00003412,1206.00000000,1
1531160584965,1531160584962,1396576,0.00003413,735.00000000,0
1531160584981,1531160584979,1396577,0.00003412,981.00000000,1
1531160585002,1531160584998,1396578,0.00003412,299.00000000,1
1531160608817,1531160608816,1396579,0.00003412,212.00000000,1
1531160627106,1531160627101,1396580,0.00003410,798.00000000,0
1531160627114,1531160627110,1396581,0.00003407,753.00000000,1
1531160650285,1531160650282,1396582,0.00003406,190.00000000,1
1531160667915,1531160667911,1396583,0.00003407,1363.00000000,1
1531160667931,1531160667928,1396584,0.00003407,731.00000000,1
1531160725379,1531160725374,1396585,0.00003410,1884.00000000,0
1531160725389,1531160725386,1396586,0.00003407,785.00000000,1
1531160744037,1531160744032,1396587,0.00003410,2790.00000000,0
1531160744056,1531160744052,1396588,0.00003407,1057.00000000,1
1531160764815,1531160764813,1396589,0.00003410,4392.00000000,0
1531160764827,1531160764822,1396590,0.00003407,467.00000000,1
1531160764842,1531160764839,1396591,0.00003407,1474.00000000,1
1531160798225,1531160798222,1396592,0.00003407,867.00000000,1
1531160798245,1531160798244,1396593,0.00003407,612.00000000,1
1531160844412,1531160844409,1396594,0.00003407,715.00000000,1
1531160885072,1531160885067,1396595,0.00003407,90.00000000,1
1531160906568,1531160906563,1396596,0.00003407,1037.00000000,1
1531160916179,1531160916175,1396597,0.00003410,2851.00000000,0
1531160916188,1531160916184,1396598,0.00003407,957.00000000,1
1531160916210,1531160916207,1396599,0.00003407,1188.00000000,1
1531160943652,1531160943649,1396600,0.00003407,620.00000000,1
1531160943673,1531160943669,1396601,0.00003407,561.00000000,1
1531160956083,1531160956079,1396602,0.00003410,149.00000000,0
1531160956102,1531160956099,1396603,0.00003407,89.00000000,1
1531160985690,1531160985684,1396604,0.00003410,346.00000000,0
1531160985699,1531160985696,1396605,0.00003407,141.00000000,1
1531161015145,1531161015125,1396606,0.00003410,2287.00000000,0
1531161015145,1531161015133,1396607,0.00003407,1230.00000000,1
1531161064859,1531161064856,1396608,0.00003407,92.00000000,1
1531161069967,1531161069962,1396609,0.00003406,502.00000000,1
1531161069967,1531161069962,1396610,0.00003402,244.00000000,1
1531161069967,1531161069962,1396611,0.00003398,30.00000000,1
1531161069967,1531161069962,1396612,0.00003392,30.00000000,1
1531161069967,1531161069962,1396613,0.00003388,498.00000000,1
1531161069967,1531161069962,1396614,0.00003385,2836.00000000,1
1531161069967,1531161069962,1396615,0.00003384,30.00000000,1
1531161069967,1531161069962,1396616,0.00003377,300.00000000,1
1531161069980,1531161069976,1396617,0.00003377,1055.00000000,0
1531161069993,1531161069991,1396618,0.00003380,50.00000000,0
1531161099478,1531161099475,1396619,0.00003397,957.00000000,0
1531161099492,1531161099489,1396620,0.00003392,618.00000000,1
1531161099512,1531161099509,1396621,0.00003392,825.00000000,1
1531161145255,1531161145252,1396622,0.00003392,576.00000000,1
1531161158256,1531161158251,1396623,0.00003397,3318.00000000,0
1531161158273,1531161158268,1396624,0.00003392,1338.00000000,1
1531161184195,1531161184192,1396625,0.00003392,1183.00000000,1
1531161194831,1531161194828,1396626,0.00003392,252.00000000,1
1531161194849,1531161194845,1396627,0.00003392,1199.00000000,1
1531161206706,1531161206702,1396628,0.00003392,1015.00000000,1
1531161244908,1531161244905,1396629,0.00003392,751.00000000,1
1531161268092,1531161268088,1396630,0.00003397,629.00000000,0
1531161268108,1531161268104,1396631,0.00003392,269.00000000,1
1531161286532,1531161286526,1396632,0.00003392,332.00000000,1
1531161298788,1531161298784,1396633,0.00003397,2437.00000000,0
1531161298806,1531161298803,1396634,0.00003392,1118.00000000,1
1531161346426,1531161346422,1396635,0.00003397,3156.00000000,0
1531161346442,1531161346438,1396636,0.00003392,1123.00000000,1
1531161346454,1531161346451,1396637,0.00003392,1448.00000000,1
1531161375063,1531161375058,1396638,0.00003397,1548.00000000,0
1531161375084,1531161375079,1396639,0.00003392,1408.00000000,1
1531161425884,1531161425879,1396640,0.00003397,3180.00000000,0
1531161425904,1531161425899,1396641,0.00003392,1000.00000000,1
1531161425919,1531161425916,1396642,0.00003392,1214.00000000,1
1531161459423,1531161459419,1396643,0.00003396,2076.00000000,0
1531161459438,1531161459434,1396644,0.00003391,1012.00000000,1
1531161459459,1531161459455,1396645,0.00003391,1028.00000000,1
1531161506202,1531161506198,1396646,0.00003392,349.00000000,1
1531161506215,1531161506210,1396647,0.00003392,324.00000000,1
1531161525576,1531161525572,1396648,0.00003392,847.00000000,1
1531161525589,1531161525585,1396649,0.00003392,1395.00000000,1
1531161587004,1531161587000,1396650,0.00003396,1378.00000000,0
1531161587009,1531161587005,1396651,0.00003391,915.00000000,1
1531161587024,1531161587020,1396652,0.00003391,1168.00000000,1
1531161593776,1531161593772,1396653,0.00003396,176.00000000,0
1531161593789,1531161593784,1396654,0.00003391,732.00000000,1
1531161593805,1531161593800,1396655,0.00003391,119.00000000,1
1531161623609,1531161623605,1396656,0.00003392,616.00000000,1
1531161625454,1531161625316,1396657,0.00003392,164.00000000,1
1531161625477,1531161625465,1396658,0.00003392,477.00000000,0
1531161664730,1531161664726,1396659,0.00003392,1310.00000000,1
1531161664750,1531161664744,1396660,0.00003392,598.00000000,1
1531161697227,1531161697223,1396661,0.00003397,491.00000000,0
1531161697239,1531161697235,1396662,0.00003392,268.00000000,1
1531161697257,1531161697251,1396663,0.00003392,296.00000000,1
1531161745778,1531161745773,1396664,0.00003397,237.00000000,0
1531161745788,1531161745783,1396665,0.00003392,195.00000000,1
1531161789986,1531161789982,1396666,0.00003397,922.00000000,0
1531161790000,1531161789996,1396667,0.00003392,862.00000000,1
1531161790011,1531161790007,1396668,0.00003392,615.00000000,1
1531161806312,1531161806308,1396669,0.00003397,654.00000000,0
1531161806329,1531161806325,1396670,0.00003392,221.00000000,1
1531161825672,1531161825669,1396671,0.00003397,700.00000000,0
1531161825682,1531161825678,1396672,0.00003392,515.00000000,1
1531161865541,1531161865539,1396673,0.00003398,2382.00000000,0
1531161865557,1531161865553,1396674,0.00003394,641.00000000,1
1531161865577,1531161865572,1396675,0.00003394,1418.00000000,1
1531161888151,1531161888147,1396676,0.00003397,1252.00000000,0
1531161888170,1531161888167,1396677,0.00003397,687.00000000,1
1531161926668,1531161926663,1396678,0.00003397,1371.00000000,0
1531161926688,1531161926683,1396679,0.00003393,591.00000000,1
1531161953505,1531161953499,1396680,0.00003402,293.00000000,0
1531161972615,1531161972612,1396681,0.00003393,358.00000000,1
1531161972639,1531161972636,1396682,0.00003393,327.00000000,1
1531162024519,1531162024515,1396683,0.00003398,1386.00000000,0
1531162024535,1531162024531,1396684,0.00003395,550.00000000,1
1531162063838,1531162063834,1396685,0.00003395,406.00000000,1
1531162129882,1531162129877,1396686,0.00003402,222.00000000,0
1531162129890,1531162129888,1396687,0.00003402,2321.00000000,0
1531162152637,1531162152633,1396688,0.00003401,2050.00000000,0
1531162152651,1531162152647,1396689,0.00003399,1235.00000000,1
1531162185409,1531162185404,1396690,0.00003405,1225.00000000,1
1531162216181,1531162216176,1396691,0.00003407,490.00000000,1
1531162216199,1531162216195,1396692,0.00003407,1241.00000000,1
1531162245398,1531162245394,1396693,0.00003407,1092.00000000,1
1531162252941,1531162252937,1396694,0.00003407,1250.00000000,1
1531162252956,1531162252955,1396695,0.00003407,1163.00000000,0
1531162252974,1531162252969,1396696,0.00003407,269.00000000,1
1531162252991,1531162252986,1396697,0.00003407,981.00000000,1
1531162305573,1531162305569,1396698,0.00003407,1751.00000000,1
1531162305586,1531162305580,1396699,0.00003407,83.00000000,0
1531162305603,1531162305598,1396700,0.00003407,1023.00000000,1
1531162305620,1531162305616,1396701,0.00003407,728.00000000,1
1531162353524,1531162353519,1396702,0.00003408,254.00000000,0
1531162383809,1531162383804,1396703,0.00003409,1444.00000000,1
1531162393462,1531162393458,1396704,0.00003411,1280.00000000,0
1531162393544,1531162393540,1396705,0.00003409,1231.00000000,1
1531162435273,1531162435270,1396706,0.00003413,254.00000000,0
1531162435273,1531162435270,1396707,0.00003414,38.00000000,0
1531162445111,1531162445107,1396708,0.00003410,217.00000000,0
1531162445118,1531162445113,1396709,0.00003406,449.00000000,1
1531162445136,1531162445132,1396710,0.00003406,83.00000000,1
1531162465763,1531162465758,1396711,0.00003406,1020.00000000,1
1531162465780,1531162465770,1396712,0.00003406,270.00000000,1
1531162486575,1531162486570,1396713,0.00003410,336.00000000,0
1531162486594,1531162486590,1396714,0.00003406,1153.00000000,1
1531162486612,1531162486608,1396715,0.00003406,179.00000000,1
1531162494131,1531162494126,1396716,0.00003410,1550.00000000,0
1531162494146,1531162494141,1396717,0.00003406,1192.00000000,1
1531162494158,1531162494153,1396718,0.00003406,923.00000000,1
