event_time,trade_time,trade_id,price,quantity,maker
1531160313156,1531160313152,1331467,0.00000675,6961.00000000,1
1531160373993,1531160373990,1331468,0.00000675,136.00000000,0
1531160374331,1531160374328,1331469,0.00000677,363.00000000,0
1531160470216,1531160470215,1331470,0.00000677,323.00000000,0
1531160495591,1531160495588,1331471,0.00000676,1904.00000000,1
1531160502988,1531160502984,1331472,0.00000677,8215.00000000,0
1531160513711,1531160513707,1331473,0.00000678,967.00000000,0
1531160574447,1531160574443,1331474,0.00000678,1095.00000000,0
1531160671135,1531160671135,1331475,0.00000678,1702.00000000,1
1531160753215,1531160753211,1331476,0.00000678,2022.00000000,1
1531160883435,1531160883432,1331477,0.00000679,882.00000000,0
1531160908271,1531160908267,1331478,0.00000680,6915.00000000,0
1531160912528,1531160912525,1331479,0.00000681,618.00000000,0
1531160912621,1531160912618,1331480,0.00000681,1153.00000000,1
1531160946824,1531160946822,1331481,0.00000682,148.00000000,0
1531160958366,1531160958362,1331482,0.00000681,1327.00000000,1
1531160963185,1531160963181,1331483,0.00000680,160.00000000,1
1531161013224,1531161013224,1331484,0.00000681,161.00000000,1
1531161040232,1531161040228,1331485,0.00000681,162.00000000,1
1531161121149,1531161121146,1331486,0.00000681,3267.00000000,1
1531161204477,1531161204473,1331487,0.00000680,1831.00000000,1
1531161207167,1531161207163,1331488,0.00000681,160.00000000,1
1531161220560,1531161220556,1331489,0.00000681,455.00000000,1
1531161299618,1531161299612,1331490,0.00000682,2493.00000000,0
1531161419349,1531161419344,1331491,0.00000682,814.00000000,0
1531161419349,1531161419344,1331492,0.00000683,449.00000000,0
1531161505907,1531161505903,1331493,0.00000680,112.00000000,1
1531161531385,1531161531382,1331494,0.00000680,160.00000000,1
1531161669364,1531161669360,1331495,0.00000680,1000.00000000,1
1531162405307,1531162405301,1331496,0.00000683,3448.00000000,0
1531162405307,1531162405301,1331497,0.00000684,3383.00000000,0
1531162449992,1531162449988,1331498,0.00000683,148.00000000,0
1531162455163,1531162455159,1331499,0.00000683,320.00000000,0
1531162499203,1531162499198,1331500,0.00000683,284.00000000,0
1531162499203,1531162499198,1331501,0.00000684,3149.00000000,0
1531162801397,1531162801392,1331502,0.00000681,2329.00000000,1
1531162803345,1531162803339,1331503,0.00000680,20168.00000000,1
1531162805150,1531162805144,1331504,0.00000684,992.00000000,0
1531162805396,1531162805386,1331505,0.00000684,992.00000000,0
1531162854061,1531162854055,1331506,0.00000681,161.00000000,1
1531163107937,1531163107932,1331507,0.00000681,250.00000000,1
1531163109573,1531163109567,1331508,0.00000684,160.00000000,0
1531163438197,1531163438191,1331509,0.00000684,4430.00000000,0
1531163438683,1531163438677,1331510,0.00000684,10.00000000,0
1531163438683,1531163438677,1331511,0.00000685,1449.00000000,0
1531163438699,1531163438694,1331512,0.00000685,2346.00000000,0
1531163489300,1531163489295,1331513,0.00000686,148.00000000,0
1531163544327,1531163544321,1331514,0.00000686,2102.00000000,0
1531163557295,1531163557288,1331515,0.00000686,2417.00000000,0
1531163557295,1531163557288,1331516,0.00000687,1127.00000000,0
1531163557295,1531163557288,1331517,0.00000688,3260.00000000,0
1531163557295,1531163557288,1331518,0.00000689,7693.00000000,0
1531163557295,1531163557288,1331519,0.00000690,194.00000000,0
1531163557295,1531163557288,1331520,0.00000692,2667.00000000,0
1531163557295,1531163557288,1331521,0.00000693,4999.00000000,0
1531163557317,1531163557311,1331522,0.00000693,14830.00000000,1
1531163557322,1531163557317,1331523,0.00000693,39629.00000000,1
1531163557581,1531163557577,1331524,0.00000693,9460.00000000,1
1531163558735,1531163558730,1331525,0.00000693,1858.00000000,1
1531163560338,1531163560333,1331526,0.00000693,8906.00000000,1
1531163562673,1531163562667,1331527,0.00000694,982.00000000,0
1531163562698,1531163562693,1331528,0.00000694,238.00000000,1
1531163564495,1531163564490,1331529,0.00000694,224.00000000,1
1531163567825,1531163567818,1331530,0.00000694,344.00000000,1
1531163571852,1531163571847,1331531,0.00000693,1355.00000000,1
1531163587120,1531163587113,1331532,0.00000693,500.00000000,1
1531163595049,1531163595044,1331533,0.00000693,1490.00000000,1
1531163610439,1531163610435,1331534,0.00000694,146.00000000,0
1531163610640,1531163610635,1331535,0.00000694,146.00000000,0
1531163611179,1531163611173,1331536,0.00000694,146.00000000,0
1531163619854,1531163619845,1331537,0.00000693,8215.00000000,1
1531163657132,1531163657129,1331538,0.00000693,5590.00000000,1
1531163705227,1531163705221,1331539,0.00000693,809.00000000,1
1531163767061,1531163767055,1331540,0.00000693,290.00000000,1
1531163779942,1531163779937,1331541,0.00000693,570.00000000,1
1531163833059,1531163833057,1331542,0.00000693,294.00000000,1
1531163852630,1531163852623,1331543,0.00000694,1443.00000000,0
1531163857129,1531163857125,1331544,0.00000693,3615.00000000,1
1531163872235,1531163872230,1331545,0.00000693,5108.00000000,1
1531163894099,1531163894093,1331546,0.00000693,4491.00000000,1
1531163952133,1531163952127,1331547,0.00000693,905.00000000,1
1531164129076,1531164129069,1331548,0.00000689,1481.00000000,1
1531164201403,1531164201398,1331549,0.00000689,11.00000000,1
1531164281621,1531164281615,1331550,0.00000694,303.00000000,0
1531164617759,1531164617755,1331551,0.00000693,1440.00000000,0
1531164675458,1531164675452,1331552,0.00000690,356.00000000,1
1531164682728,1531164682725,1331553,0.00000690,1076.00000000,0
1531164682775,1531164682771,1331554,0.00000690,4348.00000000,0
1531164686002,1531164685997,1331555,0.00000690,1450.00000000,0
1531164736447,1531164736441,1331556,0.00000689,4349.00000000,1
1531165251101,1531165251096,1331557,0.00000689,158.00000000,1
1531165383297,1531165383293,1331558,0.00000692,1451.00000000,0
1531165530428,1531165530422,1331559,0.00000692,1000.00000000,0
1531165735237,1531165735231,1331560,0.00000689,4149.00000000,1
1531166148168,1531166148162,1331561,0.00000692,150.00000000,0
1531166148168,1531166148162,1331562,0.00000693,1301.00000000,0
1531166669245,1531166669238,1331563,0.00000692,1445.00000000,0
1531166705763,1531166705757,1331564,0.00000692,14585.00000000,0
