event_time,trade_time,trade_id,price,quantity,maker
1531160404794,1531160404790,1320057,0.00276600,1.02000000,0
1531160506844,1531160506840,1320058,0.00275600,1.88000000,1
1531160952219,1531160952215,1320059,0.00275600,15.00000000,1
1531161014229,1531161014227,1320060,0.00275600,78.38000000,1
1531161160724,1531161160720,1320061,0.00275600,11.99000000,1
1531161190820,1531161190818,1320062,0.00275600,1.71000000,1
1531161232936,1531161232931,1320063,0.00276100,4.84000000,0
1531161457002,1531161456998,1320064,0.00276400,0.50000000,0
1531161487261,1531161487259,1320065,0.00275900,10.80000000,0
1531161673056,1531161673052,1320066,0.00276600,5.04000000,0
1531161674167,1531161674163,1320067,0.00276600,0.01000000,0
1531161674167,1531161674163,1320068,0.00276700,0.59000000,0
1531161674795,1531161674791,1320069,0.00276700,2.41000000,0
1531161675904,1531161675899,1320070,0.00276600,3.60000000,1
1531161680846,1531161680845,1320071,0.00277100,3.00000000,0
1531161688760,1531161688755,1320072,0.00277100,35.35000000,0
1531161728019,1531161728015,1320073,0.00277000,33.83000000,0
1531161728124,1531161728118,1320074,0.00277100,36.07000000,0
1531161728124,1531161728118,1320075,0.00277200,5.17000000,0
1531161728124,1531161728118,1320076,0.00277300,6.41000000,0
1531161734835,1531161734830,1320077,0.00277300,3.60000000,0
1531161842853,1531161842849,1320078,0.00277100,2.22000000,0
1531161850604,1531161850601,1320079,0.00277200,2.87000000,0
1531161862311,1531161862307,1320080,0.00276700,0.59000000,1
1531161882918,1531161882915,1320081,0.00277300,0.60000000,0
1531161884582,1531161884578,1320082,0.00277300,5.69000000,0
1531162416531,1531162416525,1320083,0.00276700,3.00000000,1
1531162416531,1531162416525,1320084,0.00276200,3.01000000,1
1531162416531,1531162416525,1320085,0.00276000,2.00000000,1
1531162416531,1531162416525,1320086,0.00275800,25.82000000,1
1531162416531,1531162416525,1320087,0.00275700,74.25000000,1
1531162416531,1531162416525,1320088,0.00275600,42.69000000,1
1531162496901,1531162496897,1320089,0.00276800,0.02000000,0
1531162497643,1531162497639,1320090,0.00276800,2.77000000,0
1531162733314,1531162733308,1320091,0.00276100,2.97000000,1
1531162938850,1531162938844,1320092,0.00276300,1.00000000,1
1531162938850,1531162938844,1320093,0.00276200,2.32000000,1
1531163105857,1531163105853,1320094,0.00276500,1.45000000,0
1531163277409,1531163277404,1320095,0.00276500,3.12000000,0
1531163530041,1531163530035,1320096,0.00276200,18.71000000,1
1531163551725,1531163551719,1320097,0.00276200,13.55000000,1
1531163556247,1531163556243,1320098,0.00276400,3.00000000,0
1531163598941,1531163598936,1320099,0.00276100,11.22000000,1
1531163655246,1531163655239,1320100,0.00275600,7.78000000,1
1531163655246,1531163655239,1320101,0.00275400,3.02000000,1
1531163655246,1531163655239,1320102,0.00275100,57.93000000,1
1531163824286,1531163824280,1320103,0.00276400,4.38000000,0
1531163827347,1531163827341,1320104,0.00276400,6.71000000,0
1531163828278,1531163828273,1320105,0.00276400,6.71000000,0
1531163829110,1531163829070,1320106,0.00276400,5.77000000,0
1531163830783,1531163830779,1320107,0.00276400,1.62000000,0
1531163867994,1531163867986,1320108,0.00276400,0.63000000,0
1531163869432,1531163869430,1320109,0.00276500,2.23000000,0
1531163869719,1531163869715,1320110,0.00276500,1.45000000,0
1531163871267,1531163871261,1320111,0.00276500,2.23000000,0
1531163871634,1531163871628,1320112,0.00276500,1.45000000,0
1531163873066,1531163873060,1320113,0.00276500,1.45000000,0
1531163873481,1531163873476,1320114,0.00276500,0.02000000,0
1531163874898,1531163874893,1320115,0.00276600,2.65000000,0
1531163875186,1531163875179,1320116,0.00276600,1.03000000,0
1531163950697,1531163950691,1320117,0.00276600,3.30000000,1
1531163953707,1531163953701,1320118,0.00276700,6.44000000,1
1531163957382,1531163957375,1320119,0.00276800,0.01000000,1
1531163959947,1531163959943,1320120,0.00276800,0.01000000,1
1531163963715,1531163963708,1320121,0.00276900,2.31000000,1
1531164191222,1531164191218,1320122,0.00276600,8.93000000,1
1531164262235,1531164262229,1320123,0.00276800,1.09000000,0
1531164262303,1531164262297,1320124,0.00276800,1.22000000,0
1531164262865,1531164262858,1320125,0.00276900,3.00000000,0
1531164295232,1531164295228,1320126,0.00276900,0.99000000,0
1531164338098,1531164338091,1320127,0.00277300,0.37000000,0
1531164442966,1531164442963,1320128,0.00276600,1.74000000,1
1531164529411,1531164529406,1320129,0.00277300,2.01000000,0
1531164548820,1531164548814,1320130,0.00276600,19.70000000,1
1531164552064,1531164552056,1320131,0.00277300,0.61000000,0
1531164552064,1531164552056,1320132,0.00277600,2.99000000,0
1531164624500,1531164624496,1320133,0.00276700,0.09000000,1
1531164626341,1531164626336,1320134,0.00276600,0.09000000,1
1531164883549,1531164883542,1320135,0.00277600,4.04000000,0
1531164883549,1531164883542,1320136,0.00277700,2.72000000,0
1531165236559,1531165236555,1320137,0.00277700,1.64000000,0
1531165236559,1531165236555,1320138,0.00277800,0.36000000,0
1531165244496,1531165244492,1320139,0.00277800,0.43000000,0
1531165244496,1531165244492,1320140,0.00277900,1.28000000,0
1531166011767,1531166011761,1320141,0.00277000,4.25000000,1
1531166765704,1531166765697,1320142,0.00277000,3.61000000,0
1531166792550,1531166792545,1320143,0.00277000,3.00000000,0
1531166794443,1531166794436,1320144,0.00277000,0.68000000,0
1531167230141,1531167230135,1320145,0.00276700,2.00000000,1
1531167230141,1531167230135,1320146,0.00276600,1.79000000,1
1531167425003,1531167424998,1320147,0.00276600,26.09000000,1
1531167569532,1531167569526,1320148,0.00276700,22.22000000,1
1531167870229,1531167870223,1320149,0.00276600,12.83000000,1
1531167914351,1531167914351,1320150,0.00276600,2.00000000,1
1531167967107,1531167967102,1320151,0.00276600,9.62000000,1
1531168322405,1531168322399,1320152,0.00276700,2.26000000,1
1531168322405,1531168322399,1320153,0.00276600,17.31000000,1
1531168391203,1531168391198,1320154,0.00277500,0.74000000,0
1531168409796,1531168409790,1320155,0.00276600,14.77000000,1
1531168415487,1531168415481,1320156,0.00276600,10.00000000,1
1531168553145,1531168553140,1320157,0.00276600,15.25000000,1
1531168589380,1531168589374,1320158,0.00276400,2.89000000,1
1531168589380,1531168589374,1320159,0.00275100,3.06000000,1
1531169019326,1531169019321,1320160,0.00276200,0.37000000,1
1531169019326,1531169019321,1320161,0.00276100,4.63000000,1
1531169364260,1531169364257,1320162,0.00276100,38.00000000,0
1531169364267,1531169364263,1320163,0.00276100,17.78000000,0
1531169364271,1531169364266,1320164,0.00276100,38.00000000,0
1531169364282,1531169364278,1320165,0.00276100,0.73000000,0
1531169364328,1531169364324,1320166,0.00275400,2.50000000,1
1531169364328,1531169364324,1320167,0.00275100,3.90000000,1
1531169364328,1531169364324,1320168,0.00275000,1.72000000,1
1531169364328,1531169364324,1320169,0.00275000,48.28000000,1
1531169364386,1531169364382,1320170,0.00275000,8.12000000,1
1531169441466,1531169441460,1320171,0.00275100,20.54000000,1
1531169441466,1531169441460,1320172,0.00275000,21.21000000,1
1531169441518,1531169441516,1320173,0.00275000,34.00000000,0
1531169441652,1531169441647,1320174,0.00275000,23.03000000,0
1531169474984,1531169474978,1320175,0.00275200,1.10000000,1
1531169495516,1531169495510,1320176,0.00275200,0.40000000,1
1531170049605,1531170049600,1320177,0.00276000,0.08000000,0
1531170202553,1531170202547,1320178,0.00275200,1.00000000,1
1531170202553,1531170202547,1320179,0.00275000,2.00000000,1
1531170205347,1531170205342,1320180,0.00275600,2.00000000,0
1531170206543,1531170206536,1320181,0.00275600,2.16000000,0
1531170207845,1531170207838,1320182,0.00275500,1.52000000,0
1531170207845,1531170207838,1320183,0.00276000,0.48000000,0
1531170210184,1531170210177,1320184,0.00275100,2.50000000,1
1531170210211,1531170210205,1320185,0.00275000,8.92000000,1
1531170210211,1531170210205,1320186,0.00274900,2.50000000,1
1531170210325,1531170210320,1320187,0.00274900,71.54000000,1
1531170210556,1531170210553,1320188,0.00274900,12.94000000,1
1531170211194,1531170211189,1320189,0.00274900,13.61000000,1
1531170211225,1531170211220,1320190,0.00274900,2.31000000,1
1531170215888,1531170215882,1320191,0.00275700,4.17000000,0
1531170217816,1531170217810,1320192,0.00274900,6.80000000,1
1531170220411,1531170220407,1320193,0.00275600,2.00000000,0
1531170498152,1531170498147,1320194,0.00275600,0.37000000,0
1531170972353,1531170972347,1320195,0.00275600,0.45000000,0
1531171515093,1531171515089,1320196,0.00275600,3.14000000,0
1531171522933,1531171522927,1320197,0.00275500,3.97000000,0
1531171522933,1531171522927,1320198,0.00275600,0.01000000,0
1531171522933,1531171522927,1320199,0.00275700,0.01000000,0
1531171557806,1531171557801,1320200,0.00275700,0.72000000,0
1531171611660,1531171611656,1320201,0.00274900,2.50000000,1
1531171831475,1531171831471,1320202,0.00275700,1.45000000,0
1531171920404,1531171920400,1320203,0.00275700,1.81000000,0
1531171920440,1531171920436,1320204,0.00275700,0.01000000,0
