event_time,trade_time,trade_id,price,quantity,maker
1531160371071,1531160371067,3360816,0.02546900,0.39300000,1
1531160371252,1531160371248,3360817,0.02546900,1.41700000,1
1531160371762,1531160371758,3360818,0.02546900,0.39300000,1
1531160399479,1531160399475,3360819,0.02546900,0.04000000,1
1531160410373,1531160410368,3360820,0.02546900,3.89100000,1
1531160413486,1531160413483,3360821,0.02550600,0.15000000,0
1531160415021,1531160415018,3360822,0.02550500,0.00500000,0
1531160426244,1531160426239,3360823,0.02546900,0.51500000,1
1531160426575,1531160426571,3360824,0.02546900,0.51500000,1
1531160426613,1531160426609,3360825,0.02546900,0.51500000,1
1531160427241,1531160427237,3360826,0.02546900,0.51500000,1
1531160429700,1531160429696,3360827,0.02546900,2.54800000,1
1531160442943,1531160442940,3360828,0.02546900,0.04300000,1
1531160459512,1531160459509,3360829,0.02546900,0.13500000,1
1531160476419,1531160476417,3360830,0.02546900,2.55700000,1
1531160538600,1531160538596,3360831,0.02546900,0.25200000,1
1531160544157,1531160544154,3360832,0.02551100,0.39200000,0
1531160554783,1531160554780,3360833,0.02546900,0.07100000,1
1531160623255,1531160623251,3360834,0.02546900,0.29600000,1
1531160677782,1531160677779,3360835,0.02551600,0.06200000,1
1531160678302,1531160678299,3360836,0.02546900,0.02200000,1
1531160709212,1531160709209,3360837,0.02546900,0.01500000,1
1531160761134,1531160761128,3360838,0.02545000,0.18900000,1
1531160761134,1531160761128,3360839,0.02544800,0.12200000,1
1531160761134,1531160761128,3360840,0.02544700,2.32100000,1
1531160766876,1531160766873,3360841,0.02544700,4.51500000,1
1531160768017,1531160768014,3360842,0.02544600,49.93800000,1
1531160768112,1531160768109,3360843,0.02544600,13.31500000,1
1531160769869,1531160769865,3360844,0.02544000,1.66900000,1
1531160772242,1531160772239,3360845,0.02543900,0.08700000,1
1531160773870,1531160773866,3360846,0.02543800,0.15700000,1
1531160774870,1531160774866,3360847,0.02543400,0.04200000,1
1531160775333,1531160775330,3360848,0.02544900,0.05000000,0
1531160775468,1531160775463,3360849,0.02544900,0.04100000,0
1531160775479,1531160775476,3360850,0.02544900,0.04100000,0
1531160775612,1531160775607,3360851,0.02543200,0.00600000,1
1531160775738,1531160775733,3360852,0.02543200,0.00600000,1
1531160775755,1531160775751,3360853,0.02543200,0.00600000,1
1531160775885,1531160775882,3360854,0.02543200,0.70900000,1
1531160775890,1531160775885,3360855,0.02542800,0.08000000,1
1531160775920,1531160775917,3360856,0.02542500,0.14600000,1
1531160781704,1531160781700,3360857,0.02544700,0.05000000,0
1531160781780,1531160781778,3360858,0.02544700,0.05200000,0
1531160781808,1531160781804,3360859,0.02544700,0.05000000,0
1531160785101,1531160785096,3360860,0.02542500,0.01400000,1
1531160785101,1531160785096,3360861,0.02542300,0.23600000,1
1531160785101,1531160785096,3360862,0.02542000,0.04000000,1
1531160785101,1531160785096,3360863,0.02541700,0.04000000,1
1531160785101,1531160785096,3360864,0.02540500,0.35600000,1
1531160785101,1531160785096,3360865,0.02540400,0.09600000,1
1531160786016,1531160786013,3360866,0.02540400,0.16800000,1
1531160786803,1531160786799,3360867,0.02540100,0.00700000,1
1531160787015,1531160787014,3360868,0.02540100,0.14400000,1
1531160790602,1531160790598,3360869,0.02544000,0.01400000,0
1531160791162,1531160791155,3360870,0.02544000,0.03700000,0
1531160791265,1531160791261,3360871,0.02540000,0.00700000,1
1531160791265,1531160791261,3360872,0.02540000,0.36200000,1
1531160791333,1531160791329,3360873,0.02540000,0.00700000,1
1531160791369,1531160791366,3360874,0.02540000,0.00700000,1
1531160791371,1531160791366,3360875,0.02540000,0.00700000,1
1531160791409,1531160791406,3360876,0.02540000,0.00700000,1
1531160795808,1531160795805,3360877,0.02540000,0.32600000,1
1531160796018,1531160796014,3360878,0.02540000,4.36800000,1
1531160796199,1531160796194,3360879,0.02539900,0.32600000,1
1531160796199,1531160796194,3360880,0.02539900,0.00100000,1
1531160797026,1531160797023,3360881,0.02539700,0.04000000,1
1531160798660,1531160798656,3360882,0.02539900,0.02100000,0
1531160798693,1531160798690,3360883,0.02539900,0.01800000,0
1531160798693,1531160798690,3360884,0.02543300,0.01200000,0
1531160798737,1531160798732,3360885,0.02543300,0.03500000,0
1531160798745,1531160798742,3360886,0.02539400,0.04000000,1
1531160798774,1531160798769,3360887,0.02543300,0.02800000,0
1531160798808,1531160798805,3360888,0.02543300,0.03000000,0
1531160798838,1531160798836,3360889,0.02543300,0.02900000,0
1531160798861,1531160798858,3360890,0.02543300,0.05000000,0
1531160798902,1531160798897,3360891,0.02543300,0.05200000,0
1531160798970,1531160798966,3360892,0.02543300,0.05000000,0
1531160799021,1531160799017,3360893,0.02543300,0.04200000,0
1531160799281,1531160799276,3360894,0.02543300,0.05000000,0
1531160799297,1531160799294,3360895,0.02543300,0.05000000,0
1531160799357,1531160799353,3360896,0.02543300,0.01900000,0
1531160799357,1531160799353,3360897,0.02543600,0.03300000,0
1531160799394,1531160799388,3360898,0.02543600,0.06100000,0
1531160799457,1531160799454,3360899,0.02543600,0.05300000,0
1531160799505,1531160799500,3360900,0.02543300,0.06100000,0
1531160799562,1531160799558,3360901,0.02543300,0.03700000,0
1531160799576,1531160799574,3360902,0.02543300,0.06700000,0
1531160799577,1531160799575,3360903,0.02543300,0.03400000,0
1531160799780,1531160799776,3360904,0.02543300,0.05500000,0
1531160799790,1531160799787,3360905,0.02543300,0.06700000,0
1531160800099,1531160800095,3360906,0.02543600,0.10600000,0
1531160803467,1531160803464,3360907,0.02538900,0.78100000,1
1531160804011,1531160804008,3360908,0.02543500,0.41800000,0
1531160804011,1531160804008,3360909,0.02543900,0.67000000,0
1531160805563,1531160805561,3360910,0.02538900,0.04000000,1
1531160807485,1531160807481,3360911,0.02538900,0.32600000,1
1531160808454,1531160808449,3360912,0.02538900,0.32600000,1
1531160808915,1531160808912,3360913,0.02538900,0.00700000,1
1531160808938,1531160808935,3360914,0.02538900,0.32600000,1
1531160808979,1531160808976,3360915,0.02538900,0.00700000,1
1531160809179,1531160809176,3360916,0.02538900,0.00700000,1
1531160809226,1531160809223,3360917,0.02538900,0.00600000,1
1531160809269,1531160809266,3360918,0.02538900,0.00700000,1
1531160809535,1531160809531,3360919,0.02538900,0.32600000,1
1531160810017,1531160810014,3360920,0.02538900,0.84100000,1
1531160810036,1531160810031,3360921,0.02538700,0.34600000,1
1531160810705,1531160810704,3360922,0.02538700,0.01300000,1
1531160810705,1531160810704,3360923,0.02538600,0.17100000,1
1531160810705,1531160810704,3360924,0.02538300,0.18900000,1
1531160811959,1531160811956,3360925,0.02540000,1.96300000,1
1531160813582,1531160813577,3360926,0.02538300,0.00700000,1
1531160815526,1531160815522,3360927,0.02543600,0.71800000,0
1531160818172,1531160818169,3360928,0.02543200,1.50600000,0
1531160818172,1531160818169,3360929,0.02543300,0.29800000,0
1531160818172,1531160818169,3360930,0.02543500,1.77000000,0
1531160821316,1531160821312,3360931,0.02538300,0.00700000,1
1531160823496,1531160823491,3360932,0.02538300,0.16900000,1
1531160823496,1531160823491,3360933,0.02537400,0.15700000,1
1531160823945,1531160823941,3360934,0.02537400,0.03800000,1
1531160823945,1531160823941,3360935,0.02536300,0.28800000,1
1531160826324,1531160826319,3360936,0.02536600,0.00600000,1
1531160826340,1531160826337,3360937,0.02536600,0.00600000,1
1531160826446,1531160826445,3360938,0.02536600,0.00700000,1
1531160826561,1531160826558,3360939,0.02536600,0.00600000,1
1531160828278,1531160828274,3360940,0.02538300,0.04000000,0
1531160828278,1531160828274,3360941,0.02543100,0.00100000,0
1531160830436,1531160830432,3360942,0.02536400,0.00700000,1
1531160832521,1531160832520,3360943,0.02536500,0.00700000,1
1531160840945,1531160840940,3360944,0.02536500,0.13200000,1
1531160840945,1531160840940,3360945,0.02536400,0.19400000,1
1531160841645,1531160841641,3360946,0.02536400,0.00700000,1
1531160841798,1531160841795,3360947,0.02536400,0.33400000,1
1531160846176,1531160846173,3360948,0.02536600,0.04000000,1
1531160846443,1531160846438,3360949,0.02536600,0.05100000,1
1531160846443,1531160846438,3360950,0.02536400,0.10100000,1
1531160847024,1531160847021,3360951,0.02536400,0.04000000,1
1531160851710,1531160851708,3360952,0.02536600,0.05900000,1
1531160851710,1531160851708,3360953,0.02536400,0.39300000,1
1531160854389,1531160854385,3360954,0.02536400,0.00600000,1
1531160854933,1531160854929,3360955,0.02536400,0.17700000,1
1531160865658,1531160865656,3360956,0.02536400,0.04000000,1
1531160870934,1531160870931,3360957,0.02536400,0.32700000,1
1531160871469,1531160871464,3360958,0.02536400,0.37400000,1
1531160872555,1531160872550,3360959,0.02541100,0.02600000,0
1531160883840,1531160883835,3360960,0.02541100,0.84200000,0
1531160883840,1531160883835,3360961,0.02541200,0.15800000,0
1531160910876,1531160910871,3360962,0.02536400,0.01200000,1
1531160912877,1531160912873,3360963,0.02536300,14.57400000,1
1531160913616,1531160913612,3360964,0.02536400,0.03900000,0
1531160915022,1531160915019,3360965,0.02535200,0.11600000,1
1531160915407,1531160915403,3360966,0.02536400,0.12000000,0
1531160915865,1531160915860,3360967,0.02535100,0.49100000,1
1531160916010,1531160916005,3360968,0.02536400,0.00900000,0
1531160916876,1531160916872,3360969,0.02536400,1.96300000,1
1531160917248,1531160917243,3360970,0.02540800,0.03700000,0
1531160922191,1531160922187,3360971,0.02534200,0.00700000,1
1531160922227,1531160922224,3360972,0.02534200,0.00700000,1
1531160922253,1531160922250,3360973,0.02534200,0.00700000,1
1531160922279,1531160922276,3360974,0.02534200,0.00700000,1
1531160922390,1531160922386,3360975,0.02534200,0.00700000,1
1531160927673,1531160927670,3360976,0.02534200,0.00700000,1
1531160932669,1531160932664,3360977,0.02540300,0.02800000,0
1531160941779,1531160941777,3360978,0.02534200,0.37400000,1
1531160957741,1531160957738,3360979,0.02534200,0.29500000,1
1531160958309,1531160958307,3360980,0.02534200,0.27300000,1
1531160958309,1531160958307,3360981,0.02534000,0.05400000,1
1531160958840,1531160958835,3360982,0.02534100,0.15000000,1
1531160958840,1531160958835,3360983,0.02534000,0.16900000,1
1531160958840,1531160958835,3360984,0.02533900,0.00800000,1
1531160979324,1531160979321,3360985,0.02540000,0.03500000,0
1531160986472,1531160986466,3360986,0.02533900,0.03200000,1
1531160986472,1531160986466,3360987,0.02533700,0.04000000,1
1531160986472,1531160986466,3360988,0.02533500,0.08000000,1
1531160986472,1531160986466,3360989,0.02532900,0.05200000,1
1531160986472,1531160986466,3360990,0.02531900,0.04000000,1
1531160986472,1531160986466,3360991,0.02531300,0.04000000,1
1531160986472,1531160986466,3360992,0.02531000,0.18300000,1
1531160990670,1531160990667,3360993,0.02531600,0.00600000,1
1531160990692,1531160990689,3360994,0.02531600,0.00700000,1
1531160990735,1531160990731,3360995,0.02531600,0.00600000,1
1531160990783,1531160990778,3360996,0.02531600,0.00600000,1
1531160990876,1531160990873,3360997,0.02532000,0.00700000,1
1531160990921,1531160990919,3360998,0.02532000,0.00600000,1
1531160991092,1531160991088,3360999,0.02532000,0.00700000,1
1531160996162,1531160996159,3361000,0.02532600,0.00700000,1
