event_time,trade_time,trade_id,price,quantity,maker
1531210846162,1531210846158,1174603,0.00010362,28.00000000,1
1531210846162,1531210846158,1174604,0.00010361,24.00000000,1
1531210846162,1531210846158,1174605,0.00010359,77.00000000,1
1531210846162,1531210846158,1174606,0.00010315,33.00000000,1
1531210848001,1531210847996,1174607,0.00010300,8.00000000,0
1531210852082,1531210852077,1174608,0.00010299,49.00000000,0
1531210861669,1531210861664,1174609,0.00010299,5.00000000,0
1531210866184,1531210866181,1174610,0.00010299,10.00000000,0
1531210878247,1531210878244,1174611,0.00010299,141.00000000,0
1531210888155,1531210888148,1174612,0.00010300,10.00000000,0
1531210892515,1531210892512,1174613,0.00010314,77.00000000,0
1531210892515,1531210892512,1174614,0.00010316,28.00000000,0
1531210892515,1531210892512,1174615,0.00010373,33.00000000,0
1531210892515,1531210892512,1174616,0.00010413,24.00000000,0
1531210892515,1531210892512,1174617,0.00010415,102.00000000,0
1531210909524,1531210909520,1174618,0.00010317,24.00000000,1
1531210909524,1531210909520,1174619,0.00010316,110.00000000,1
1531210909524,1531210909520,1174620,0.00010291,186.00000000,1
1531210929354,1531210929355,1174621,0.00010312,43.00000000,0
1531210948454,1531210948449,1174622,0.00010312,10.00000000,0
1531211183808,1531211183804,1174623,0.00010312,133.00000000,0
1531211198028,1531211198025,1174624,0.00010324,77.00000000,0
1531211491351,1531211491347,1174625,0.00010303,146.00000000,1
1531211704994,1531211704989,1174626,0.00010303,52.00000000,1
1531211719935,1531211719930,1174627,0.00010301,109.00000000,1
1531211812446,1531211812442,1174628,0.00010348,43.00000000,0
1531211812446,1531211812442,1174629,0.00010357,68.00000000,0
1531212631040,1531212631036,1174630,0.00010330,29.00000000,1
1531212631040,1531212631036,1174631,0.00010329,77.00000000,1
1531212631040,1531212631036,1174632,0.00010324,38.00000000,1
1531212669356,1531212669351,1174633,0.00010368,15.00000000,0
1531212723304,1531212723297,1174634,0.00010368,10.00000000,0
1531213123750,1531213123747,1174635,0.00010368,156.00000000,0
1531213125325,1531213125323,1174636,0.00010368,155.00000000,0
1531213302931,1531213302927,1174637,0.00010369,1.00000000,0
1531213303562,1531213303558,1174638,0.00010369,76.00000000,0
1531213340282,1531213340277,1174639,0.00010371,10.00000000,0
1531213723053,1531213723050,1174640,0.00010321,19.00000000,1
1531213965197,1531213965192,1174641,0.00010368,10.00000000,0
1531214887097,1531214887092,1174642,0.00010266,29.00000000,1
1531214988674,1531214988671,1174643,0.00010267,513.00000000,1
1531214988914,1531214988909,1174644,0.00010266,49.00000000,0
1531215126551,1531215126547,1174645,0.00010357,10.00000000,0
1531215169494,1531215169489,1174646,0.00010357,9.00000000,0
1531215169494,1531215169489,1174647,0.00010358,1.00000000,0
1531215189257,1531215189253,1174648,0.00010355,10.00000000,0
1531215579392,1531215579388,1174649,0.00010296,29.00000000,1
1531215579392,1531215579388,1174650,0.00010295,77.00000000,1
1531215579392,1531215579388,1174651,0.00010251,8.00000000,1
1531215604899,1531215604895,1174652,0.00010340,20.00000000,0
1531215606835,1531215606830,1174653,0.00010303,77.00000000,1
1531215606835,1531215606830,1174654,0.00010251,2.00000000,1
1531215606835,1531215606830,1174655,0.00010218,24.00000000,1
1531215606835,1531215606830,1174656,0.00010211,57.00000000,1
1531215607787,1531215607783,1174657,0.00010262,42.00000000,0
1531215608395,1531215608391,1174658,0.00010262,15.00000000,0
1531215629329,1531215629324,1174659,0.00010206,93.00000000,1
1531215643429,1531215643425,1174660,0.00010215,398.00000000,1
1531215643429,1531215643425,1174661,0.00010204,78.00000000,1
1531215643429,1531215643425,1174662,0.00010203,30.00000000,1
1531215643429,1531215643425,1174663,0.00010200,20.00000000,1
1531215643429,1531215643425,1174664,0.00010184,23.00000000,1
1531215643429,1531215643425,1174665,0.00010181,441.00000000,1
1531215643654,1531215643651,1174666,0.00010181,28.00000000,0
