event_time,trade_time,trade_id,price,quantity,maker
1531210693905,1531210693901,1196576,0.00009762,3.00000000,1
1531210694599,1531210694596,1196577,0.00009762,3.00000000,1
1531210695156,1531210695151,1196578,0.00009762,3.00000000,1
1531210695583,1531210695577,1196579,0.00009762,3.00000000,1
1531210695995,1531210695989,1196580,0.00009762,3.00000000,1
1531210696420,1531210696420,1196581,0.00009762,3.00000000,1
1531210697156,1531210697151,1196582,0.00009756,3.00000000,1
1531210698267,1531210698263,1196583,0.00009758,3.00000000,1
1531210698696,1531210698693,1196584,0.00009758,3.00000000,1
1531210698710,1531210698709,1196585,0.00009758,3.00000000,1
1531210699413,1531210699409,1196586,0.00009758,3.00000000,1
1531210699952,1531210699947,1196587,0.00009758,3.00000000,1
1531210700536,1531210700531,1196588,0.00009758,3.00000000,1
1531210700945,1531210700945,1196589,0.00009758,3.00000000,1
1531210701306,1531210701302,1196590,0.00009758,2.00000000,1
1531210701967,1531210701964,1196591,0.00009758,3.00000000,1
1531210702442,1531210702439,1196592,0.00009758,3.00000000,1
1531210702919,1531210702914,1196593,0.00009758,4.00000000,1
1531210703495,1531210703491,1196594,0.00009758,2.00000000,1
1531210703951,1531210703948,1196595,0.00009758,3.00000000,1
1531210704566,1531210704565,1196596,0.00009758,3.00000000,1
1531210705041,1531210705040,1196597,0.00009758,3.00000000,1
1531210705493,1531210705489,1196598,0.00009758,3.00000000,1
1531210706155,1531210706151,1196599,0.00009758,3.00000000,1
1531210706756,1531210706751,1196600,0.00009758,3.00000000,1
1531210707380,1531210707376,1196601,0.00009758,3.00000000,1
1531211532217,1531211532211,1196602,0.00009751,81.00000000,0
1531211583006,1531211583000,1196603,0.00009751,22.00000000,0
1531211583006,1531211583000,1196604,0.00009785,11.00000000,0
1531211583006,1531211583000,1196605,0.00009803,29.00000000,0
1531211583006,1531211583000,1196606,0.00009807,250.00000000,0
1531212273618,1531212273614,1196607,0.00009781,3.00000000,0
1531214332212,1531214332206,1196608,0.00009780,16.00000000,0
1531214332212,1531214332206,1196609,0.00009781,53.00000000,0
1531214334154,1531214334150,1196610,0.00009781,134.00000000,0
1531214339872,1531214339867,1196611,0.00009781,12.00000000,0
1531214348219,1531214348216,1196612,0.00009825,77.00000000,0
1531214355067,1531214355062,1196613,0.00009828,48.00000000,0
1531214366566,1531214366562,1196614,0.00009827,60.00000000,0
1531214371848,1531214371843,1196615,0.00009828,13.00000000,0
1531214415546,1531214415542,1196616,0.00009848,500.00000000,0
1531214568195,1531214568191,1196617,0.00009790,31.00000000,1
1531214568195,1531214568191,1196618,0.00009789,16.00000000,1
1531214568211,1531214568208,1196619,0.00009789,65.00000000,1
1531214734837,1531214734831,1196620,0.00009758,287.00000000,1
1531214734852,1531214734847,1196621,0.00009758,72.00000000,1
1531214734866,1531214734861,1196622,0.00009758,510.00000000,1
1531214734866,1531214734861,1196623,0.00009757,222.00000000,1
1531214744948,1531214744942,1196624,0.00009757,112.00000000,1
1531214795509,1531214795504,1196625,0.00009714,31.00000000,1
1531214824777,1531214824773,1196626,0.00009760,82.00000000,1
1531214824779,1531214824775,1196627,0.00009742,41.00000000,1
1531214824779,1531214824775,1196628,0.00009704,41.00000000,1
1531214824792,1531214824788,1196629,0.00009704,82.00000000,1
1531214837182,1531214837178,1196630,0.00009723,102.00000000,0
1531214890457,1531214890453,1196631,0.00009699,44.00000000,1
1531214892089,1531214892086,1196632,0.00009696,82.00000000,1
1531214900396,1531214900391,1196633,0.00009699,16.00000000,0
1531214901323,1531214901318,1196634,0.00009691,11.00000000,1
1531214903245,1531214903242,1196635,0.00009713,46.00000000,0
1531214911300,1531214911295,1196636,0.00009713,396.00000000,0
1531214912575,1531214912570,1196637,0.00009713,320.00000000,0
1531214914454,1531214914449,1196638,0.00009713,107.00000000,0
1531214914454,1531214914449,1196639,0.00009722,4.00000000,0
1531214914775,1531214914771,1196640,0.00009722,56.00000000,0
1531214915091,1531214915087,1196641,0.00009722,29.00000000,0
1531214949534,1531214949530,1196642,0.00009695,46.00000000,1
1531214998857,1531214998853,1196643,0.00009688,91.00000000,1
1531215396901,1531215396896,1196644,0.00009688,5.00000000,1
1531215644827,1531215644824,1196645,0.00009711,89.00000000,0
1531215646888,1531215646885,1196646,0.00009711,55.00000000,0
1531215646888,1531215646885,1196647,0.00009714,9.00000000,0
