event_time,trade_time,trade_id,price,quantity,maker
1531210362936,1531210362931,2510485,0.00115400,1.71000000,1
1531210362936,1531210362931,2510486,0.00115380,5.96000000,1
1531210362936,1531210362931,2510487,0.00115310,3.00000000,1
1531210362936,1531210362931,2510488,0.00115270,41.07000000,1
1531210394474,1531210394469,2510489,0.00115670,5.30000000,0
1531210394474,1531210394469,2510490,0.00115730,4.32000000,0
1531210394720,1531210394716,2510491,0.00115730,1.00000000,1
1531210394948,1531210394943,2510492,0.00115750,1.71000000,0
1531210398805,1531210398800,2510493,0.00115930,6.88000000,0
1531210432523,1531210432518,2510494,0.00115790,1.00000000,1
1531210463401,1531210463395,2510495,0.00115760,1.00000000,1
1531210497437,1531210497432,2510496,0.00115760,1.00000000,1
1531210515624,1531210515619,2510497,0.00115760,30.00000000,1
1531210521970,1531210521965,2510498,0.00116100,1.00000000,0
1531210521970,1531210521965,2510499,0.00116110,40.62000000,0
1531210521991,1531210521986,2510500,0.00116110,1.37000000,0
1531210523698,1531210523693,2510501,0.00116100,0.64000000,0
1531210529166,1531210529161,2510502,0.00115770,1.00000000,1
1531210547927,1531210547923,2510503,0.00115770,174.46000000,1
1531210547941,1531210547936,2510504,0.00115770,235.53000000,1
1531210558417,1531210558413,2510505,0.00115760,1.00000000,1
1531210564920,1531210564915,2510506,0.00115910,261.67000000,0
1531210564938,1531210564935,2510507,0.00115770,59.71000000,1
1531210564958,1531210564954,2510508,0.00115770,112.79000000,1
1531210591513,1531210591507,2510509,0.00115760,1.00000000,1
1531210612295,1531210612292,2510510,0.00115760,6.40000000,1
1531210620905,1531210620901,2510511,0.00115760,3.00000000,1
1531210622481,1531210622477,2510512,0.00115760,3.06000000,1
1531210652088,1531210652083,2510513,0.00115760,1.00000000,1
1531210681094,1531210681091,2510514,0.00115760,1.00000000,1
1531210715158,1531210715153,2510515,0.00115760,1.00000000,1
1531210744488,1531210744483,2510516,0.00115760,1.00000000,1
1531210774196,1531210774192,2510517,0.00115760,1.10000000,1
1531210793465,1531210793461,2510518,0.00115740,30.00000000,1
1531210793644,1531210793640,2510519,0.00115740,30.00000000,1
1531210794257,1531210794253,2510520,0.00115740,30.00000000,1
1531210794271,1531210794263,2510521,0.00115740,30.00000000,1
1531210881748,1531210881743,2510522,0.00115770,41.62000000,0
1531210899764,1531210899759,2510523,0.00115780,39.77000000,0
1531210923707,1531210923703,2510524,0.00115820,465.76000000,0
1531210923719,1531210923714,2510525,0.00115880,173.46000000,0
1531210924768,1531210924762,2510526,0.00115890,1.64000000,0
1531210937848,1531210937844,2510527,0.00116030,5.04000000,0
1531210938091,1531210938091,2510528,0.00116030,13.08000000,1
1531210938091,1531210938091,2510529,0.00115820,0.02000000,1
1531210952552,1531210952547,2510530,0.00116250,226.87000000,0
1531210959807,1531210959802,2510531,0.00115830,0.66000000,1
1531210960496,1531210960491,2510532,0.00115810,0.51000000,1
1531210961073,1531210961069,2510533,0.00115810,0.45000000,1
1531210961464,1531210961460,2510534,0.00115810,0.66000000,1
1531210961617,1531210961612,2510535,0.00115810,0.33000000,1
