event_time,trade_time,trade_id,price,quantity,maker
1531210356456,1531210356452,333062,0.00000263,54928.00000000,0
1531210356933,1531210356929,333063,0.00000263,80976.00000000,1
1531210357445,1531210357441,333064,0.00000263,62659.00000000,1
1531210362461,1531210362455,333065,0.00000263,22875.00000000,0
1531210362470,1531210362466,333066,0.00000263,2100.00000000,0
1531210364310,1531210364307,333067,0.00000264,3000.00000000,0
1531210365679,1531210365675,333068,0.00000264,4500.00000000,0
1531210372563,1531210372560,333069,0.00000263,2560.00000000,0
1531210372570,1531210372566,333070,0.00000263,22103.00000000,0
1531210373496,1531210373491,333071,0.00000264,11364.00000000,0
1531210375822,1531210375817,333072,0.00000263,1157.00000000,1
1531210380895,1531210380894,333073,0.00000263,181659.00000000,1
1531210384098,1531210384095,333074,0.00000264,3000.00000000,0
1531210387865,1531210387860,333075,0.00000264,2012.00000000,0
1531210387931,1531210387926,333076,0.00000264,902.00000000,0
1531210388976,1531210388971,333077,0.00000263,954.00000000,1
1531210391820,1531210391820,333078,0.00000264,2568.00000000,0
1531210391887,1531210391884,333079,0.00000263,212868.00000000,1
1531210392520,1531210392516,333080,0.00000264,5861.00000000,0
1531210392866,1531210392861,333081,0.00000264,6072.00000000,0
1531210397591,1531210397588,333082,0.00000263,86358.00000000,1
1531210397625,1531210397621,333083,0.00000264,3000.00000000,0
1531210397626,1531210397622,333084,0.00000263,231283.00000000,1
1531210398670,1531210398665,333085,0.00000264,2365.00000000,0
1531210402582,1531210402578,333086,0.00000263,17372.00000000,1
1531210402693,1531210402688,333087,0.00000264,3244.00000000,0
1531210402709,1531210402703,333088,0.00000263,79299.00000000,0
1531210408267,1531210408262,333089,0.00000263,2731.00000000,0
1531210408275,1531210408271,333090,0.00000263,42537.00000000,0
1531210408291,1531210408285,333091,0.00000263,900.00000000,0
1531210408295,1531210408289,333092,0.00000263,800.00000000,0
1531210408732,1531210408729,333093,0.00000263,19865.00000000,0
1531210415231,1531210415227,333094,0.00000263,49405.00000000,0
1531210415827,1531210415823,333095,0.00000263,125873.00000000,0
1531210415828,1531210415824,333096,0.00000263,125873.00000000,0
1531210423234,1531210423230,333097,0.00000263,5000.00000000,0
1531210424834,1531210424831,333098,0.00000263,137896.00000000,0
1531210426493,1531210426487,333099,0.00000263,30359.00000000,0
1531210430076,1531210430072,333100,0.00000263,125128.00000000,0
1531210430478,1531210430472,333101,0.00000263,1390.00000000,1
1531210439900,1531210439893,333102,0.00000263,84423.00000000,1
1531210440966,1531210440957,333103,0.00000264,806646.00000000,0
1531210440966,1531210440957,333104,0.00000265,534881.00000000,0
1531210444058,1531210444053,333105,0.00000264,956.00000000,1
1531210451169,1531210451165,333106,0.00000264,1134.00000000,1
1531210453617,1531210453614,333107,0.00000264,7085.00000000,0
1531210459495,1531210459490,333108,0.00000264,29003.00000000,0
1531210460117,1531210460112,333109,0.00000264,8702.00000000,0
1531210460734,1531210460732,333110,0.00000264,64916.00000000,0
1531210461578,1531210461578,333111,0.00000264,287310.00000000,0
1531210461601,1531210461597,333112,0.00000264,21583.00000000,0
1531210464124,1531210464118,333113,0.00000264,87911.00000000,1
1531210464577,1531210464570,333114,0.00000264,237880.00000000,0
