event_time,trade_time,trade_id,price,quantity,maker
1531210360648,1531210360643,3050795,0.00000194,71280.00000000,1
1531210360654,1531210360650,3050796,0.00000194,2649.00000000,1
1531210360665,1531210360661,3050797,0.00000194,6944.00000000,1
1531210360670,1531210360667,3050798,0.00000194,2649.00000000,1
1531210360740,1531210360739,3050799,0.00000194,3166.00000000,1
1531210361977,1531210361972,3050800,0.00000194,2999.00000000,0
1531210393176,1531210393172,3050801,0.00000194,1.00000000,0
1531210410423,1531210410419,3050802,0.00000194,2504.00000000,0
1531210417046,1531210417040,3050803,0.00000194,242.00000000,0
1531210420070,1531210420067,3050804,0.00000194,1.00000000,0
1531210420432,1531210420427,3050805,0.00000194,39405.00000000,0
1531210420469,1531210420466,3050806,0.00000194,18115.00000000,1
1531210420482,1531210420478,3050807,0.00000193,3608.00000000,1
1531210420492,1531210420487,3050808,0.00000193,2141.00000000,1
1531210425684,1531210425679,3050809,0.00000193,1903.00000000,1
1531210429727,1531210429724,3050810,0.00000193,1497.00000000,1
1531210433692,1531210433687,3050811,0.00000193,1177.00000000,1
1531210439665,1531210439661,3050812,0.00000193,926.00000000,1
1531210450761,1531210450756,3050813,0.00000193,179.00000000,1
1531210451222,1531210451219,3050814,0.00000193,486.00000000,1
1531210451712,1531210451707,3050815,0.00000193,298.00000000,1
1531210452148,1531210452145,3050816,0.00000193,329.00000000,1
1531210452662,1531210452657,3050817,0.00000193,299.00000000,1
1531210453167,1531210453163,3050818,0.00000193,315.00000000,1
1531210453603,1531210453599,3050819,0.00000193,349.00000000,1
1531210454178,1531210454173,3050820,0.00000193,371.00000000,1
1531210454628,1531210454624,3050821,0.00000193,142.00000000,1
1531210455453,1531210455447,3050822,0.00000193,205.00000000,1
1531210455908,1531210455903,3050823,0.00000193,106.00000000,1
1531210456443,1531210456439,3050824,0.00000193,155.00000000,1
1531210456872,1531210456867,3050825,0.00000193,173.00000000,1
1531210457538,1531210457534,3050826,0.00000193,176.00000000,1
1531210458468,1531210458464,3050827,0.00000193,239.00000000,1
