event_time,trade_time,trade_id,price,quantity,maker
1531210423648,1531210423644,2072113,0.00002763,114.00000000,1
1531210522528,1531210522524,2072114,0.00002770,40.00000000,1
1531210529676,1531210529671,2072115,0.00002770,15.00000000,1
1531210628941,1531210628940,2072116,0.00002770,291.00000000,1
1531210629432,1531210629429,2072117,0.00002770,154.00000000,1
1531210667642,1531210667642,2072118,0.00002762,41.00000000,1
1531210775284,1531210775280,2072119,0.00002762,100.00000000,1
1531211083152,1531211083147,2072120,0.00002774,1.00000000,0
1531211085570,1531211085569,2072121,0.00002763,3.00000000,1
1531211166223,1531211166220,2072122,0.00002765,10.00000000,1
1531211609318,1531211609312,2072123,0.00002765,225.00000000,1
1531211629727,1531211629724,2072124,0.00002765,1186.00000000,1
1531211653868,1531211653864,2072125,0.00002763,500.00000000,1
1531211654735,1531211654731,2072126,0.00002763,500.00000000,1
1531211656723,1531211656720,2072127,0.00002763,500.00000000,1
1531211657717,1531211657712,2072128,0.00002762,1140.00000000,1
1531211684448,1531211684442,2072129,0.00002754,54.00000000,1
1531211687458,1531211687455,2072130,0.00002748,20.00000000,1
1531211737424,1531211737421,2072131,0.00002748,5.00000000,1
1531211917586,1531211917582,2072132,0.00002748,11.00000000,1
1531211918017,1531211918011,2072133,0.00002748,16.00000000,1
1531211984353,1531211984350,2072134,0.00002748,1.00000000,1
1531212093976,1531212093975,2072135,0.00002769,116.00000000,0
1531212093976,1531212093975,2072136,0.00002776,245.00000000,0
1531212096399,1531212096395,2072137,0.00002748,5.00000000,1
1531212181254,1531212181251,2072138,0.00002777,40.00000000,0
1531212181254,1531212181251,2072139,0.00002779,304.00000000,0
1531212181274,1531212181271,2072140,0.00002779,990.00000000,1
1531212181275,1531212181271,2072141,0.00002779,526.00000000,1
1531212181914,1531212181909,2072142,0.00002779,77.00000000,0
1531212182078,1531212182074,2072143,0.00002780,108.00000000,1
1531212184007,1531212184003,2072144,0.00002788,185.00000000,0
1531212184007,1531212184003,2072145,0.00002789,859.00000000,0
1531212228996,1531212228992,2072146,0.00002764,9.00000000,1
1531212229496,1531212229490,2072147,0.00002764,84.00000000,1
1531212230252,1531212230251,2072148,0.00002764,8.00000000,1
1531212230791,1531212230786,2072149,0.00002764,62.00000000,1
1531212231367,1531212231362,2072150,0.00002764,14.00000000,1
1531212232037,1531212232034,2072151,0.00002764,10.00000000,1
1531212232554,1531212232548,2072152,0.00002764,18.00000000,1
1531212233097,1531212233092,2072153,0.00002764,42.00000000,1
1531212234301,1531212234298,2072154,0.00002764,25.00000000,1
1531212234817,1531212234816,2072155,0.00002764,8.00000000,1
1531212234829,1531212234824,2072156,0.00002764,24.00000000,1
1531212235557,1531212235551,2072157,0.00002764,18.00000000,1
1531212236141,1531212236137,2072158,0.00002764,21.00000000,1
1531212236757,1531212236752,2072159,0.00002764,22.00000000,1
1531212237629,1531212237625,2072160,0.00002764,7.00000000,1
1531212238216,1531212238211,2072161,0.00002764,17.00000000,1
1531212238866,1531212238863,2072162,0.00002764,18.00000000,1
1531212239412,1531212239407,2072163,0.00002764,10.00000000,1
1531212239910,1531212239907,2072164,0.00002764,47.00000000,1
1531212240507,1531212240502,2072165,0.00002764,30.00000000,1
1531212241009,1531212241003,2072166,0.00002764,15.00000000,1
1531212241578,1531212241573,2072167,0.00002764,17.00000000,1
1531212242159,1531212242155,2072168,0.00002764,7.00000000,1
1531212242786,1531212242781,2072169,0.00002764,8.00000000,1
1531212243683,1531212243678,2072170,0.00002764,42.00000000,1
1531212244325,1531212244320,2072171,0.00002764,17.00000000,1
1531212244852,1531212244848,2072172,0.00002764,8.00000000,1
1531212245358,1531212245353,2072173,0.00002764,16.00000000,1
1531212245955,1531212245949,2072174,0.00002764,8.00000000,1
1531212246736,1531212246731,2072175,0.00002764,17.00000000,1
1531212247336,1531212247333,2072176,0.00002764,21.00000000,1
1531212247894,1531212247887,2072177,0.00002764,8.00000000,1
1531212248433,1531212248429,2072178,0.00002764,27.00000000,1
1531212249065,1531212249061,2072179,0.00002764,15.00000000,1
1531212249624,1531212249620,2072180,0.00002764,10.00000000,1
1531212250148,1531212250147,2072181,0.00002764,19.00000000,1
1531212250832,1531212250827,2072182,0.00002764,16.00000000,1
1531212251123,1531212251118,2072183,0.00002764,6.00000000,1
1531212327223,1531212327219,2072184,0.00002769,2.00000000,1
1531212328884,1531212328880,2072185,0.00002764,2.00000000,1
1531212331710,1531212331707,2072186,0.00002764,1603.00000000,1
1531212338891,1531212338886,2072187,0.00002762,54.00000000,1
1531212346087,1531212346082,2072188,0.00002764,1733.00000000,0
1531212411871,1531212411867,2072189,0.00002765,500.00000000,1
1531212491938,1531212491935,2072190,0.00002764,6729.00000000,1
1531212519814,1531212519810,2072191,0.00002763,231.00000000,1
1531212521805,1531212521800,2072192,0.00002762,54.00000000,1
1531212939185,1531212939180,2072193,0.00002755,6600.00000000,1
1531213052397,1531213052391,2072194,0.00002768,358.00000000,0
1531213075604,1531213075601,2072195,0.00002754,3285.00000000,1
1531213248238,1531213248234,2072196,0.00002772,230.00000000,0
1531213256858,1531213256853,2072197,0.00002772,518.00000000,0
1531213256860,1531213256856,2072198,0.00002772,518.00000000,0
1531213259978,1531213259974,2072199,0.00002754,518.00000000,1
1531213569738,1531213569734,2072200,0.00002772,1.00000000,0
1531213601002,1531213600998,2072201,0.00002755,16.00000000,1
1531213602186,1531213602183,2072202,0.00002754,16.00000000,1
1531213602264,1531213602259,2072203,0.00002754,10.00000000,1
1531213602703,1531213602698,2072204,0.00002754,296.00000000,1
1531213602756,1531213602752,2072205,0.00002754,7.00000000,1
1531213603361,1531213603356,2072206,0.00002754,90.00000000,1
1531213603979,1531213603976,2072207,0.00002754,17.00000000,1
1531213604517,1531213604513,2072208,0.00002754,31.00000000,1
1531213604879,1531213604876,2072209,0.00002754,584.00000000,1
1531213604944,1531213604938,2072210,0.00002754,7.00000000,1
1531213605479,1531213605475,2072211,0.00002754,34.00000000,1
1531213606143,1531213606138,2072212,0.00002754,55.00000000,1
1531213606523,1531213606518,2072213,0.00002754,27.00000000,1
1531213607088,1531213607084,2072214,0.00002754,16.00000000,1
1531213607675,1531213607671,2072215,0.00002754,7.00000000,1
1531213608176,1531213608171,2072216,0.00002754,7.00000000,1
1531213608656,1531213608651,2072217,0.00002754,20.00000000,1
1531213609057,1531213609053,2072218,0.00002754,21.00000000,1
1531213609427,1531213609422,2072219,0.00002754,18.00000000,1
1531213609936,1531213609930,2072220,0.00002754,9.00000000,1
1531213610804,1531213610800,2072221,0.00002754,9.00000000,1
1531213611424,1531213611419,2072222,0.00002754,17.00000000,1
1531213611924,1531213611919,2072223,0.00002754,27.00000000,1
1531213612423,1531213612419,2072224,0.00002754,9.00000000,1
1531213612961,1531213612956,2072225,0.00002754,19.00000000,1
1531213613477,1531213613470,2072226,0.00002755,20.00000000,1
1531213613956,1531213613952,2072227,0.00002755,19.00000000,1
1531213614443,1531213614439,2072228,0.00002754,20.00000000,1
1531213614965,1531213614959,2072229,0.00002754,14.00000000,1
1531213615627,1531213615622,2072230,0.00002754,18.00000000,1
1531213616558,1531213616553,2072231,0.00002754,21.00000000,1
1531213617045,1531213617042,2072232,0.00002754,7.00000000,1
1531213617645,1531213617641,2072233,0.00002754,73.00000000,1
1531213618645,1531213618640,2072234,0.00002754,18.00000000,1
1531213619232,1531213619228,2072235,0.00002755,8.00000000,1
1531213619241,1531213619237,2072236,0.00002755,12.00000000,1
1531213619853,1531213619847,2072237,0.00002754,18.00000000,1
1531213620413,1531213620409,2072238,0.00002754,7.00000000,1
1531213620958,1531213620953,2072239,0.00002754,40.00000000,1
1531213622148,1531213622145,2072240,0.00002754,62.00000000,1
1531213622192,1531213622188,2072241,0.00002754,7.00000000,1
1531213858275,1531213858271,2072242,0.00002754,54.00000000,1
1531213858275,1531213858271,2072243,0.00002748,305.00000000,1
1531213858275,1531213858271,2072244,0.00002746,54.00000000,1
1531213858275,1531213858271,2072245,0.00002744,37.00000000,1
1531213858275,1531213858271,2072246,0.00002741,500.00000000,1
1531213858275,1531213858271,2072247,0.00002740,50.00000000,1
1531213984817,1531213984812,2072248,0.00002761,37.00000000,0
1531214082160,1531214082155,2072249,0.00002753,3.00000000,0
1531214151759,1531214151755,2072250,0.00002740,36.00000000,1
1531214165599,1531214165595,2072251,0.00002740,614.00000000,1
1531214336590,1531214336586,2072252,0.00002748,111.00000000,0
