event_time,trade_time,trade_id,price,quantity,maker
1531210526205,1531210526200,1603410,0.00006906,6.00000000,1
1531210526634,1531210526628,1603411,0.00006906,3.00000000,1
1531210527322,1531210527318,1603412,0.00006906,6.00000000,1
1531210793209,1531210793206,1603413,0.00006941,1.00000000,0
1531211055361,1531211055355,1603414,0.00006910,15.00000000,1
1531211439298,1531211439293,1603415,0.00006935,1.00000000,0
1531211467160,1531211467156,1603416,0.00006903,15.00000000,1
1531211476258,1531211476255,1603417,0.00006903,101.00000000,1
1531211486878,1531211486872,1603418,0.00006903,4.00000000,0
1531211511858,1531211511853,1603419,0.00006904,40.00000000,1
1531211536116,1531211536110,1603420,0.00006900,14.00000000,1
1531211724738,1531211724736,1603421,0.00006900,6.00000000,1
1531211731318,1531211731314,1603422,0.00006900,52.00000000,1
1531212001096,1531212001092,1603423,0.00006864,1.00000000,1
1531212256309,1531212256305,1603424,0.00006914,55.00000000,0
1531212273701,1531212273696,1603425,0.00006914,144.00000000,0
1531212316491,1531212316487,1603426,0.00006914,242.00000000,0
1531212316715,1531212316714,1603427,0.00006914,44.00000000,0
1531212316748,1531212316747,1603428,0.00006914,91.00000000,1
1531212316817,1531212316812,1603429,0.00006914,15.00000000,1
1531212317067,1531212317062,1603430,0.00006914,20.00000000,1
1531212317520,1531212317514,1603431,0.00006914,72.00000000,1
1531212319982,1531212319980,1603432,0.00006915,97.00000000,0
1531212320951,1531212320946,1603433,0.00006915,18.00000000,0
1531212320951,1531212320946,1603434,0.00006928,223.00000000,0
1531212336350,1531212336345,1603435,0.00006926,15.00000000,0
1531212414798,1531212414792,1603436,0.00006883,8.00000000,1
1531213172964,1531213172958,1603437,0.00006865,3.00000000,1
1531213179077,1531213179073,1603438,0.00006895,23.00000000,0
1531213242296,1531213242292,1603439,0.00006895,11.00000000,0
1531213242296,1531213242292,1603440,0.00006897,9.00000000,0
1531213266572,1531213266567,1603441,0.00006897,107.00000000,0
1531213284912,1531213284908,1603442,0.00006878,3.00000000,1
1531213341074,1531213341068,1603443,0.00006912,1.00000000,0
1531213835678,1531213835673,1603444,0.00006912,114.00000000,0
1531213835678,1531213835673,1603445,0.00006926,63.00000000,0
1531213835678,1531213835673,1603446,0.00006929,23.00000000,0
1531214060401,1531214060397,1603447,0.00006888,50.00000000,1
1531214060433,1531214060429,1603448,0.00006888,20.00000000,1
1531214073477,1531214073473,1603449,0.00006923,114.00000000,0
1531214361496,1531214361492,1603450,0.00006922,234.00000000,0
1531214362289,1531214362284,1603451,0.00006922,110.00000000,0
1531214362309,1531214362304,1603452,0.00006922,91.00000000,1
1531214362344,1531214362341,1603453,0.00006922,19.00000000,1
1531214370995,1531214370990,1603454,0.00006922,14.00000000,1
1531214540480,1531214540474,1603455,0.00006908,8.00000000,1
1531214714346,1531214714342,1603456,0.00006908,90.00000000,1
1531214734945,1531214734941,1603457,0.00006908,17.00000000,1
1531214734985,1531214734982,1603458,0.00006900,40.00000000,0
1531214735000,1531214734996,1603459,0.00006900,112.00000000,0
1531214735024,1531214735021,1603460,0.00006900,99.00000000,0
1531214735032,1531214735029,1603461,0.00006900,180.00000000,0
1531214735061,1531214735057,1603462,0.00006900,91.00000000,0
1531214735218,1531214735213,1603463,0.00006900,95.00000000,0
1531214735416,1531214735411,1603464,0.00006900,225.00000000,0
1531214735503,1531214735498,1603465,0.00006900,68.00000000,0
1531214750671,1531214750667,1603466,0.00006900,157.00000000,1
1531214756402,1531214756397,1603467,0.00006890,3.00000000,1
1531214766541,1531214766537,1603468,0.00006890,15.00000000,1
1531214766541,1531214766537,1603469,0.00006889,84.00000000,1
1531214788463,1531214788459,1603470,0.00006889,32.00000000,1
1531214788463,1531214788459,1603471,0.00006880,61.00000000,1
1531214788463,1531214788459,1603472,0.00006879,701.00000000,1
1531214788463,1531214788459,1603473,0.00006878,730.00000000,1
1531214788463,1531214788459,1603474,0.00006864,60.00000000,1
1531214788482,1531214788477,1603475,0.00006864,168.00000000,0
1531214788488,1531214788484,1603476,0.00006864,168.00000000,0
1531214788502,1531214788498,1603477,0.00006864,275.00000000,0
1531214788517,1531214788514,1603478,0.00006864,79.00000000,0
1531214788523,1531214788520,1603479,0.00006864,90.00000000,0
1531214788541,1531214788537,1603480,0.00006864,168.00000000,0
1531214788550,1531214788545,1603481,0.00006864,68.00000000,0
1531214792451,1531214792445,1603482,0.00006860,3.00000000,1
1531214794114,1531214794109,1603483,0.00006863,743.00000000,0
1531214795009,1531214795005,1603484,0.00006864,184.00000000,0
1531214809757,1531214809751,1603485,0.00006864,969.00000000,0
1531214812715,1531214812711,1603486,0.00006864,100.00000000,0
1531214812799,1531214812794,1603487,0.00006864,230.00000000,0
1531214820785,1531214820780,1603488,0.00006860,15.00000000,1
1531214833805,1531214833802,1603489,0.00006864,116.00000000,0
1531214844881,1531214844878,1603490,0.00006864,316.00000000,0
1531214852346,1531214852341,1603491,0.00006860,26.00000000,1
1531214853237,1531214853233,1603492,0.00006860,11.00000000,0
1531214853237,1531214853233,1603493,0.00006864,96.00000000,0
1531214856283,1531214856278,1603494,0.00006844,3.00000000,1
1531214860285,1531214860280,1603495,0.00006844,3.00000000,1
1531214864745,1531214864741,1603496,0.00006844,3.00000000,1
1531214869617,1531214869612,1603497,0.00006844,3.00000000,1
1531214871682,1531214871678,1603498,0.00006864,56.00000000,0
1531214872672,1531214872666,1603499,0.00006864,82.00000000,0
1531214874335,1531214874331,1603500,0.00006844,3.00000000,1
1531214879015,1531214879010,1603501,0.00006844,3.00000000,1
1531214884602,1531214884598,1603502,0.00006844,3.00000000,1
1531214884983,1531214884978,1603503,0.00006844,94.00000000,1
1531214889445,1531214889442,1603504,0.00006863,61.00000000,0
1531214889445,1531214889442,1603505,0.00006864,972.00000000,0
1531214891303,1531214891299,1603506,0.00006844,3.00000000,1
1531214892863,1531214892859,1603507,0.00006844,3.00000000,1
1531214936155,1531214936151,1603508,0.00006864,22.00000000,0
1531214940861,1531214940857,1603509,0.00006864,111.00000000,0
1531214942172,1531214942168,1603510,0.00006864,115.00000000,0
1531215008080,1531215008075,1603511,0.00006864,16.00000000,0
1531215049482,1531215049478,1603512,0.00006864,1.00000000,0
1531215155757,1531215155753,1603513,0.00006864,389.00000000,0
1531215273914,1531215273909,1603514,0.00006864,1.00000000,0
1531215368383,1531215368378,1603515,0.00006864,1.00000000,0
1531215437610,1531215437607,1603516,0.00006864,33.00000000,0
1531215612108,1531215612103,1603517,0.00006871,24.00000000,0
1531215630168,1531215630162,1603518,0.00006871,32.00000000,0
1531215656649,1531215656645,1603519,0.00006871,20.00000000,0
1531215659662,1531215659659,1603520,0.00006871,1.00000000,0
1531215684250,1531215684247,1603521,0.00006844,137.00000000,1
1531215684266,1531215684262,1603522,0.00006844,35.00000000,1
1531215684266,1531215684262,1603523,0.00006839,2.00000000,1
1531215684659,1531215684655,1603524,0.00006839,28.00000000,1
1531215684659,1531215684655,1603525,0.00006813,644.00000000,1
1531215687132,1531215687129,1603526,0.00006815,3.00000000,1
1531215692304,1531215692300,1603527,0.00006827,59.00000000,1
1531215695597,1531215695593,1603528,0.00006827,72.00000000,0
1531215695597,1531215695593,1603529,0.00006828,49.00000000,0
1531215701495,1531215701490,1603530,0.00006860,25.00000000,0
1531215705954,1531215705950,1603531,0.00006826,117.00000000,1
1531215705954,1531215705950,1603532,0.00006812,7.00000000,1
1531215706667,1531215706663,1603533,0.00006812,131.00000000,1
1531215716324,1531215716320,1603534,0.00006814,3.00000000,1
1531215728382,1531215728376,1603535,0.00006835,68.00000000,0
1531215729659,1531215729656,1603536,0.00006828,16.00000000,1
1531215729659,1531215729656,1603537,0.00006812,71.00000000,1
1531215737621,1531215737618,1603538,0.00006814,358.00000000,1
1531215739457,1531215739452,1603539,0.00006842,105.00000000,0
1531215757046,1531215757042,1603540,0.00006814,3.00000000,1
1531215769791,1531215769788,1603541,0.00006815,15.00000000,1
1531215815843,1531215815839,1603542,0.00006842,12.00000000,0
1531215815843,1531215815839,1603543,0.00006870,17.00000000,0
1531215816336,1531215816332,1603544,0.00006815,3.00000000,1
1531215816799,1531215816793,1603545,0.00006870,1.00000000,0
1531215862636,1531215862632,1603546,0.00006824,3.00000000,1
1531215862969,1531215862964,1603547,0.00006858,6.00000000,0
1531215863233,1531215863228,1603548,0.00006858,6.00000000,0
1531215863247,1531215863243,1603549,0.00006858,3.00000000,0
1531215863387,1531215863382,1603550,0.00006858,23.00000000,0
1531215874049,1531215874044,1603551,0.00006824,3.00000000,1
1531215883916,1531215883912,1603552,0.00006824,3.00000000,1
1531215898087,1531215898083,1603553,0.00006824,3.00000000,1
1531215901711,1531215901707,1603554,0.00006824,3.00000000,1
1531215908414,1531215908410,1603555,0.00006824,3.00000000,1
1531215917037,1531215917034,1603556,0.00006858,26.00000000,0
1531215919806,1531215919802,1603557,0.00006858,23.00000000,0
1531215925475,1531215925469,1603558,0.00006858,26.00000000,0
1531215971578,1531215971574,1603559,0.00006858,3.00000000,0
1531215971578,1531215971574,1603560,0.00006870,125.00000000,0
1531215986936,1531215986932,1603561,0.00006870,501.00000000,0
1531215987133,1531215987129,1603562,0.00006880,15.00000000,0
1531215987133,1531215987129,1603563,0.00006884,15.00000000,0
1531215987133,1531215987129,1603564,0.00006897,86.00000000,0
1531215987133,1531215987129,1603565,0.00006898,65.00000000,0
1531215987133,1531215987129,1603566,0.00006961,97.00000000,0
1531215987373,1531215987369,1603567,0.00006915,394.00000000,1
1531215988286,1531215988282,1603568,0.00006885,72.00000000,1
1531216004251,1531216004247,1603569,0.00006885,162.00000000,1
1531216008623,1531216008618,1603570,0.00006885,99.00000000,1
1531216009126,1531216009122,1603571,0.00006885,32.00000000,1
1531216009918,1531216009914,1603572,0.00006885,31.00000000,1
1531216010029,1531216010025,1603573,0.00006885,210.00000000,1
1531216050320,1531216050316,1603574,0.00006900,15.00000000,0
1531216051192,1531216051188,1603575,0.00006901,158.00000000,1
1531216053613,1531216053610,1603576,0.00006914,163.00000000,0
1531216057427,1531216057423,1603577,0.00006885,6.00000000,1
1531216058043,1531216058038,1603578,0.00006885,3.00000000,1
1531216058580,1531216058576,1603579,0.00006885,6.00000000,1
1531216073326,1531216073323,1603580,0.00006901,11.00000000,0
1531216200757,1531216200754,1603581,0.00006884,2.00000000,1
1531216205370,1531216205366,1603582,0.00006884,145.00000000,1
1531216207531,1531216207527,1603583,0.00006884,137.00000000,1
1531216208471,1531216208468,1603584,0.00006884,135.00000000,1
1531216209184,1531216209181,1603585,0.00006884,2.00000000,1
1531216284775,1531216284772,1603586,0.00006884,103.00000000,1
1531216300970,1531216300966,1603587,0.00006884,7.00000000,1
1531216300970,1531216300966,1603588,0.00006883,116.00000000,1
1531216595250,1531216595245,1603589,0.00006870,8.00000000,1
1531216638719,1531216638715,1603590,0.00006870,22.00000000,1
1531216854482,1531216854478,1603591,0.00006870,436.00000000,1
1531216963001,1531216962997,1603592,0.00006870,4.00000000,1
1531217075669,1531217075666,1603593,0.00006900,84.00000000,0
1531217108844,1531217108839,1603594,0.00006900,222.00000000,0
1531217146207,1531217146203,1603595,0.00006900,98.00000000,0
1531217146207,1531217146203,1603596,0.00006901,7.00000000,0
1531217311635,1531217311630,1603597,0.00006871,25.00000000,1
1531217407299,1531217407294,1603598,0.00006870,31.00000000,1
1531217407299,1531217407294,1603599,0.00006868,116.00000000,1
1531217407299,1531217407294,1603600,0.00006844,45.00000000,1
1531217407299,1531217407294,1603601,0.00006831,9.00000000,1
1531217417332,1531217417328,1603602,0.00006833,3.00000000,1
1531217446786,1531217446781,1603603,0.00006837,15.00000000,1
1531217478675,1531217478670,1603604,0.00006857,15.00000000,0
1531217526625,1531217526621,1603605,0.00006860,15.00000000,0
1531217526625,1531217526621,1603606,0.00006861,59.00000000,0
1531217537258,1531217537253,1603607,0.00006861,48.00000000,0
1531217591953,1531217591947,1603608,0.00006861,1571.00000000,0
1531217657080,1531217657075,1603609,0.00006861,112.00000000,0
1531218097505,1531218097500,1603610,0.00006861,202.00000000,0
1531218198276,1531218198271,1603611,0.00006861,2.00000000,0
1531218337495,1531218337491,1603612,0.00006861,112.00000000,0
1531218515952,1531218515947,1603613,0.00006835,173.00000000,1
1531218538621,1531218538617,1603614,0.00006835,83.00000000,1
1531218646289,1531218646283,1603615,0.00006840,8.00000000,1
1531218677577,1531218677572,1603616,0.00006861,128.00000000,0
1531218749814,1531218749809,1603617,0.00006861,118.00000000,0
1531219038298,1531219038292,1603618,0.00006856,25.00000000,0
1531219040286,1531219040283,1603619,0.00006855,74.00000000,0
1531219045702,1531219045697,1603620,0.00006855,145.00000000,0
1531219045744,1531219045739,1603621,0.00006855,36.00000000,0
1531219046709,1531219046705,1603622,0.00006855,145.00000000,0
1531219047692,1531219047689,1603623,0.00006855,98.00000000,0
1531219127202,1531219127198,1603624,0.00006855,101.00000000,0
1531219127435,1531219127430,1603625,0.00006855,57.00000000,0
1531219128098,1531219128093,1603626,0.00006855,30.00000000,0
1531219356337,1531219356333,1603627,0.00006855,33.00000000,0
1531219569672,1531219569668,1603628,0.00006855,816.00000000,0
1531219707708,1531219707702,1603629,0.00006855,296.00000000,0
1531219802268,1531219802263,1603630,0.00006855,200.00000000,0
1531219802462,1531219802458,1603631,0.00006830,73.00000000,1
1531219820248,1531219820244,1603632,0.00006855,236.00000000,0
1531219823044,1531219823039,1603633,0.00006855,1.00000000,0
1531219923746,1531219923741,1603634,0.00006855,62.00000000,0
1531220057675,1531220057670,1603635,0.00006855,62.00000000,0
1531220057864,1531220057857,1603636,0.00006855,1.00000000,0
1531220081329,1531220081323,1603637,0.00006830,44.00000000,1
1531220081329,1531220081323,1603638,0.00006821,159.00000000,1
1531220087829,1531220087824,1603639,0.00006826,3.00000000,1
1531220154582,1531220154580,1603640,0.00006847,45.00000000,0
