event_time,trade_time,trade_id,price,quantity,maker
1531210559449,1531210559445,2643537,0.00000269,3717.00000000,0
1531210613961,1531210613957,2643538,0.00000269,6551.00000000,0
1531210657491,1531210657486,2643539,0.00000268,6148.00000000,1
1531210747630,1531210747625,2643540,0.00000268,3968.00000000,1
1531210761060,1531210761057,2643541,0.00000268,419.00000000,1
1531210763730,1531210763725,2643542,0.00000269,2500.00000000,0
1531210770722,1531210770718,2643543,0.00000269,7473.00000000,1
1531210785851,1531210785847,2643544,0.00000269,8805.00000000,1
1531210814822,1531210814818,2643545,0.00000269,711.00000000,1
1531210886764,1531210886760,2643546,0.00000269,71.00000000,1
1531210889918,1531210889913,2643547,0.00000269,3.00000000,1
1531211091592,1531211091588,2643548,0.00000269,21.00000000,1
1531211103699,1531211103695,2643549,0.00000269,34396.00000000,1
1531211103719,1531211103716,2643550,0.00000269,9385.00000000,0
1531211354576,1531211354571,2643551,0.00000269,3466.00000000,1
1531211377600,1531211377595,2643552,0.00000268,3508.00000000,1
1531211592371,1531211592366,2643553,0.00000268,6222.00000000,1
1531211592724,1531211592720,2643554,0.00000269,9016.00000000,1
1531211652902,1531211652898,2643555,0.00000269,18627.00000000,0
1531211662964,1531211662961,2643556,0.00000269,4907.00000000,0
1531211866558,1531211866553,2643557,0.00000268,16024.00000000,1
1531211878554,1531211878550,2643558,0.00000269,241798.00000000,0
1531211883483,1531211883479,2643559,0.00000269,30580.00000000,1
1531211913198,1531211913193,2643560,0.00000268,275133.00000000,1
1531211916559,1531211916556,2643561,0.00000269,5655.00000000,0
1531211930562,1531211930557,2643562,0.00000268,208530.00000000,1
1531211930562,1531211930557,2643563,0.00000267,220323.00000000,1
1531211930578,1531211930575,2643564,0.00000267,6875.00000000,0
1531211930578,1531211930575,2643565,0.00000267,27615.00000000,0
1531211930584,1531211930580,2643566,0.00000267,6965.00000000,0
1531211930590,1531211930585,2643567,0.00000267,6921.00000000,0
1531211930594,1531211930590,2643568,0.00000267,18568.00000000,0
1531211930598,1531211930594,2643569,0.00000267,3745.00000000,0
1531211930599,1531211930595,2643570,0.00000267,742.00000000,0
1531211930606,1531211930602,2643571,0.00000267,6927.00000000,0
1531211930678,1531211930673,2643572,0.00000267,9095.00000000,0
1531211930818,1531211930814,2643573,0.00000267,27615.00000000,0
1531211932680,1531211932676,2643574,0.00000267,196688.00000000,0
1531211932680,1531211932676,2643575,0.00000268,28312.00000000,0
1531211934365,1531211934359,2643576,0.00000268,73122.00000000,0
1531211974175,1531211974171,2643577,0.00000268,55000.00000000,0
1531212049278,1531212049274,2643578,0.00000267,7589.00000000,1
1531212049290,1531212049286,2643579,0.00000267,2536.00000000,1
1531212069851,1531212069847,2643580,0.00000267,7942.00000000,1
1531212104895,1531212104890,2643581,0.00000267,419.00000000,1
1531212118282,1531212118276,2643582,0.00000267,2752.00000000,1
1531212149510,1531212149506,2643583,0.00000266,3815.00000000,1
1531212149822,1531212149818,2643584,0.00000266,223.00000000,1
1531212153040,1531212153035,2643585,0.00000267,2988.00000000,0
1531212153040,1531212153035,2643586,0.00000268,97012.00000000,0
1531212189023,1531212189017,2643587,0.00000267,3247.00000000,1
1531212202549,1531212202544,2643588,0.00000267,10012.00000000,1
1531212392191,1531212392188,2643589,0.00000267,79.00000000,1
1531212403698,1531212403694,2643590,0.00000267,27.00000000,1
1531212432741,1531212432737,2643591,0.00000267,5388.00000000,1
1531212436686,1531212436681,2643592,0.00000267,6559.00000000,1
1531212454642,1531212454638,2643593,0.00000268,3340.00000000,0
1531212515615,1531212515611,2643594,0.00000267,8.00000000,1
1531212677585,1531212677578,2643595,0.00000268,76382.00000000,0
1531212677585,1531212677578,2643596,0.00000269,317582.00000000,0
1531212677606,1531212677602,2643597,0.00000269,774.00000000,1
1531212677613,1531212677609,2643598,0.00000269,10415.00000000,1
1531212677661,1531212677657,2643599,0.00000269,25922.00000000,1
1531212687719,1531212687715,2643600,0.00000269,7521.00000000,1
1531212694608,1531212694602,2643601,0.00000270,14805.00000000,0
1531212695047,1531212695043,2643602,0.00000270,218.00000000,0
1531212771433,1531212771428,2643603,0.00000269,7402.00000000,1
1531212783301,1531212783295,2643604,0.00000269,7.00000000,1
1531212798051,1531212798047,2643605,0.00000269,93.00000000,1
1531212807326,1531212807324,2643606,0.00000270,1465.00000000,0
1531212810756,1531212810753,2643607,0.00000269,6.00000000,1
1531212813917,1531212813913,2643608,0.00000269,17504.00000000,1
1531212835920,1531212835917,2643609,0.00000269,1314.00000000,1
1531212836068,1531212836063,2643610,0.00000271,3975.00000000,0
1531212954733,1531212954729,2643611,0.00000271,1933.00000000,0
1531213156202,1531213156197,2643612,0.00000270,9897.00000000,1
1531213159849,1531213159846,2643613,0.00000270,1.00000000,1
1531213178211,1531213178206,2643614,0.00000270,679.00000000,1
1531213215562,1531213215556,2643615,0.00000270,22737.00000000,1
1531213291367,1531213291362,2643616,0.00000269,10000.00000000,1
1531213317561,1531213317555,2643617,0.00000269,96318.00000000,1
1531213402416,1531213402413,2643618,0.00000269,1561.00000000,1
1531213413805,1531213413800,2643619,0.00000269,6.00000000,1
1531213449952,1531213449949,2643620,0.00000269,1116.00000000,1
1531213467535,1531213467530,2643621,0.00000270,75.00000000,0
1531213507956,1531213507953,2643622,0.00000269,2705.00000000,1
1531213766264,1531213766260,2643623,0.00000269,391.00000000,1
1531213836537,1531213836533,2643624,0.00000270,7.00000000,0
1531213876441,1531213876438,2643625,0.00000269,110000.00000000,1
1531213878366,1531213878363,2643626,0.00000269,55000.00000000,1
1531213880312,1531213880305,2643627,0.00000269,55000.00000000,1
1531213922017,1531213922011,2643628,0.00000269,91414.00000000,1
1531213942799,1531213942793,2643629,0.00000268,12.00000000,1
1531213948975,1531213948970,2643630,0.00000268,2331.00000000,1
1531213999391,1531213999386,2643631,0.00000268,30442.00000000,1
1531214085289,1531214085284,2643632,0.00000268,686.00000000,1
1531214108898,1531214108892,2643633,0.00000268,3731.00000000,0
1531214114661,1531214114656,2643634,0.00000267,444.00000000,1
1531214169979,1531214169975,2643635,0.00000268,8407.00000000,0
1531214180000,1531214179996,2643636,0.00000268,9122.00000000,0
1531214211336,1531214211331,2643637,0.00000267,8458.00000000,1
1531214234710,1531214234706,2643638,0.00000267,11029.00000000,1
1531214282141,1531214282136,2643639,0.00000267,9060.00000000,1
1531214317993,1531214317989,2643640,0.00000268,7627.00000000,0
1531214384072,1531214384068,2643641,0.00000267,419.00000000,1
1531214445254,1531214445250,2643642,0.00000267,20934.00000000,1
1531214484597,1531214484593,2643643,0.00000266,1931.00000000,1
1531214484894,1531214484890,2643644,0.00000266,217.00000000,1
1531214485284,1531214485278,2643645,0.00000266,33863.00000000,1
1531214488313,1531214488310,2643646,0.00000267,5742.00000000,0
1531214488318,1531214488315,2643647,0.00000267,5752.00000000,0
1531214495486,1531214495483,2643648,0.00000267,15.00000000,0
1531214496573,1531214496569,2643649,0.00000266,3731.00000000,1
1531214496853,1531214496848,2643650,0.00000266,8.00000000,1
1531214510235,1531214510232,2643651,0.00000267,2149.00000000,0
1531214518521,1531214518516,2643652,0.00000266,380.00000000,1
1531214518537,1531214518534,2643653,0.00000266,380.00000000,1
1531214534126,1531214534121,2643654,0.00000267,1.00000000,0
1531214538608,1531214538603,2643655,0.00000266,4937.00000000,1
1531214559678,1531214559672,2643656,0.00000266,14938.00000000,1
1531214559678,1531214559672,2643657,0.00000265,47499.00000000,1
1531214568536,1531214568532,2643658,0.00000266,101.00000000,0
1531214596277,1531214596273,2643659,0.00000266,8918.00000000,0
1531214618679,1531214618672,2643660,0.00000265,1144.00000000,1
1531214638134,1531214638131,2643661,0.00000265,64337.00000000,1
1531214643543,1531214643537,2643662,0.00000265,416.00000000,1
1531214643625,1531214643622,2643663,0.00000265,416.00000000,1
