event_time,trade_time,trade_id,price,quantity,maker
1531210407464,1531210407460,3502575,0.00003331,1232.00000000,1
1531210407475,1531210407471,3502576,0.00003331,1521.00000000,1
1531210459595,1531210459591,3502577,0.00003344,1.00000000,0
1531210554053,1531210554049,3502578,0.00003344,8.00000000,0
1531210626848,1531210626843,3502579,0.00003333,510.00000000,1
1531210626868,1531210626862,3502580,0.00003333,909.00000000,1
1531210637658,1531210637655,3502581,0.00003344,1.00000000,0
1531210646839,1531210646835,3502582,0.00003344,229.00000000,0
1531210647542,1531210647537,3502583,0.00003344,452.00000000,1
1531210651973,1531210651968,3502584,0.00003347,3.00000000,0
1531210656373,1531210656368,3502585,0.00003342,280.00000000,0
1531210656384,1531210656381,3502586,0.00003338,223.00000000,1
1531210707699,1531210707694,3502587,0.00003338,541.00000000,1
1531210709541,1531210709536,3502588,0.00003337,239.00000000,1
1531210805813,1531210805808,3502589,0.00003333,3250.00000000,0
1531210805823,1531210805818,3502590,0.00003329,1332.00000000,1
1531210806540,1531210806537,3502591,0.00003328,240.00000000,1
1531210807538,1531210807533,3502592,0.00003327,391.00000000,1
1531210825731,1531210825727,3502593,0.00003318,1025.00000000,1
1531210825744,1531210825738,3502594,0.00003318,5275.00000000,0
1531210835914,1531210835910,3502595,0.00003326,1046.00000000,0
1531210835928,1531210835925,3502596,0.00003319,545.00000000,1
1531210865196,1531210865192,3502597,0.00003334,77.00000000,0
1531210889548,1531210889543,3502598,0.00003318,968.00000000,1
1531210918820,1531210918816,3502599,0.00003318,1439.00000000,1
1531210918847,1531210918843,3502600,0.00003318,478.00000000,1
1531210947064,1531210947059,3502601,0.00003318,286.00000000,1
1531210975250,1531210975245,3502602,0.00003317,200.00000000,1
1531210984317,1531210984313,3502603,0.00003318,1934.00000000,1
1531210984326,1531210984321,3502604,0.00003318,1711.00000000,1
1531210991689,1531210991685,3502605,0.00003328,1.00000000,0
1531211007087,1531211007083,3502606,0.00003323,2092.00000000,0
1531211007099,1531211007095,3502607,0.00003318,1715.00000000,1
1531211030660,1531211030655,3502608,0.00003322,706.00000000,0
1531211030675,1531211030670,3502609,0.00003322,444.00000000,1
1531211095197,1531211095192,3502610,0.00003320,1683.00000000,1
1531211098605,1531211098600,3502611,0.00003326,3.00000000,0
1531211102825,1531211102820,3502612,0.00003320,16.00000000,1
