event_time,trade_time,trade_id,price,quantity,maker
1531210354450,1531210354447,2734794,0.00034310,0.73000000,1
1531210355000,1531210354996,2734795,0.00034310,1.70000000,1
1531210355637,1531210355633,2734796,0.00034310,1.01000000,1
1531210372932,1531210372927,2734797,0.00034320,36.64000000,1
1531210419572,1531210419566,2734798,0.00034330,3.15000000,1
1531210423082,1531210423077,2734799,0.00034380,1.21000000,0
1531210434328,1531210434323,2734800,0.00034320,100.00000000,1
1531210437878,1531210437872,2734801,0.00034380,4.92000000,0
1531210462756,1531210462752,2734802,0.00034430,26.50000000,0
1531210469712,1531210469708,2734803,0.00034430,29.04000000,0
1531210473744,1531210473739,2734804,0.00034330,5.95000000,1
1531210473744,1531210473739,2734805,0.00034320,100.00000000,1
1531210473744,1531210473739,2734806,0.00034310,1393.62000000,1
1531210473773,1531210473768,2734807,0.00034310,500.43000000,0
1531210484352,1531210484348,2734808,0.00034310,0.08000000,1
1531210485765,1531210485761,2734809,0.00034300,0.08000000,1
1531210486630,1531210486625,2734810,0.00034300,0.04000000,1
1531210491177,1531210491173,2734811,0.00034310,20.16000000,1
1531210491207,1531210491203,2734812,0.00034310,14.84000000,0
1531210491311,1531210491306,2734813,0.00034310,15.00000000,0
1531210492607,1531210492603,2734814,0.00034300,44.00000000,1
1531210509961,1531210509957,2734815,0.00034300,3.20000000,1
1531210578365,1531210578358,2734816,0.00034370,0.31000000,0
1531210583688,1531210583684,2734817,0.00034300,295.02000000,1
1531210583918,1531210583914,2734818,0.00034300,235.77000000,1
1531210623618,1531210623615,2734819,0.00034300,298.57000000,1
1531210627077,1531210627072,2734820,0.00034300,39.88000000,1
1531210644692,1531210644688,2734821,0.00034260,2.96000000,1
1531210651232,1531210651226,2734822,0.00034300,0.96000000,0
1531210660991,1531210660986,2734823,0.00034300,0.10000000,0
1531210670829,1531210670825,2734824,0.00034300,2.95000000,0
1531210680836,1531210680835,2734825,0.00034300,851.82000000,0
1531210748752,1531210748748,2734826,0.00034300,15.26000000,0
1531210760225,1531210760217,2734827,0.00034290,1.69000000,0
1531210763246,1531210763240,2734828,0.00034290,0.01000000,0
1531210777564,1531210777558,2734829,0.00034260,47.04000000,1
1531210778081,1531210778077,2734830,0.00034250,17.46000000,0
1531210780117,1531210780114,2734831,0.00034250,1.00000000,0
1531210780615,1531210780611,2734832,0.00034260,6.81000000,0
1531210848006,1531210848001,2734833,0.00034290,57.63000000,0
1531210848830,1531210848830,2734834,0.00034290,112.96000000,0
1531210886349,1531210886344,2734835,0.00034290,102.12000000,0
1531210894472,1531210894467,2734836,0.00034290,25.84000000,0
1531210899783,1531210899777,2734837,0.00034290,40.61000000,0
1531210908872,1531210908869,2734838,0.00034290,0.01000000,0
