event_time,trade_time,trade_id,price,quantity,maker
1531210400625,1531210400621,1351266,0.00002595,26.00000000,1
1531210401319,1531210401315,1351267,0.00002595,33.00000000,1
1531210401828,1531210401822,1351268,0.00002595,8.00000000,1
1531210402373,1531210402368,1351269,0.00002596,16.00000000,1
1531210403087,1531210403082,1351270,0.00002596,21.00000000,1
1531210403715,1531210403710,1351271,0.00002596,4.00000000,1
1531210403715,1531210403710,1351272,0.00002595,12.00000000,1
1531210404246,1531210404239,1351273,0.00002595,36.00000000,1
1531210404246,1531210404239,1351274,0.00002594,6.00000000,1
1531210404328,1531210404326,1351275,0.00002594,18.00000000,1
1531210404827,1531210404822,1351276,0.00002594,15.00000000,1
1531210405542,1531210405538,1351277,0.00002594,24.00000000,1
1531210406474,1531210406470,1351278,0.00002594,27.00000000,1
1531210407223,1531210407219,1351279,0.00002594,12.00000000,1
1531210407571,1531210407566,1351280,0.00002594,8.00000000,1
1531210408288,1531210408284,1351281,0.00002594,101.00000000,1
1531210408677,1531210408673,1351282,0.00002594,14.00000000,1
1531210409232,1531210409223,1351283,0.00002594,8.00000000,1
1531210409730,1531210409725,1351284,0.00002594,32.00000000,1
1531210410248,1531210410243,1351285,0.00002594,13.00000000,1
1531210411171,1531210411165,1351286,0.00002594,32.00000000,1
1531210411970,1531210411966,1351287,0.00002594,19.00000000,1
1531210412775,1531210412771,1351288,0.00002594,16.00000000,1
1531210413252,1531210413246,1351289,0.00002594,14.00000000,1
1531210414142,1531210414138,1351290,0.00002594,27.00000000,1
1531210414634,1531210414630,1351291,0.00002594,18.00000000,1
1531210415268,1531210415263,1351292,0.00002594,12.00000000,1
1531210415776,1531210415770,1351293,0.00002594,22.00000000,1
1531210416317,1531210416314,1351294,0.00002594,16.00000000,1
1531210417068,1531210417063,1351295,0.00002594,16.00000000,1
1531210417810,1531210417806,1351296,0.00002594,7.00000000,1
1531210417810,1531210417806,1351297,0.00002593,9.00000000,1
1531210418384,1531210418379,1351298,0.00002593,23.00000000,1
1531210444632,1531210444629,1351299,0.00002593,400.00000000,1
1531210457463,1531210457462,1351300,0.00002593,4.00000000,1
1531210538771,1531210538764,1351301,0.00002594,7.00000000,1
1531210543098,1531210543098,1351302,0.00002594,128.00000000,1
1531210584176,1531210584171,1351303,0.00002594,3057.00000000,1
1531210605634,1531210605629,1351304,0.00002593,263.00000000,1
1531210657433,1531210657429,1351305,0.00002593,42.00000000,1
1531210699332,1531210699327,1351306,0.00002593,195.00000000,1
1531210701187,1531210701183,1351307,0.00002593,43.00000000,1
1531210712926,1531210712922,1351308,0.00002602,38.00000000,0
1531210760435,1531210760431,1351309,0.00002593,42.00000000,1
1531210781120,1531210781116,1351310,0.00002594,6.00000000,1
1531210788412,1531210788408,1351311,0.00002594,42.00000000,1
1531210842993,1531210842986,1351312,0.00002594,1.00000000,1
1531210966379,1531210966375,1351313,0.00002595,500.00000000,1
1531211000939,1531211000934,1351314,0.00002595,1.00000000,1
1531211125813,1531211125809,1351315,0.00002596,42.00000000,1
1531211142228,1531211142224,1351316,0.00002596,1297.00000000,1
1531211146423,1531211146420,1351317,0.00002596,1.00000000,1
1531211147698,1531211147695,1351318,0.00002596,1.00000000,1
1531211167806,1531211167806,1351319,0.00002596,43.00000000,1
1531211213348,1531211213345,1351320,0.00002596,868.00000000,1
1531211234558,1531211234553,1351321,0.00002596,42.00000000,1
1531211276778,1531211276773,1351322,0.00002596,42.00000000,1
1531211341123,1531211341121,1351323,0.00002602,118.00000000,0
1531211341123,1531211341121,1351324,0.00002603,331.00000000,0
1531211341123,1531211341121,1351325,0.00002604,2306.00000000,0
1531211341123,1531211341121,1351326,0.00002606,306.00000000,0
1531211341123,1531211341121,1351327,0.00002609,1574.00000000,0
1531211343435,1531211343430,1351328,0.00002598,115.00000000,1
1531211343435,1531211343430,1351329,0.00002597,146.00000000,1
1531211364084,1531211364080,1351330,0.00002598,6.00000000,1
1531211365470,1531211365465,1351331,0.00002598,43.00000000,1
1531211371318,1531211371313,1351332,0.00002599,79.00000000,1
