event_time,trade_time,trade_id,price,quantity,maker
1531210386598,1531210386594,4270625,0.01939300,7.89000000,1
1531210395050,1531210395045,4270626,0.01942900,0.42100000,0
1531210407997,1531210407995,4270627,0.01942700,0.00500000,0
1531210416986,1531210416981,4270628,0.01942800,0.05200000,0
1531210442005,1531210442000,4270629,0.01939600,0.02800000,1
1531210473329,1531210473329,4270630,0.01939400,0.11300000,1
1531210505692,1531210505689,4270631,0.01939400,0.10000000,1
1531210508658,1531210508653,4270632,0.01942800,0.03800000,0
1531210523657,1531210523652,4270633,0.01939600,0.00500000,1
1531210528004,1531210528000,4270634,0.01939600,0.08800000,1
1531210554378,1531210554373,4270635,0.01939300,0.11000000,1
1531210554378,1531210554373,4270636,0.01939000,0.51500000,1
1531210554378,1531210554373,4270637,0.01938900,0.21100000,1
1531210561387,1531210561384,4270638,0.01938900,0.05000000,1
1531210573058,1531210573053,4270639,0.01938900,0.07200000,1
1531210602680,1531210602675,4270640,0.01938900,0.04100000,1
1531210642309,1531210642304,4270641,0.01942700,0.44000000,0
1531210642309,1531210642304,4270642,0.01942800,4.65600000,0
1531210642980,1531210642975,4270643,0.01942800,6.60700000,0
1531210643000,1531210642996,4270644,0.01942800,4.19600000,0
1531210643745,1531210643743,4270645,0.01942800,0.07800000,1
1531210644449,1531210644445,4270646,0.01942800,0.17100000,1
1531210644795,1531210644791,4270647,0.01942800,0.07800000,1
1531210647291,1531210647287,4270648,0.01942800,1.40000000,1
1531210650420,1531210650416,4270649,0.01942800,2.00000000,1
1531210651537,1531210651534,4270650,0.01942800,0.03900000,1
1531210656525,1531210656519,4270651,0.01942800,0.88900000,1
1531210663618,1531210663614,4270652,0.01942900,19.35000000,0
1531210663633,1531210663629,4270653,0.01942900,12.86800000,0
1531210683715,1531210683710,4270654,0.01942900,0.03800000,0
1531210687277,1531210687273,4270655,0.01942900,3.98600000,0
1531210687301,1531210687296,4270656,0.01942900,10.87200000,0
1531210700418,1531210700412,4270657,0.01942900,0.03800000,1
1531210718014,1531210718009,4270658,0.01942800,0.12700000,0
1531210718028,1531210718024,4270659,0.01942900,10.87200000,0
1531210734152,1531210734148,4270660,0.01942900,0.03800000,1
1531210738061,1531210738056,4270661,0.01939100,0.07600000,1
1531210746079,1531210746076,4270662,0.01939100,0.05600000,1
1531210747101,1531210747097,4270663,0.01939100,0.05600000,1
1531210753007,1531210753003,4270664,0.01940200,22.16300000,0
1531210753019,1531210753015,4270665,0.01941300,18.57100000,0
1531210763268,1531210763263,4270666,0.01942000,0.07000000,0
1531210775079,1531210775073,4270667,0.01939100,0.02500000,1
1531210782059,1531210782054,4270668,0.01939100,0.05600000,1
1531210783062,1531210783059,4270669,0.01939100,0.05600000,1
1531210801110,1531210801105,4270670,0.01939100,0.05600000,1
1531210801906,1531210801902,4270671,0.01939100,0.06100000,1
1531210801906,1531210801902,4270672,0.01939000,0.01000000,1
1531210802570,1531210802554,4270673,0.01939100,0.05600000,0
1531210819006,1531210819002,4270674,0.01939100,0.08300000,1
1531210819230,1531210819225,4270675,0.01939100,0.09700000,1
1531210819241,1531210819241,4270676,0.01939100,0.07300000,1
1531210819356,1531210819352,4270677,0.01939100,0.09700000,1
1531210822027,1531210822022,4270678,0.01942900,0.26000000,0
1531210824134,1531210824133,4270679,0.01939200,0.05600000,1
1531210825063,1531210825060,4270680,0.01942800,0.00100000,0
1531210825296,1531210825291,4270681,0.01939200,0.05600000,1
1531210841517,1531210841513,4270682,0.01942700,0.05600000,0
1531210841517,1531210841513,4270683,0.01942800,0.05500000,0
1531210841517,1531210841513,4270684,0.01942900,0.12200000,0
1531210841517,1531210841513,4270685,0.01943000,0.18700000,0
1531210842456,1531210842451,4270686,0.01943000,0.26000000,0
1531210842906,1531210842902,4270687,0.01939100,0.46500000,1
1531210842906,1531210842902,4270688,0.01939000,0.38400000,1
1531210842906,1531210842902,4270689,0.01938900,1.59100000,1
1531210850870,1531210850865,4270690,0.01938900,0.00100000,1
1531210861604,1531210861599,4270691,0.01942900,0.04700000,0
1531210867834,1531210867830,4270692,0.01939000,5.65700000,1
1531210867851,1531210867847,4270693,0.01939000,14.72100000,1
1531210877719,1531210877715,4270694,0.01938900,0.00100000,1
1531210879355,1531210879350,4270695,0.01938900,0.01300000,1
1531210879461,1531210879460,4270696,0.01938900,0.45000000,1
1531210891861,1531210891857,4270697,0.01941800,0.06500000,0
1531210891882,1531210891877,4270698,0.01941800,0.24200000,0
1531210893744,1531210893739,4270699,0.01941900,0.80200000,0
1531210893744,1531210893739,4270700,0.01942000,0.04000000,0
1531210902212,1531210902208,4270701,0.01941900,0.68700000,0
1531210924474,1531210924470,4270702,0.01941900,0.16400000,0
1531210924489,1531210924486,4270703,0.01941900,0.75100000,0
1531210940562,1531210940557,4270704,0.01940400,1.04200000,0
1531210940575,1531210940569,4270705,0.01941900,0.46800000,0
