event_time,trade_time,trade_id,price,quantity,maker
1531210355643,1531210355637,3973428,0.00001133,196.00000000,1
1531210356486,1531210356481,3973429,0.00001133,500.00000000,1
1531210357203,1531210357202,3973430,0.00001133,535.00000000,1
1531210357672,1531210357667,3973431,0.00001133,533.00000000,1
1531210358007,1531210358004,3973432,0.00001133,100.00000000,1
1531210358556,1531210358551,3973433,0.00001133,1080.00000000,1
1531210360810,1531210360806,3973434,0.00001134,482.00000000,0
1531210361749,1531210361745,3973435,0.00001133,261.00000000,1
1531210364261,1531210364257,3973436,0.00001133,3635.00000000,1
1531210369290,1531210369286,3973437,0.00001134,1.00000000,0
1531210398904,1531210398900,3973438,0.00001132,97.00000000,1
1531210404982,1531210404976,3973439,0.00001132,10.00000000,1
1531210405554,1531210405550,3973440,0.00001132,1712.00000000,1
1531210405591,1531210405591,3973441,0.00001132,350.00000000,0
1531210405595,1531210405591,3973442,0.00001132,1197.00000000,0
1531210405669,1531210405666,3973443,0.00001132,1067.00000000,0
1531210406008,1531210406005,3973444,0.00001132,787.00000000,0
1531210408296,1531210408292,3973445,0.00001131,208.00000000,1
1531210408500,1531210408495,3973446,0.00001131,235.00000000,1
1531210408712,1531210408708,3973447,0.00001131,233.00000000,1
1531210415272,1531210415267,3973448,0.00001133,18036.00000000,0
1531210421803,1531210421798,3973449,0.00001132,1627.00000000,0
1531210421803,1531210421798,3973450,0.00001133,7974.00000000,0
1531210424483,1531210424479,3973451,0.00001131,891.00000000,1
1531210433277,1531210433272,3973452,0.00001131,52485.00000000,1
1531210433277,1531210433272,3973453,0.00001130,54036.00000000,1
1531210433277,1531210433272,3973454,0.00001128,36405.00000000,1
1531210433277,1531210433272,3973455,0.00001128,9754.00000000,1
1531210433514,1531210433508,3973456,0.00001131,52485.00000000,1
1531210438712,1531210438708,3973457,0.00001129,11824.00000000,1
1531210440760,1531210440756,3973458,0.00001132,349.00000000,0
1531210440862,1531210440858,3973459,0.00001132,956.00000000,0
1531210442017,1531210442014,3973460,0.00001128,909.00000000,1
1531210442461,1531210442457,3973461,0.00001128,910.00000000,1
1531210442575,1531210442569,3973462,0.00001128,8534.00000000,1
1531210443721,1531210443717,3973463,0.00001128,3126.00000000,1
1531210444585,1531210444579,3973464,0.00001129,1359.00000000,1
1531210452552,1531210452548,3973465,0.00001129,24.00000000,1
1531210452728,1531210452724,3973466,0.00001129,1980.00000000,1
1531210453215,1531210453210,3973467,0.00001127,128.00000000,1
1531210454320,1531210454314,3973468,0.00001127,4427.00000000,1
1531210454407,1531210454403,3973469,0.00001127,436.00000000,1
1531210455575,1531210455572,3973470,0.00001127,6961.00000000,1
1531210460578,1531210460573,3973471,0.00001127,11824.00000000,1
1531210472974,1531210472969,3973472,0.00001131,128.00000000,0
1531210472974,1531210472969,3973473,0.00001132,254.00000000,0
1531210474824,1531210474819,3973474,0.00001131,1000.00000000,1
